source_string,target_string,latin,arabic_script,english
ⵉⵕⴰⵃ ⵓⵔ ⴷ ⵉⴷⵡⵉⵍ  -ⴷⴷⵅⵅⴰⵏ,ذهب ولم يعد!– الدخان.,iṛaḥ ur d idwil  -ddkhkhan,يراح ور د يدويل  -ددخخان,"""He left and did not return! – The smoke."""
"ⵉⵙⵙⵖⵓⵢⵢ, ⵉⵛⵔⵔⴳ ⴰⵊⵏⵏⴰ  -ⴰⴷⵊⴰⵊⵏ",صرخ وشق السماء!– الرعد.,"issghuyy, ishrrg ajnna  -adjajn","يسسغويي, يشررڭ اجننا  -ادجاجن",He screamed and tore the sky! – The thunder.
"ⵉⵙⵙⵜⵜⵛⴰ ⵢⴰⵕⴰ ⵏⵏⵙ, ⵉⵜⵜⵖⵉⵎⴰ ⴱⵍⴰⵛ  -ⴰⴱⵔⵔⴰⴷ",يطعم أولاده ويبقى بدون (طعام)!– إبريق الشاي.,"issttsha yaṛa nns, ittghima blash  -abrrad","يسستتشا يارا ننس, يتتغيما بلاش  -ابرراد",He feeds his children and stays without (food)! – The teapot.
"ⵉⵜⴻⵜⵜ ⵓⵔ ⵉⵛⴳⴳⵯⵉ, ⵉⴷⵊⴰⵏ ⵓⵔ ⵉⵜⵜⴽⴽⵔ, ⵉⵙⵔⵔⵃ ⵓⵔ ⵉⵜⵜⵕⵡⵡⵉⵃ  -ⵜⵉⵎⵙⵙⵉ ⴷ ⵢⵉⵖⴷ ⴷ ⴷⴷⵅⵅⴰⵏ",تأكل ولا تشبع، ينام ولا ينهض، يرعى ولا يمسي!– النار والرماد والدخان.,"itett ur ishggⵯi, idjan ur ittkkr, isrrḥ ur ittṛwwiḥ  -timssi d yighd d ddkhkhan","يت°تت ور يشڭڭⵯي, يدجان ور يتتككر, يسررح ور يتتروويح  -تيمسسي د ييغد د ددخخان","""It eats but never gets full, sleeps but never rises, grazes but never rests! – Fire, ash, and smoke."""
"ⵉⵜⵜⴰⴼⴳ ⴷⵖⵢⴰ, ⵎⴰ ⵢⵅⵚⵚ ⵡⴰⵍⵓ ⴰⵢⵏⵏ ⵙ ⵜ ⵖⴰ ⵏⴱⴷⴷⵍ  -ⴰⵎⴰⵏ",يجري بسرعة، إذا قلّ لا يوجد ما نستبدله به!– الماء.,"ittafg dghya, ma ykhṣṣ walu aynn s t gha nbddl  -aman","يتتافڭ دغيا, ما يخصص والو اينن س ت غا نبددل  -امان","It runs quickly; if it decreases, there is nothing to replace it with! – Water."
"ⵉⵜⵜⴰⵜⴼ ⴷ ⴰⵎⵍⵍⴰⵍ, ⵉⵜⵜⴼⴼⵖ ⴷ ⴰⵣⴳⴳⵯⴰⵖ  -ⴰⵖⵕⵓⵎ",يدخل أبيضا ويخرج أحمرا!– الخبز.,"ittatf d amllal, ittffgh d azggⵯagh  -aghṛum","يتتاتف د امللال, يتتففغ د ازڭڭⵯاغ  -اغروم",It enters white and comes out red! – Bread.
"ⵉⵜⵜⴳⴳ ⵢⵉⵎⴰⵏ ⵏⵏⵙ ⴷ ⵍⵎⵙⴽⵉⵏ, ⵎⴰ ⵜⵢⵉⵜ ⴷⴰⴳ-ⵙ ⵟⴰⵕ ⵏⵏⵛ ⵉⵙⵔⵟ ⵉⵛ  -ⴰⵊⵔⵊⵓⴱ ⵏ ⵜⵎⴷⴰ",يتظاهر بأنه مسكين، ما أن تطأه رجلك يبتلعك!– تيار البركة.,"ittgg yiman nns d lmskin, ma tyit dag-s ṭaṛ nnsh isrṭ ish  -ajrjub n tmda","يتتڭڭ ييمان ننس د لمسكين, ما تييت داڭ-س طار ننش يسرط يش  -اجرجوب ن تمدا","He pretends to be meek, but the moment you step on him, he swallows you! – The current of blessings."
ⵉⵜⵜⵃⵜⵜⴰ ⵜⴰⴷⴷⴰⵔⵜ ⵏⵏⵖ ⵢⵉⴼ  ⵣⴳ ⵡⴰⴷⵊⴰⵕ ⵏⵏⵖ  -ⵜⵏⴰⵙⵜ,يحمل منزلنا على ظهره أفضل من جارنا!– المفتاح.,ittḥtta taddart nngh yif  zg wadjaṛ nngh  -tnast,يتتحتتا تاددارت ننغ ييف  زڭ وادجار ننغ  -تناست,"""Our house carries on its back better than our neighbor! – The key."""
"ⵉⵜⵜⵏⵏⵟ ⵉ ⵜⵡⵔⵉⵔⵜ, ⵉⴳⴳⴰⵔ ⵍⵖⴱⴰⵕ  -ⵜⵉⵎⵛⵕⴰⵟ",يدور حول التل ويرمي الروث!– المقص.,"ittnnṭ i twrirt, iggar lghbaṛ  -timshṛaṭ","يتتننط ي توريرت, يڭڭار لغبار  -تيمشراط",He goes around the hill and throws manure! – The scissors.
"ⵉⵜⵜⵏⵅⵜⵓⵜⵓⵍ, ⵉⴽⵙⵙⵉ ⵍⵄⵍⴰⵎ ⴷⴼⴼⵔ-ⵙ  -ⴰⴽⵄⴱ",يتربص ويحمل الراية وراءه!– الثعلب.,"ittnkhtutul, ikssi l3lam dffr-s  -ak3b","يتتنختوتول, يكسسي لعلام دففر-س  -اكعب",He lies in wait and carries the banner behind him! – The fox.
"ⵉⵜⵜⵔⵔⴰ ⵢⴰⵡⴰⵍ, ⴰⵙⵉⵡⵍ ⵓⵔ ⵉⵙⵙⵉⵡⵉⵍ  -ⴰⵊⴷⵉⵔ",يرد الكلام لكنه لا يتكلم!– الجرف.,"ittrra yawal, asiwl ur issiwil  -ajdir","يتتررا ياوال, اسيول ور يسسيويل  -اجدير",He echoes speech but does not speak! – The cliff.
"ⵉⵜⵜⵔⵓ ⴱⵍⴰ ⵜⵉⵟⵟⴰⵡⵉⵏ, ⵉⴳⴳⵓⵔ ⴱⵍⴰ ⵢⵟⴰⵕⵏ  -ⴰⵙⵉⵏⵓ",يبكي بلا أعين ويتمشى بلا أرجل!– الغيم.,"ittru bla tiṭṭawin, iggur bla yṭaṛn  -asinu","يتترو بلا تيططاوين, يڭڭور بلا يطارن  -اسينو",It cries without eyes and walks without legs! – The cloud.
ⵉⵜⵜⵙⴰⵔⴰ ⵊⴰⵔ ⵉⵄⴷⴰⵡⵏ ⵓⵔ ⵉⵜⵜⴳⴳⵯⴷ  -ⵉⵍⵙ,يتجول بين الأعداء ولا يخاف!– اللسان.,ittsara jar i3dawn ur ittggⵯd  -ils,يتتسارا جار يعداون ور يتتڭڭⵯد  -يلس,He roams among enemies and fears not! – The tongue.
"ⵉⵜⵜⵛⴰ  ⵢⵛⵡⴰ, ⵉⵏⵟⵡ ⵅ ⵍⴰⵍⵍ ⵏⵏⵙ  -ⴰⵇⴷⴷⵓⵃ",أكل وشبع وطار على صاحبته!– القدر المفحم.,"ittsha  yshwa, inṭw kh lall nns  -aqdduḥ","يتتشا  يشوا, ينطو خ لالل ننس  -اقددوح","""He ate, was satisfied, and flew to his beloved! – The compelling fate."""
"ⵉⵜⵜⵛⴰ ⵢⴷⵊⵉⵡⵏ, ⵢⵓⵎⵙ ⵍⵃⵏⵏⵉ ⵢ ⵓⵇⵎⵎⵓⵎ ⵏⵏⵙ  -ⴼⵓⵕⵏ",أكل وشبع ودهن الحناء لشفته!– الفرن التقليدي المصنوع من الطين.,"ittsha ydjiwn, yums lḥnni y uqmmum nns  -fuṛn","يتتشا يدجيون, يومس لحنني ي وقمموم ننس  -فورن","""He ate, was satisfied, and applied henna to his lip! – The traditional clay oven."""
"ⵉⵜⵜⵛⴰ ⵢⵙⵡⴰ, ⵉⵔⵔⴰ ⵢⴰⵊⵍⵎⵓⵙ  -ⴰⴱⵔⵔⴰⴷ",أكل وشرب ورد القلنسوة!– إبريق الشاي.,"ittsha yswa, irra yajlmus  -abrrad","يتتشا يسوا, يررا ياجلموس  -ابرراد","""Eat, drink, and return the cap! – The teapot."""
"ⵉⵜⵜⵛⴰ ⵢⵛⵡⴰ, ⵉⵡⵛⴰ ⵔⵔⴽⵓⵍ ⵉ ⵡⵄⴷⴷⵉⵙ ⵏⵏⵙ  -ⴰⴷⴳⴳⴰⴳ ⴷ ⵢⵉⴷⵉⴷⵢ",أكل وشبع وأعطى ركلات لبطنه!– يد المهراس والهاون.,"ittsha yshwa, iwsha rrkul i w3ddis nns  -adggag d yididy","يتتشا يشوا, يوشا رركول ي وعدديس ننس  -ادڭڭاڭ د ييديدي","He ate, was full, and kicked his own stomach! – The hand of the mortar and pestle."
"ⵉⵜⵜⵡⴷⴷⴰⵏ, ⵓⵔ ⵉⵜⵜⵥⵉⵍⵍⵉ  -ⵢⴰⵥⵉⵟ",يؤذن ولا يصلي!– الديك.,"ittwddan, ur ittẓilli  -yaẓiṭ","يتتوددان, ور يتتزّيللي  -يازّيط",He calls to prayer but does not pray! – The rooster.
"ⵉⵜⵜⵡⵟⵟⴰ, ⵉⵜⵜⵓ ⵜⵉⵥⵉⵍⵍⴰ  -ⵎⵓⵛⵛ",توضأ ونسي الصلاة!– القط.,"ittwṭṭa, ittu tiẓilla  -mushsh","يتتوططا, يتتو تيزّيللا  -موشش",He performed ablution and forgot the prayer! – The cat.
"ⵉⵜⵜⵡⵟⵟⴰ, ⵓⵔ ⵉⵥⵥⵓⵍ  -ⴰⵎⵜⵜⵉⵏ",توضأ ولم يصلي!– الميت.,"ittwṭṭa, ur iẓẓul  -amttin","يتتوططا, ور يزّزّول  -امتتين",He performed ablution but did not pray! – The deceased.
"ⵉⵟⵃⴽ ⴷⴳ ⵓⴷⵔⴰⵔ, ⵙⵍⵍⵏ ⴰⵙ ⵣⴳ ⵓⵙⵓⴼ  -ⴰⵙⵀⵓⵕⵕⵟ ⵏ ⵓⵖⵢⵓⵍ",ضحك في الجبل وسمعوه من الوادي!– نهيق الحمار.,"iṭḥk dg udrar, slln as zg usuf  -ashuṛṛṭ n ughyul","يطحك دڭ ودرار, سللن اس زڭ وسوف  -اسهوررط ن وغيول",He laughed on the mountain and they heard him from the valley! – The braying of the donkey.
"ⵉⵅⵔⴼⵉⵢⵏ ⵜⵜⵎⵏⵖⴰⵏ, ⵜⵏⵟⵟⵡ ⴰⵙⵏ ⵜⵉⵎⵙⵙⵉ ⵣⴳ ⵡⴰⵛⵛⴰⵡⵏ  -ⴰⴷⵊⴰⵊⵏ ⴷ ⵡⴰⵙⵙⴰⵎⵏ",تتصارع الأكباش وتطلق النار من قرونها!– الرعود والبروق.,"ikhrfiyn ttmnghan, tnṭṭw asn timssi zg washshawn  -adjajn d wassamn","يخرفيين تتمنغان, تنططو اسن تيمسسي زڭ واششاون  -ادجاجن د واسسامن","""The rams clash and fire from their horns! – Thunder and lightning."""
"ⵉⵣⴰⵢⴷ ⴷ ⴰⵡⵜⵎ, ⵉⴷⵡⵍ ⴷ ⵜⴰⵡⵜⵎⵜ  -ⴰⵣⵛⵜⵓⵏ",وُلد ذكرا وأصبح أنثى!– الزيتون.,"izayd d awtm, idwl d tawtmt  -azshtun","يزايد د اوتم, يدول د تاوتمت  -ازشتون","""Born male and became female! – The olive."""
"ⵉⵣⴰⵢⴷ ⴷ ⵢⵎⵎⵓⵜ, ⵉⴼⴼⵖ ⴷ ⵣⵣⴰⴳ-ⵙ ⵉⴷⴷⵔ  -ⴼⵓⵍⵍⵓⵙ",وُلد ميتا وخرج منها حيا!– الكتكوت.,"izayd d ymmut, iffgh d zzag-s iddr  -fullus","يزايد د يمموت, يففغ د ززاڭ-س يددر  -فوللوس",Born dead and emerged alive! – The chick.
ⵉⵣⵎ ⴰⵣⵉⵣⴰ ⵢⴰⵏⵉⵙ ⵎⵎⴰ ⵢⴽⴽⴰ  ⵢⴷⴳⴳⵯⵍ ⴷ ⴰⵣⴳⴳⵯⴰⵖ  -ⵍⵃⵏⵏⵉ,أسد أخضر أينما مر يصبح أحمر!– الحناء.,izm aziza yanis mma ykka  ydggⵯl d azggⵯagh  -lḥnni,يزم ازيزا يانيس مما يككا  يدڭڭⵯل د ازڭڭⵯاغ  -لحنني,A green lion that turns red wherever it passes! – Henna.
"ⵉⵣⵎ ⵉⵣⵀⵀⵔ, ⵓⵍⵍⵉ ⵜⵜⴰⵜⴼⵏⵜ  -ⵜⴰⵙⵉⵔⵜ",الأسد يزأر والنعاج تدخل!– المطحنة / الرحى.,"izm izhhr, ulli ttatfnt  -tasirt","يزم يزههر, وللي تتاتفنت  -تاسيرت","The lion roars, and the sheep enter! – The mill / the grindstone."
"ⵉⵣⵎ ⵉⵣⵀⵀⵔ, ⵓⵍⵍⵉ ⵜⵜⴰⵜⴼⵏⵜ  -ⴰⵖⵕⴰⵙ ⴷ ⵜⵣⵉⵣⵡⴰ",الأسد يزأر والنعاج تدخل!– القفير والنحل.,"izm izhhr, ulli ttatfnt  -aghṛas d tzizwa","يزم يزههر, وللي تتاتفنت  -اغراس د تزيزوا","""The lion roars, and the sheep enter! – The hive and the bees."""
"ⵉⵥⵉⴹ ⴰⵎ ⵙⵙⴽⴽⵯⴰⵕ, ⵉⵜⵇⵍ ⴰⵎ ⵓⵇⵏⵟⴰⵕ  -ⵉⵟⵚ",حلو كالسكر وثقيل كالقنطار!– النوم.,"iẓiḍ am sskkⵯaṛ, itql am uqnṭaṛ  -iṭṣ","يزّيض ام سسككⵯار, يتقل ام وقنطار  -يطص",Sweet as sugar and heavy as a quintal! – Sleep.
ⵉⵥⵡⴰ ⵙⵓⴼ ⵓⵔ ⵉⴱⵣⵉⴳ  -ⴰⵃⵟⵉⵟ,عبر الوادي ولم يتبلل!– الجنين.,iẓwa suf ur ibzig  -aḥṭiṭ,يزّوا سوف ور يبزيڭ  -احطيط,"""Crossed the valley without getting wet! – The embryo."""
"ⵉⵄⵟⵚ ⵓⵇⵜⵔⵉⴱ, ⵉⵙⵙⵎⵓⵏⵙⵓ ⵇⴰⵄ ⵎⵉⴷⴷⵏ  -ⵍⵓⵇⵉⴷ",عطس التيس وعشى كل الناس!– عود الثقاب.,"i3ṭṣ uqtrib, issmunsu qa3 middn  -luqid","يعطص وقتريب, يسسمونسو قاع ميددن  -لوقيد","""The goat sneezed and fed all the people! – The matchstick."""
"ⵊⵏⵉⵏ ⵢⵉⵍⵖⵎⴰⵏ ⴷ ⵜⵍⵖⵎⵉⵏ, ⵓⵔ ⵏⵙⵙⵉⵏ ⴰⵡⵜⵎ ⵣⵣⵉ ⵜⴰⵡⵜⵎⵜ  -ⵜⵉⵎⵟⵍⵉⵏ",نامت الجمال والنوق ولا نعرف الذكر من الأنثى!– القبور.,"jnin yilghman d tlghmin, ur nssin awtm zzi tawtmt  -timṭlin","جنين ييلغمان د تلغمين, ور نسسين اوتم ززي تاوتمت  -تيمطلين","""The camels and dromedaries slept, and we cannot distinguish the male from the female! – The graves."""
"ⵍⴰⵍⵍⴰ ⵢⵍⵍⵉⵙ ⵏ ⵍⴰⵍⵍⴰ, ⵜⵉⴼ ⴰⵖⵕⵓⵎ ⵉ ⵢⵎⵎⴰ-ⵙ  -ⵜⵣⵉⵣⵡⵉ",سيدتي بنت سيدتي خبزها أفضل من أمها!– النحلة.,"lalla yllis n lalla, tif aghṛum i ymma-s  -tzizwi","لاللا يلليس ن لاللا, تيف اغروم ي يمما-س  -تزيزوي","""My lady, the daughter of my lady, her bread is better than her mother's! – The bee."""
"ⵍⴱⴷⴰ ⵏⵏⵟⵏ ⴰⵙ ⵡⴰⵕⴰ ⵏⵏⵙ, ⵉⴳⴳⵓⵔ ⵉⵜⵜⴰⵙⴷ ⵊⴰⵔ ⴰⵙⵏ, ⵖⵉⵔ ⴰⴷ ⵉⵡⵙⵔ ⵉⴷⵡⵍ ⴷ ⴰⵎⵥⵥⵢⴰⵏ  -ⵢⵓⵔ ⴷ ⵢⵉⵜⵔⴰⵏ",دائما محاط بأبنائه، يمشي ويأتي بينهم، عندما يشيخ يصبح صغيرا!– القمر والنجوم.,"lbda nnṭn as waṛa nns, iggur ittasd jar asn, ghir ad iwsr idwl d amẓẓyan  -yur d yitran","لبدا ننطن اس وارا ننس, يڭڭور يتتاسد جار اسن, غير اد يوسر يدول د امزّزّيان  -يور د ييتران","Always surrounded by its children, it walks and comes among them; when it ages, it becomes small! – The moon and the stars."
"ⵍⵍⴰⵏⵜ ⵖⴰⵔ-ⵉ ⵙⵏⵜ ⵏ ⵜⵡⵎⴰⵜⵉⵏ, ⵉⵛⵜ ⵜⵅⵙ ⵍⵃⵏⵏⵉ ⵢⵉⵛⵜ ⵍⴰ  -ⵅⵉⵣⵣⵓ ⴷ ⵓⵍⴼⵜⵉ",لدي أختان واحدة تريد الحناء والأخرى لا!– الجزر واللفت.,"llant ghar-i snt n twmatin, isht tkhs lḥnni yisht la  -khizzu d ulfti","للانت غار-ي سنت ن توماتين, يشت تخس لحنني ييشت لا  -خيززو د ولفتي","I have two sisters: one wants henna, and the other does not! – Carrots and turnips."
"ⵍⵍⴰⵏⵜ ⵙⵏⴰⵜ ⵏ ⵜⵙⴷⵏⴰⵏ, ⵉⵛⵜ ⵜⵙⵙⴽⴷⵓⴱ ⵓⵔ ⵜⵜⴱⴰⵏⴻⵏ ⵍⴽⴷⵓⴱ ⵏⵏⵙ, ⵉⵛⵜ ⵜⵙⵙⴽⴷⵓⴱ ⵜⵜⴱⴰⵏⴻⵏ ⵍⴽⴷⵓⴱ ⵏⵏⵙ  -ⵜⴰⴳⵛⵛⵓⵍⵜ ⴷ ⵜⵙⵉⵔⵜ",هناك امرأتان واحدة تكذب ولا يظهر كذبها والأخرى تكذب وينكشف كذبها!– الممخضة والمطحنة.,"llant snat n tsdnan, isht tsskdub ur ttbanen lkdub nns, isht tsskdub ttbanen lkdub nns  -tagshshult d tsirt","للانت سنات ن تسدنان, يشت تسسكدوب ور تتبان°ن لكدوب ننس, يشت تسسكدوب تتبان°ن لكدوب ننس  -تاڭششولت د تسيرت","There are two women: one lies, and her lies are not revealed, while the other lies, and her lies are exposed! – The refined and the grinder."
"ⵍⵅⵣⵏⴰ  ⵏ ⵙⵉⴷⵉ ⴱⵍⵄⴱⴱⴰⵙ, ⵓⵔ  ⵜⵜ  ⵉⵔⵥⵥⵎ  ⵖⵉⵔ ⵜⵖⵎⴰⵙ  -ⵜⴰⵕⵎⵎⴰⵏⵜ",خزانة سيدي بلعباس لا يفتحها إلا الأسنان!– الرمانة.,"lkhzna  n sidi bl3bbas, ur  tt  irẓẓm  ghir tghmas  -taṛmmant","لخزنا  ن سيدي بلعبباس, ور  تت  يرزّزّم  غير تغماس  -تارممانت","""The chest of Sidi Bel Abbes can only be opened by teeth! – The pomegranate."""
"ⵍⵄⵊⴱ ⴱⵓ ⵄⵊⴱⴰⵢⵏ, ⴱⵓ ⵄⵛⵕⴰ ⵢⵟⴰⵕⵏ, ⴱⵓ ⵢⵉⵛⵜ ⵏ ⵜⵖⵎⵙⵜ  -ⵜⵙⵉⵍⵉ ⴷ ⵜⴳⵔⵙⴰ",العجب العجاب صاحب عشرة أرجل وسن واحدة!– المحراث الخشبي وسكته.,"l3jb bu 3jbayn, bu 3shṛa yṭaṛn, bu yisht n tghmst  -tsili d tgrsa","لعجب بو عجباين, بو عشرا يطارن, بو ييشت ن تغمست  -تسيلي د تڭرسا",The astonishing wonder with ten legs and one tooth! – The wooden plow and its blade.
"ⵍⵄⵎⴰⵕⵜ ⵏⵏⵙ ⴷ ⵜⴰⵎⵍⵍⴰⵍⵜ, ⵏⵜⵜⴰⵜ ⴷ ⵜⴰⴱⵔⵛⴰⵏⵜ  -ⵜⵉⵥⵉ ⵏ ⵜⵉⵅⵙⵉ",ذخيرتها بيضاء وهي سوداء!– أضرع النعجة.,"l3maṛt nns d tamllalt, nttat d tabrshant  -tiẓi n tikhsi","لعمارت ننس د تامللالت, نتتات د تابرشانت  -تيزّي ن تيخسي","""Its supply is white, and it is black! – The udder of the sheep."""
"ⵎⴰ ⵜⵅⵙⵜ ⴰⴷ ⵅⴰⴼ-ⵙ ⵜⴼⴼⵖⵜ, ⵏⵄⵜ ⴰⵙ ⵜⴰⵎⵣⴳⵉⴷⴰ  -ⴰⵖⵔⴹⴰ",إذا أردت أن تتخلص منه أره المسجد!– الفأر.,"ma tkhst ad khaf-s tffght, n3t as tamzgida  -aghrḍa","ما تخست اد خاف-س تففغت, نعت اس تامزڭيدا  -اغرضا",Translation Error
"ⵎⴰ ⵡⵔ ⴰⵙ ⵉⵍⵍⵉ ⵡⵏⴳⴰⵔ, ⵓⵔ ⵜⴳⴳⵓⵔ  -ⵜⴰⵛⵓⵔⵜ",إذا لم تدفعها لن تمشي!– الكرة.,"ma wr as illi wngar, ur tggur  -tashurt","ما ور اس يللي ونڭار, ور تڭڭور  -تاشورت","""If you don't push it, it won't move! – The ball."""
"ⵎⴻⵎⵎⵉⵙ ⵉⵖⵍⵍⴱ ⵉ ⵡⴰⵟⵓ, ⵢⵎⵎⴰ-ⵙ ⵖⵍⵍⴱⵏ ⵜⵜ ⵡⴰⵎⴰⵏ  -ⴷⴷⵅⵅⴰⵏ ⴷ ⵜⵎⵙⵙⵉ",ابنها تغلبه الريح وأمه يغلبها الماء!– الدخان والنار.,"memmis ighllb i waṭu, ymma-s ghllbn tt waman  -ddkhkhan d tmssi","م°مميس يغللب ي واطو, يمما-س غللبن تت وامان  -ددخخان د تمسسي","""Her son is overcome by the wind, and his mother is overcome by the water! – Smoke and fire."""
"ⵎⵉⴷⴷⵏ ⵜⵜⵔⵓⵏ ⵣⵣⵉ ⵜⵉⵟⵟⴰⵡⵉⵏ, ⵏⵜⵜⴰ ⵢⵜⵜⵔⵓ ⵣⴳ ⵓⵣⵍⵍⵉⴼ  -ⵙⵙⵜⵉⵍⵓ",الناس تبكي من العينين وهو يبكي من الرأس!– القلم الجاف.,"middn ttrun zzi tiṭṭawin, ntta yttru zg uzllif  -sstilu","ميددن تترون ززي تيططاوين, نتتا يتترو زڭ وزلليف  -سستيلو","""People cry from their eyes, but he cries from his head! – The ballpoint pen."""
"ⵎⵉⵍⵍⵉ ⵢⴰⴷ ⵉⴱⴷⴷ, ⵢⴰⵡⵟ ⴰⵊⵏⵏⴰ  -ⴰⴱⵔⵉⴷ",لو وقف لوصل إلى السماء!– الطريق.,"milli yad ibdd, yawṭ ajnna  -abrid","ميللي ياد يبدد, ياوط اجننا  -ابريد","""If he stood, he would reach the sky! – The road."""
"ⵎⵉⵍⵍⵉ ⵢⵍⵉⴷ ⵏⵏⵉⵜⵏⵉ, ⵓⵔ ⴷ ⵖⴰⵔ-ⵛ ⴳⴳⵓⵔⵖ  -ⵉⵟⴰⵕⵏ",لولاهما لما أتيت إليك!– الأرجل.,"milli ylid nnitni, ur d ghar-sh ggurgh  -iṭaṛn","ميللي يليد ننيتني, ور د غار-ش ڭڭورغ  -يطارن","""If it weren't for them, I wouldn't have come to you! – The legs."""
"ⵎⵕⵕⴰ ⵢⵉⵕⵟ, ⵎⵕⵕⴰ ⵢⵇⵇⵉⵎ ⵄⴰⵔⵉ  -ⴰⵊⵏⵏⴰ",مرة مرتدية ومرة بقيت عارية!– السماء.,"mṛṛa yiṛṭ, mṛṛa yqqim 3ari  -ajnna","مررا ييرط, مررا يققيم عاري  -اجننا","""Sometimes dressed, and sometimes left bare! – The sky."""
ⵎⵛⵃⴰⵍ ⴰⵢ ⵜⴻⵜⵜⵛⴰ ⵜⵙⵓⵍ ⵓⵔ ⵜⵛⵡⵉ  -ⵍⵎⵓⵜ,كم أكلت ولازالت لم تشبع!– الموت.,mshḥal ay tettsha tsul ur tshwi  -lmut,مشحال اي ت°تتشا تسول ور تشوي  -لموت,How much has it devoured and still remains unsatisfied! – Death.
"ⵎⵓⵏⵏⵜ  ⵅⴰⴼ-ⵙ, ⵜⵜⵛⴰⵜⵏⵜ ⵜ ⵓⵔ ⵜ ⵙⵙⵉⵖⵉⵏ -ⵉⵍⵙ",اجتمعن عليه يضربنه ولا يلمسنه!– اللسان.,"munnt  khaf-s, ttshatnt t ur t ssighin -ils","موننت  خاف-س, تتشاتنت ت ور ت سسيغين -يلس","""They gathered around him, striking him without touching him! – The tongue."""
"ⵎⵢⴰ ⵏ ⵜⵄⴱⴰⵏⵉⵏ ⴷ ⵜⵄⴱⴰⵏⵉⵏ, ⵜⵉⵟⴰⵕⵉⵏ ⴷ ⵜⵉⵄⵔⵢⴰⵏⵉⵏ  -ⵜⵢⴰⵥⵉⵟⵜ",مئة فستان وفستان والسيقان عارية!– الدجاجة.,"mya n t3banin d t3banin, tiṭaṛin d ti3ryanin  -tyaẓiṭt","ميا ن تعبانين د تعبانين, تيطارين د تيعريانين  -تيازّيطت","""One hundred dresses and one, with bare legs! – The chicken."""
"ⵎⵢⴰ ⵜⵜⴰⵜⴼ, ⵎⵢⴰ ⵜⵜⴼⴼⵖ, ⵜⴰⵟⴰⵕⵜ ⵏ ⵢⵉⵖⵉⴷ ⵓⵔ ⵜⵜⵉⵜⴼ  -ⴰⵅⴱⵓⵛ ⵏ ⵜⵛⵟⴼⵉⵏ",مئة تدخل ومئة تخرج وقائمة الجدي لن تدخل!– حفرة النمل.,"mya ttatf, mya ttffgh, taṭaṛt n yighid ur ttitf  -akhbush n tshṭfin","ميا تتاتف, ميا تتففغ, تاطارت ن ييغيد ور تتيتف  -اخبوش ن تشطفين","""One hundred go in, one hundred come out, but the goat's list will not enter! – The ant hole."""
ⵏⴰⵏⵏⴰ ⴷ ⵜⴰⵎⵏⵏⵓⵇⵇⴱⵜ ⵏ ⵉⵏⵉⵔⵣ  -ⵜⵉⵙⵖⵏⵙⵜ,جدتي مثقوبة الكعب!– المشبك.,nanna d tamnnuqqbt n inirz  -tisghnst,ناننا د تامننوققبت ن ينيرز  -تيسغنست,My grandmother has a pierced heel! – The clasp.
ⵏⴰⵏⵏⴰ ⴷ ⵜⵎⵉⵥⵉⴹⵜ ⵏ ⵡⴰⴷⴰⵏ  -ⵜⴰⴷⵊⵓⵣⵜ,جدتي حلوة الأمعاء!– ثمرة الجوز.,nanna d tmiẓiḍt n wadan  -tadjuzt,ناننا د تميزّيضت ن وادان  -تادجوزت,My grandmother is sweet in the intestines! – The walnut.
"ⵏⴰⵏⵏⴰ ⵜⴽⵙⵙⵉ ⴷⴰⴷⴷⴰ, ⴷⴰⴷⴷⴰ ⵢⴽⵙⵙⵉ ⵢⴰⵢⵏⵏ ⵜⵍⴰ ⴷⴷⵓⵏⵛⵜ  -ⵜⴰⴱⵕⵉⵎⵜ ⴷ ⵓⵎⴰⴷⵓⵏ ⴷ ⵓⴱⵍⴱⵓⵍ",جدتي تحمل جدي، وجدي يحمل ما تملكه الدنيا!– القدر والكسكاس والسميد الغليظ.,"nanna tkssi dadda, dadda ykssi yaynn tla ddunsht  -tabṛimt d umadun d ublbul","ناننا تكسسي داددا, داددا يكسسي ياينن تلا ددونشت  -تابريمت د ومادون د وبلبول","My grandmother carries my grandfather, and my grandfather carries all that the world holds! – The pot, the couscous steamer, and the coarse semolina."
ⵏⴰⵏⵏⴰ ⵜⵥⵥⵓⵖⵖⵓⵕ ⵉⵚⵕⵎⴰⵏ  -ⵜⴰⵅⵉⵢⵢⴰⵟⵜ / ⵜⵉⵙⵙⵢⵏⵛⵜ,جدتي تجر الأمعاء!– الإبرة.,nanna tẓẓughghuṛ iṣṛman  -takhiyyaṭt / tissynsht,ناننا تزّزّوغغور يصرمان  -تاخييياطت / تيسسينشت,My grandmother is threading the needle!
"ⵏⵖⵔⵔⵙ ⴰⵙ, ⵏⵜⵜⵔⵓ ⵅⴰⴼ-ⵙ  -ⵜⴰⴱⵚⵍⵜ / ⵜⴰⵍⵉⴷⴰⵎⵜ",نذبحها ونبكي عليها!– البصلة.,"nghrrs as, nttru khaf-s  -tabṣlt / talidamt","نغررس اس, نتترو خاف-س  -تابصلت / تاليدامت",We slaughter it and cry over it! – The onion.
