"English","Tamazight_Sentence","Dialect","Tamazight","Tamazight_Latin","Tamazight_Arabic"
"I didn't know why he was running like that","ⵓⵔ ⵙⵙⵉⵏⵅ ⴰⴽⴽⵯ ⵎⴰⵅ ⴰⵍⵍⵉⴳ ⴰⵔ ⵉⵜⵜⴰⵣⵣⴰⵍ ⵡⴰⵏ ⵎⴽⵯⴰ ⵏⵏⴰⵅ","Central","ⵓⵔ ⵙⵙⵉⵏⵅ ⴰⴽⴽⵯ ⵎⴰⵅ ⴰⵍⵍⵉⴳ ⴰⵔ ⵉⵜⵜⴰⵣⵣⴰⵍ ⵡⴰⵏ ⵎⴽⵯⴰ ⵏⵏⴰⵅ","ur ssinkh akkⵯ makh allig ar ittazzal wan mkⵯa nnakh","ور سسينخ اككⵯ ماخ الليڭ ار يتتاززال وان مكⵯا نناخ"
"And it wasn't long before he came with my father to the room,","ⵉⵎⵉⵇ, ⵀⴰⵜⵉ ⵢⴰⵖⵖⵓⵍ ⴷ ⵙ ⵓⵃⴰⵏⵓ ⵏⵜⵜⴰ ⴷ ⵉⴱⴱⴰ. ","Central","ⵉⵎⵉⵇ, ⵀⴰⵜⵉ ⵢⴰⵖⵖⵓⵍ ⴷ ⵙ ⵓⵃⴰⵏⵓ ⵏⵜⵜⴰ ⴷ ⵉⴱⴱⴰ. ","imiq, hati yaɣɣul d s uḥanu ntta d ibba. ","يميق, هاتي ياغغول د س وحانو نتتا د يببا. "
"And he was jumping and clapping his hands above the window next to his bed","ⵉⵍⵍⴰ ⴰⵔ ⵉⵎⵟⵟⵓ  ⴷ ⴰⵔ ⵉⵙⵖⵓⵢⵢⵓ. ⵉⵍⵍⴰ ⵢⵓⵙⵉ ⵉⴹⵓⴹⴰⵏ ⵏⵏⵙ ⵙ ⵏⵏⵉⴳ ⵓⵛⵕⵊⵎ ⴷⴰ ⵉⵍⵍⴰⵏ ⵜⴰⵎⴰ ⵏ ⵜⵉⵙⵉ ⵏⵏⵙ. ⵉⵍⵍⴰ ⴰⵔ ⵉⵙⵖⵓⵢⵢⵓ:  ","Central","ⵉⵍⵍⴰ ⴰⵔ ⵉⵎⵟⵟⵓ  ⴷ ⴰⵔ ⵉⵙⵖⵓⵢⵢⵓ. ⵉⵍⵍⴰ ⵢⵓⵙⵉ ⵉⴹⵓⴹⴰⵏ ⵏⵏⵙ ⵙ ⵏⵏⵉⴳ ⵓⵛⵕⵊⵎ ⴷⴰ ⵉⵍⵍⴰⵏ ⵜⴰⵎⴰ ⵏ ⵜⵉⵙⵉ ⵏⵏⵙ. ⵉⵍⵍⴰ ⴰⵔ ⵉⵙⵖⵓⵢⵢⵓ:  ","illa ar imṭṭu  d ar isɣuyyu. illa yusi iḍuḍan nns s nnig ushṛjm da illan tama n tisi nns. illa ar isɣuyyu:  ","يللا ار يمططو  د ار يسغوييو. يللا يوسي يضوضان ننس س ننيڭ وشرجم دا يللان تاما ن تيسي ننس. يللا ار يسغوييو:  "
"From here came that sound","-ⴷⵉⵅ ⴰⴳ ⴷⴰⵙ ⵙⵍⵍⴰⵅ, ⴷⵉⵅ !!","Central","-ⴷⵉⵅ ⴰⴳ ⴷⴰⵙ ⵙⵍⵍⴰⵅ, ⴷⵉⵅ !!","-dikh ag das sllakh, dikh !!","-ديخ اڭ داس سللاخ, ديخ !!"
"I told him","ⵏⵏⵉⵅ ⴰⵙ:","Central","ⵏⵏⵉⵅ ⴰⵙ:","nnikh as:","ننيخ اس:"
"What sound?","-ⵎⴰ ⵎⵉ ⵜⵙⵍⵍⴰⵜ !","Central","-ⵎⴰ ⵎⵉ ⵜⵙⵍⵍⴰⵜ !","-ma mi tsllat !","-ما مي تسللات !"
"And my father said","ⵉⵏⵏⴰ ⵉⵢ ⵉⴱⴱⴰ","Central","ⵉⵏⵏⴰ ⵉⵢ ⵉⴱⴱⴰ","inna iy ibba","يننا يي يببا"
"The Rif boys are well known for playing the guitar so well. Among the most relevant Rif singers we can name the following: El Walid Mimoun, Alal Chilah, Qusmit, Grupo Ithran, Grupo Agraf.","Ihudriyen n-Arrif twasnen atas s-irar n-sen mlih s Guitarra. Zi imadyazen n-Arrif iyatwasnen s watas zammar ad-niddar ina: El Walid Mimoun, Alal Chilah, Qusmit, Grupu n-Ithran, Grupu n-Agraf.","Tarifit","Iⵁⵓⴷⵔⵉⵢⴻⵏ ⵏ-Aⵔⵔⵉⴼ ⵝⵡⴰⵙⵏⴻⵏ ⴰⵝⴰⵙ ⵙ-ⵉⵔⴰⵔ ⵏ-ⵙⴻⵏ ⵎⵍⵉⵁ ⵙ Gⵓⵉⵝⴰⵔⵔⴰ. Zⵉ ⵉⵎⴰⴷⵢⴰⵣⴻⵏ ⵏ-Aⵔⵔⵉⴼ ⵉⵢⴰⵝⵡⴰⵙⵏⴻⵏ ⵙ ⵡⴰⵝⴰⵙ ⵣⴰⵎⵎⴰⵔ ⴰⴷ-ⵏⵉⴷⴷⴰⵔ ⵉⵏⴰ: Eⵍ Wⴰⵍⵉⴷ Mⵉⵎoⵓⵏ, Aⵍⴰⵍ Cⵁⵉⵍⴰⵁ, Qⵓⵙⵎⵉⵝ, Gⵔⵓⵒⵓ ⵏ-Iⵝⵁⵔⴰⵏ, Gⵔⵓⵒⵓ ⵏ-Aⴴⵔⴰⴼ.","Ihudriyen n-Arrif twasnen atas s-irar n-sen mlih s Guitarra. Zi imadyazen n-Arrif iyatwasnen s watas zammar ad-niddar ina: El Walid Mimoun, Alal Chilah, Qusmit, Grupu n-Ithran, Grupu n-Agraf.","Ihudriyen n-Arrif twasnen atas s-irar n-sen mlih s Guitarra. Zi imadyazen n-Arrif iyatwasnen s watas zammar ad-niddar ina: El Walid Mimoun, Alal Chilah, Qusmit, Grupu n-Ithran, Grupu n-Agraf."
"The discovery of an important archaeological find confirmed that Walili is a Romanized Amazigh city, making it a major archaeological site in Morocco.","ⵜⵜⵢⴰⴼⴰⵏⵜ ⴳⵉⵙ ⴽⵔⴰ ⵏ ⵜⵉⴼⵉⵜⵉⵏ ⵜⵉⴷⵔⵣⴰⵏⵉⵏ ⵙⴷⴷⵉⴷⵏⵜ ⵎⴰⵙ ⵜⴳⴰ ⵡⴰⵍⵉⵍⵉ ⵜⴰⵎⴷⵉⵏⵜ ⵜⴰⵎⴰⵣⵉⵖⵜ ⵉⵜⵜⵓⵙⵕⵓⵎⵏⵏ, ⴰⵢⵍⵍⵉ ⵜⵜ ⵢⵓⵊⵊⴰⵏ ⴰⴷ ⵜⴳ ⵢⴰⵏ ⵡⴰⵏⵙⴰ ⴰⴷⵔⵣⴰⵏ ⴰⴷⵙⵍⴰⵏ ⴳ ⵍⵎⵖⵔⵉⴱ.","Central","ⵜⵜⵢⴰⴼⴰⵏⵜ ⴳⵉⵙ ⴽⵔⴰ ⵏ ⵜⵉⴼⵉⵜⵉⵏ ⵜⵉⴷⵔⵣⴰⵏⵉⵏ ⵙⴷⴷⵉⴷⵏⵜ ⵎⴰⵙ ⵜⴳⴰ ⵡⴰⵍⵉⵍⵉ ⵜⴰⵎⴷⵉⵏⵜ ⵜⴰⵎⴰⵣⵉⵖⵜ ⵉⵜⵜⵓⵙⵕⵓⵎⵏⵏ, ⴰⵢⵍⵍⵉ ⵜⵜ ⵢⵓⵊⵊⴰⵏ ⴰⴷ ⵜⴳ ⵢⴰⵏ ⵡⴰⵏⵙⴰ ⴰⴷⵔⵣⴰⵏ ⴰⴷⵙⵍⴰⵏ ⴳ ⵍⵎⵖⵔⵉⴱ.","ttyafant gis kra n tifitin tidrzanin sddidnt mas tga walili tamdint tamaziɣt ittusṛumnn, aylli tt yujjan ad tg yan wansa adrzan adslan g lmɣrib.","تتيافانت ڭيس كرا ن تيفيتين تيدرزانين سدديدنت ماس تڭا واليلي تامدينت تامازيغت يتتوسرومنن, ايللي تت يوججان اد تڭ يان وانسا ادرزان ادسلان ڭ لمغريب."
"The sound of Tifililist that Anir heard","ⴳⵯⵎⴰⴽ ⴰⵏⵉⵔ ⵉⵏⵏⴰ ⵉⵢ ⵉⵙⵍⵍⴰ ⵉ ⴽⵔⴰ ⵏ ⵜⴼⵍⵉⵍⵍⵉⵙⵜ ⴷⵉⵏⵏ ⴰⵅ","Central","ⴳⵯⵎⴰⴽ ⴰⵏⵉⵔ ⵉⵏⵏⴰ ⵉⵢ ⵉⵙⵍⵍⴰ ⵉ ⴽⵔⴰ ⵏ ⵜⴼⵍⵉⵍⵍⵉⵙⵜ ⴷⵉⵏⵏ ⴰⵅ","gⵯmak anir inna iy islla i kra n tflillist dinn akh","ڭⵯماك انير يننا يي يسللا ي كرا ن تفليلليست دينن اخ"
"I knew that Tifililist was leaving and coming back","ⵍⵍⵉⵅ ⵏⴽⴽⵉⵏ ⵙⵙⵏⵅ ⵉⵙ ⵜⵉⴼⵍⵉⵍⵍⵉⵙⵜ ⴷⴰ ⵜⵜⵓⴷⵓ ⵜⴰⵖⵖⵓⵍ ⴷ. ","Central","ⵍⵍⵉⵅ ⵏⴽⴽⵉⵏ ⵙⵙⵏⵅ ⵉⵙ ⵜⵉⴼⵍⵉⵍⵍⵉⵙⵜ ⴷⴰ ⵜⵜⵓⴷⵓ ⵜⴰⵖⵖⵓⵍ ⴷ. ","llikh nkkin ssnkh is tiflillist da ttudu taɣɣul d. ","لليخ نككين سسنخ يس تيفليلليست دا تتودو تاغغول د. "
"But I didn't know when","ⵎⴰⵛⴰ ⵓⵔ ⵍⵍⵉⵅ ⵙⵙⵉⵏⵅ ⵎⴰⵏⴰⵙⵔⴰ","Central","ⵎⴰⵛⴰ ⵓⵔ ⵍⵍⵉⵅ ⵙⵙⵉⵏⵅ ⵎⴰⵏⴰⵙⵔⴰ","masha ur llikh ssinkh manasra","ماشا ور لليخ سسينخ ماناسرا"
"I asked my father","ⵙⵇⵙⴰⵅ ⵉⴱⴱⴰ","Central","ⵙⵇⵙⴰⵅ ⵉⴱⴱⴰ","sqsakh ibba","سقساخ يببا"
"The site became very famous internationally when the last temptation of Christ was filmed by director Scorsese.","ⵉⵜⵜⵓⵙⵙⴰⵏ ⴱⴰⵀⵔⴰ ⵡⴰⵏⵙⴰ ⴳ ⵓⵎⴰⴹⴰⵍ ⴰⵍⵍⵉⵖ ⴳⵉⵙ ⵉⵜⵜⵓⵙⴽⴰⵔ ⵓⵙⵡⵍⴼ ⵏ ⵓⴼⵉⵍⵎ ""ⴰⵙⵓⵔⵔⵙ ⴰⵎⴳⴳⴰⵔⵓ ⵏ ⵓⵎⴰⵙⵉⵃ"" ⵏ ⵓⵎⵙⵙⵓⴼⵖ ⵙⴽⵓⵔⵙⵉⵣⵉ.","Central","ⵉⵜⵜⵓⵙⵙⴰⵏ ⴱⴰⵀⵔⴰ ⵡⴰⵏⵙⴰ ⴳ ⵓⵎⴰⴹⴰⵍ ⴰⵍⵍⵉⵖ ⴳⵉⵙ ⵉⵜⵜⵓⵙⴽⴰⵔ ⵓⵙⵡⵍⴼ ⵏ ⵓⴼⵉⵍⵎ ""ⴰⵙⵓⵔⵔⵙ ⴰⵎⴳⴳⴰⵔⵓ ⵏ ⵓⵎⴰⵙⵉⵃ"" ⵏ ⵓⵎⵙⵙⵓⴼⵖ ⵙⴽⵓⵔⵙⵉⵣⵉ.","ittussan bahra wansa g umaḍal alliɣ gis ittuskar uswlf n ufilm ""asurrs amggaru n umasiḥ"" n umssufɣ skursizi.","يتتوسسان باهرا وانسا ڭ وماضال الليغ ڭيس يتتوسكار وسولف ن وفيلم ""اسوررس امڭڭارو ن وماسيح"" ن ومسسوفغ سكورسيزي."
"When does Tifililist return from her trip?","ⵎⴰⵏⴰⵙⵔⴰ ⴷⴰ ⴷ ⵜⴻⵜⵜⴰⵖⵓⵍ ⵜⵉⴼⵍⵉⵍⵍⵉⵙⵜ ⵙⴳ ⵓⵎⵓⴷⴷⵓ ⵏⵏⵙ?","Central","ⵎⴰⵏⴰⵙⵔⴰ ⴷⴰ ⴷ ⵜⴻⵜⵜⴰⵖⵓⵍ ⵜⵉⴼⵍⵉⵍⵍⵉⵙⵜ ⵙⴳ ⵓⵎⵓⴷⴷⵓ ⵏⵏⵙ?","manasra da d tettaɣul tiflillist sg umuddu nns?","ماناسرا دا د ت°تتاغول تيفليلليست سڭ وموددو ننس?"
"My father told me","ⵉⵏⵏⴰ ⵉⵢ ⵉⴱⴱⴰ","Central","ⵉⵏⵏⴰ ⵉⵢ ⵉⴱⴱⴰ","inna iy ibba","يننا يي يببا"
"Now","ⴷⵖⵉⵇ ⵏⵏⵉⵜ","Central","ⴷⵖⵉⵇ ⵏⵏⵉⵜ","dɣiq nnit","دغيق ننيت"
"Don't you know that we are now at the beginning of March?","ⵉⵙ ⵓⵔ ⵜⵙⵙⵉⵏⵜ ⵉⵙ ⵏⵍⵍⴰ ⴳ ⵓⵎⵣⵡⴰⵔⵓ ⵏ ⵡⴰⵢⵢⵓⵔ ⵏ ⵎⴰⵔⵙ?","Central","ⵉⵙ ⵓⵔ ⵜⵙⵙⵉⵏⵜ ⵉⵙ ⵏⵍⵍⴰ ⴳ ⵓⵎⵣⵡⴰⵔⵓ ⵏ ⵡⴰⵢⵢⵓⵔ ⵏ ⵎⴰⵔⵙ?","is ur tssint is nlla g umzwaru n wayyur n mars?","يس ور تسسينت يس نللا ڭ ومزوارو ن واييور ن مارس?"
"Oh, but why does he come back at the beginning of March?","ⵢⵢⴰⵀ ⴰ ⵉⴱⴱⴰ, ⵎⴰⵛⴰ ⵎⴰⵅ ⴰⵍⵍⵉⴳ ⴷⴰ ⵜⴻⵜⵜⴰⵖⵖⵓⵍ ⵖⵔ ⴳ ⵓⵎⵣⵡⴰⵔⵓ ⵏ ⵡⴰⵢⵢⵓⵔ ⵏ ⵎⴰⵔⵙ?","Central","ⵢⵢⴰⵀ ⴰ ⵉⴱⴱⴰ, ⵎⴰⵛⴰ ⵎⴰⵅ ⴰⵍⵍⵉⴳ ⴷⴰ ⵜⴻⵜⵜⴰⵖⵖⵓⵍ ⵖⵔ ⴳ ⵓⵎⵣⵡⴰⵔⵓ ⵏ ⵡⴰⵢⵢⵓⵔ ⵏ ⵎⴰⵔⵙ?","yyah a ibba, masha makh allig da tettaɣɣul ɣr g umzwaru n wayyur n mars?","يياه ا يببا, ماشا ماخ الليڭ دا ت°تتاغغول غر ڭ ومزوارو ن واييور ن مارس?"
"To tell us that spring has arrived","ⵢⴰⴽ ⴰⵅ ⵜⵉⵏⵉ ⵀⴰⵜ ⵜⵍⴽⵎ ⴷ ⵜⴼⵙⵓⵜ!","Central","ⵢⴰⴽ ⴰⵅ ⵜⵉⵏⵉ ⵀⴰⵜ ⵜⵍⴽⵎ ⴷ ⵜⴼⵙⵓⵜ!","yak akh tini hat tlkm d tfsut!","ياك اخ تيني هات تلكم د تفسوت!"
"Lixus city","ⵜⴰⵎⴷⵉⵏⵜ ⵏ ⵍⵉⴽⵙⵓⵙ","Central","ⵜⴰⵎⴷⵉⵏⵜ ⵏ ⵍⵉⴽⵙⵓⵙ","tamdint n liksus","تامدينت ن ليكسوس"
"Is he never late, Dad?","ⵉⵙ ⵓⵔ ⴷⴰ ⵜⵜⴳⵯⵔⴰ ⴳ ⵜⵉⵣⵉ ⵏⵏⵙ ⴰ ⵉⴱⴱⴰ?","Central","ⵉⵙ ⵓⵔ ⴷⴰ ⵜⵜⴳⵯⵔⴰ ⴳ ⵜⵉⵣⵉ ⵏⵏⵙ ⴰ ⵉⴱⴱⴰ?","is ur da ttgⵯra g tizi nns a ibba?","يس ور دا تتڭⵯرا ڭ تيزي ننس ا يببا?"
"No, they never delay the time they go and come back in.","ⵉⵀⵉ; ⴰⵢⵍⴰⵍⵏ ⵓⵔ ⴷⴰ ⵜⵜⴳⴳⵔⵯⴰⵏ ⴳ ⵓⴼⴼⵓⵖ ⴷ ⵡⴰⵖⵖⵓⵍ ⵏⵏⵙⵏ. ","Central","ⵉⵀⵉ; ⴰⵢⵍⴰⵍⵏ ⵓⵔ ⴷⴰ ⵜⵜⴳⴳⵔⵯⴰⵏ ⴳ ⵓⴼⴼⵓⵖ ⴷ ⵡⴰⵖⵖⵓⵍ ⵏⵏⵙⵏ. ","ihi; aylaln ur da ttggrⵯan g uffuɣ d waɣɣul nnsn. ","يهي; ايلالن ور دا تتڭڭرⵯان ڭ وففوغ د واغغول ننسن. "
"And my brother Anir jumped and said","ⵉⵎⴹⵓ ⴷ ⴰⵏⵉⵔ ⵉⵏⵏⴰ","Central","ⵉⵎⴹⵓ ⴷ ⴰⵏⵉⵔ ⵉⵏⵏⴰ","imḍu d anir inna","يمضو د انير يننا"
"Is he a new guest coming to us, Dad?","ⵉⵙ ⵉⴳⴰ ⴽⵔⴰ ⵏ ⵓⵏⴱⴳⵉ ⴰⵎⴰⵢⵏⵓ ⴷⴰ ⴷ ⵉⴷⴷⴰⵏ ⵙ ⵊⴳⴳⵯⴰ ⵏⵏⵅ? ","Central","ⵉⵙ ⵉⴳⴰ ⴽⵔⴰ ⵏ ⵓⵏⴱⴳⵉ ⴰⵎⴰⵢⵏⵓ ⴷⴰ ⴷ ⵉⴷⴷⴰⵏ ⵙ ⵊⴳⴳⵯⴰ ⵏⵏⵅ? ","is iga kra n unbgi amaynu da d iddan s jggⵯa nnkh? ","يس يڭا كرا ن ونبڭي اماينو دا د يددان س جڭڭⵯا ننخ? "
"Or is it just an old friend who has returned to his nest?","ⵏⵖ ⵉⴳⴰ ⵖⵔ ⴽⵔⴰ ⵏ ⵓⵎⴷⴷⴰⴽⵯⵍ ⵉⵍⵍⴰⵏ ⵉⵣⴷⵖ ⴷⴰⵔⵅ ⵏⵏⵉⵜ?","Central","ⵏⵖ ⵉⴳⴰ ⵖⵔ ⴽⵔⴰ ⵏ ⵓⵎⴷⴷⴰⴽⵯⵍ ⵉⵍⵍⴰⵏ ⵉⵣⴷⵖ ⴷⴰⵔⵅ ⵏⵏⵉⵜ?","nɣ iga ɣr kra n umddakⵯl illan izdɣ darkh nnit?","نغ يڭا غر كرا ن ومدداكⵯل يللان يزدغ دارخ ننيت?"
"Most likely it will be just our old friend Anir.","ⵎⴰ ⵉⴳ ⵖⵔ ⴰⵎⴷⴷⴰⴽⵯⵍ ⵏⵏⵅ ⴰⵎⵣⵡⴰⵔⵓ ⴰ ⴰⵏⵉⵔ. ","Central","ⵎⴰ ⵉⴳ ⵖⵔ ⴰⵎⴷⴷⴰⴽⵯⵍ ⵏⵏⵅ ⴰⵎⵣⵡⴰⵔⵓ ⴰ ⴰⵏⵉⵔ. ","ma ig ɣr amddakⵯl nnkh amzwaru a anir. ","ما يڭ غر امدداكⵯل ننخ امزوارو ا انير. "
"Because the chicks think of their nests wherever they go.","ⴰⵛⴽⵓ ⴰⵢⵍⴰⵍⵏ ⴷⴰ ⵜⵜⵉⵙⴰⵏⵏ ⵉⴷⴼⴰⵡⵏ ⵏⵏⵙⵏ ⴷⵉⵏⵏ ⵙ ⴷⴷⴰⵏ. ","Central","ⴰⵛⴽⵓ ⴰⵢⵍⴰⵍⵏ ⴷⴰ ⵜⵜⵉⵙⴰⵏⵏ ⵉⴷⴼⴰⵡⵏ ⵏⵏⵙⵏ ⴷⵉⵏⵏ ⵙ ⴷⴷⴰⵏ. ","ashku aylaln da ttisann idfawn nnsn dinn s ddan. ","اشكو ايلالن دا تتيسانن يدفاون ننسن دينن س ددان. "
"It extends over an area of 62 hectares, away from the well-known tourist path in Morocco.","ⵜⵡⵔⵔⵄ ⵍⵉⴽⵙⵓⵙ ⵖⴼ ⵢⴰⵜ ⵜⵙⵏⴰ ⵏ 62 ⵉⴷ ⵀⵉⴽⵜⴰⵕ, ⵜⴰⴳⴳⵓⴳ ⵖⴼ ⵓⴱⵔⵉⴷ ⵏ ⵜⵎⴰⵍⵍⴰⵢⵜ ⵏⵏⴰ ⵉⵜⵜⵡⴰⵙⵙⵏⵏ ⴳ ⵍⵎⵖⵔⵉⴱ.","Central","ⵜⵡⵔⵔⵄ ⵍⵉⴽⵙⵓⵙ ⵖⴼ ⵢⴰⵜ ⵜⵙⵏⴰ ⵏ 62 ⵉⴷ ⵀⵉⴽⵜⴰⵕ, ⵜⴰⴳⴳⵓⴳ ⵖⴼ ⵓⴱⵔⵉⴷ ⵏ ⵜⵎⴰⵍⵍⴰⵢⵜ ⵏⵏⴰ ⵉⵜⵜⵡⴰⵙⵙⵏⵏ ⴳ ⵍⵎⵖⵔⵉⴱ.","twrr3 liksus ɣf yat tsna n 62 id hiktaṛ, taggug ɣf ubrid n tmallayt nna ittwassnn g lmɣrib.","توررع ليكسوس غف يات تسنا ن 62 يد هيكتار, تاڭڭوڭ غف وبريد ن تماللايت ننا يتتواسسنن ڭ لمغريب."
"She doesn't need anyone to show her where she is","ⵓⵔ ⵎⴰ ⵙⵏ ⵜ ⵉⵙⵎⵍ ⴽⵔⴰ ⵏ ⵢⴰⵏ","Central","ⵓⵔ ⵎⴰ ⵙⵏ ⵜ ⵉⵙⵎⵍ ⴽⵔⴰ ⵏ ⵢⴰⵏ","ur ma sn t isml kra n yan","ور ما سن ت يسمل كرا ن يان"
"And before my father left the house, he told us","ⴷⴰ ⴳ ⵔⴰ ⵉⴼⴼⵖ ⵉⴱⴱⴰ ⵙⴳ ⴷⴰⵔⵅ ⵉⵏⵏⴰⵅ","Central","ⴷⴰ ⴳ ⵔⴰ ⵉⴼⴼⵖ ⵉⴱⴱⴰ ⵙⴳ ⴷⴰⵔⵅ ⵉⵏⵏⴰⵅ","da g ra iffɣ ibba sg darkh innakh","دا ڭ را يففغ يببا سڭ دارخ ينناخ"
"It is near the maritime port of Larache in northern Morocco, distinguished by a magnificent view of the Loukos River. The history of this archaeological site dates back to the twelfth century BC, according to some Greek and Roman texts.","ⵜⵍⵍⴰ ⴳ ⵜⵎⴰ ⵏ ⵓⵙⴰⴳⵏ ⵏ ⵍⵄⵔⴰⵢⵛ ⴳ ⵉⵥⵥⵍⵎⴹ ⵏ ⵍⵎⵖⵔⵉⴱ, ⵜⴻⵜⵜⵓⵥⵍⴰⵢ ⵙ ⵢⴰⵏ ⵓⵙⴰⵏⴰⵢ ⵉⵥⵉⵍⵏ ⵖⴼ ⵡⴰⵙⵉⴼ ⵏ ⵍⵓⴽⵓⵙ.","Central","ⵜⵍⵍⴰ ⴳ ⵜⵎⴰ ⵏ ⵓⵙⴰⴳⵏ ⵏ ⵍⵄⵔⴰⵢⵛ ⴳ ⵉⵥⵥⵍⵎⴹ ⵏ ⵍⵎⵖⵔⵉⴱ, ⵜⴻⵜⵜⵓⵥⵍⴰⵢ ⵙ ⵢⴰⵏ ⵓⵙⴰⵏⴰⵢ ⵉⵥⵉⵍⵏ ⵖⴼ ⵡⴰⵙⵉⴼ ⵏ ⵍⵓⴽⵓⵙ.","tlla g tma n usagn n l3raysh g iẓẓlmḍ n lmɣrib, tettuẓlay s yan usanay iẓiln ɣf wasif n lukus.","تللا ڭ تما ن وساڭن ن لعرايش ڭ يزّزّلمض ن لمغريب, ت°تتوزّلاي س يان وساناي يزّيلن غف واسيف ن لوكوس."
"Be happy with this new guest who came to you","ⵙⵙⵏⵓⴱⴳⴰⵜ ⵙ ⵓⵏⴱⴳⵉ ⴰⵅ ⵏⵏⵓⵏ ⵉⴼⵙⵙⵓⵙⵏ","Central","ⵙⵙⵏⵓⴱⴳⴰⵜ ⵙ ⵓⵏⴱⴳⵉ ⴰⵅ ⵏⵏⵓⵏ ⵉⴼⵙⵙⵓⵙⵏ","ssnubgat s unbgi akh nnun ifssusn","سسنوبڭات س ونبڭي اخ ننون يفسسوسن"
"And he don't worry about his comfort","ⴰⵡⵔ ⵜⵙⵎⴰⵙⵙⵎ ⴰⵙⵓⵏⴼⵓ ⵏⵏⵙ","Central","ⴰⵡⵔ ⵜⵙⵎⴰⵙⵙⵎ ⴰⵙⵓⵏⴼⵓ ⵏⵏⵙ","awr tsmassm asunfu nns","اور تسماسسم اسونفو ننس"
"Winter day","ⴰⵙⵙ ⵏ ⵓⵏⵥⴰⵕ","Central","ⴰⵙⵙ ⵏ ⵓⵏⵥⴰⵕ","ass n unẓaṛ","اسس ن ونزّار"
"The clouds were hiding the sky. One cold was freezing. It was a winter day.","ⵉⵍⵍⴰ ⵓⵙⴳⵏⵓ ⵉⵙⵙⵎⵜⵍ ⵢⵉⴳⵏⵏⴰ. ⵉⵍⵍⴰ ⴰⵔ ⵉⴽⴽⴰⵜ ⵢⴰⵏ ⵓⵙⵎⵎⵉⴹ ⵉⵜⵜⵇⵇⴰⵙⵏ. ⵉⵍⵍⴰ ⵉⴳⴰ ⵢⴰⵏ ⵡⴰⵙⵙ ⵏ ⵜⴳⵔⵙⵜ","Central","ⵉⵍⵍⴰ ⵓⵙⴳⵏⵓ ⵉⵙⵙⵎⵜⵍ ⵢⵉⴳⵏⵏⴰ. ⵉⵍⵍⴰ ⴰⵔ ⵉⴽⴽⴰⵜ ⵢⴰⵏ ⵓⵙⵎⵎⵉⴹ ⵉⵜⵜⵇⵇⴰⵙⵏ. ⵉⵍⵍⴰ ⵉⴳⴰ ⵢⴰⵏ ⵡⴰⵙⵙ ⵏ ⵜⴳⵔⵙⵜ","illa usgnu issmtl yignna. illa ar ikkat yan usmmiḍ ittqqasn. illa iga yan wass n tgrst","يللا وسڭنو يسسمتل ييڭننا. يللا ار يككات يان وسمميض يتتققاسن. يللا يڭا يان واسس ن تڭرست"
"The mother woke her son Ayur to get ready to go to school when it was time.","ⵜⵙⵙⵏⴽⵔ ⴷ ⵜⵎⵟⵟⵓⵜ ⵉⵡⵡⵉⵙ ⴰⵢⵢⵓⵔ ⴰⴷ ⵉⵙⵎⵓⵏ ⵢⵉⵅⴼ ⵏⵏⵙ ⵢⴰⴽ ⴰⴷ ⵉⴷⴷⵓ ⵙ ⵜⵉⵏⵎⵍ ⴰⵛⴽⵓ ⵜⵍⴽⵎ ⴰⵙ ⵜⵉⵣⵉ.","Central","ⵜⵙⵙⵏⴽⵔ ⴷ ⵜⵎⵟⵟⵓⵜ ⵉⵡⵡⵉⵙ ⴰⵢⵢⵓⵔ ⴰⴷ ⵉⵙⵎⵓⵏ ⵢⵉⵅⴼ ⵏⵏⵙ ⵢⴰⴽ ⴰⴷ ⵉⴷⴷⵓ ⵙ ⵜⵉⵏⵎⵍ ⴰⵛⴽⵓ ⵜⵍⴽⵎ ⴰⵙ ⵜⵉⵣⵉ.","tssnkr d tmṭṭut iwwis ayyur ad ismun yikhf nns yak ad iddu s tinml ashku tlkm as tizi.","تسسنكر د تمططوت يوويس اييور اد يسمون ييخف ننس ياك اد يددو س تينمل اشكو تلكم اس تيزي."
