English_Sentence,Tamazight_Sentence,Dialect,Tamazight_Tifinagh,Tamazight_Arabic,Tamazight_Latin
"It's essential to involve them, as they care about your well-being.",ⵉⵇⵇⴰⵏ ⴷ ⴰⴷ ⵜⵏ ⵏⵙⵙⴷⵔⵓ ⴰⵛⴽⵓ ⴷⴰ ⵜⵜ ⵜⵜⴰⵡⵉⵏ ⴳ ⵓⴱⵕⵕⵄ ⵏⵏⴽ.,Tachelhit,ⵉⵇⵇⴰⵏ ⴷ ⴰⴷ ⵜⵏ ⵏⵙⵙⴷⵔⵓ ⴰⵛⴽⵓ ⴷⴰ ⵜⵜ ⵜⵜⴰⵡⵉⵏ ⴳ ⵓⴱⵕⵕⵄ ⵏⵏⴽ.,يققان د اد تن نسسدرو اشكو دا تت تتاوين ڭ وبرّرّع ننك.,i99an d ad tn nssdru ashku da tt ttawin g ubṛṛɛ nnk.
"It's essential to involve them, as they care about your well-being.",ⵉⵇⵇⴰⵏ ⴷ ⴰⴷ ⵜⵏ ⵏⵙⵙⴷⵔⵓ ⴰⵛⴽⵓ ⴷⴰ ⵜⵜ ⵜⵜⴰⵡⵉⵏ ⴳ ⵓⴱⵕⵕⵄ ⵏⵏⵎ.,Tachelhit,ⵉⵇⵇⴰⵏ ⴷ ⴰⴷ ⵜⵏ ⵏⵙⵙⴷⵔⵓ ⴰⵛⴽⵓ ⴷⴰ ⵜⵜ ⵜⵜⴰⵡⵉⵏ ⴳ ⵓⴱⵕⵕⵄ ⵏⵏⵎ.,يققان د اد تن نسسدرو اشكو دا تت تتاوين ڭ وبرّرّع ننم.,i99an d ad tn nssdru ashku da tt ttawin g ubṛṛɛ nnm.
Could you please pass the phone to one of your parents or guardians to provide their consent for you to participate in this survey?,ⵉⵙ ⵜⵓⴼⵉⴷ ⴰⴷ ⵜⴼⴽⴷ ⴰⵜⵉⵍⵉⴼⵓⵏ ⵉ ⵢⴰⵏ ⵙⴳ ⵉⵎⴰⵔⴰⵡⵏ ⵏⵉⵖ ⵉⵏⴹⴰⴼⵏ ⵏⵏⴽ ⴰⴷ ⴼⴽⵉⵏ ⴰⵎⵙⴰⵙⴰⵏ ⵖⴼ ⵓⴷⵔⴰⵡ ⵏⵏⴽ ⴳ ⵢⵉⴷⵣ ⴰ?,Tachelhit,ⵉⵙ ⵜⵓⴼⵉⴷ ⴰⴷ ⵜⴼⴽⴷ ⴰⵜⵉⵍⵉⴼⵓⵏ ⵉ ⵢⴰⵏ ⵙⴳ ⵉⵎⴰⵔⴰⵡⵏ ⵏⵉⵖ ⵉⵏⴹⴰⴼⵏ ⵏⵏⴽ ⴰⴷ ⴼⴽⵉⵏ ⴰⵎⵙⴰⵙⴰⵏ ⵖⴼ ⵓⴷⵔⴰⵡ ⵏⵏⴽ ⴳ ⵢⵉⴷⵣ ⴰ?,يس توفيد اد تفكد اتيليفون ي يان سڭ يماراون نيغ ينضافن ننك اد فكين امساسان غف ودراو ننك ڭ ييدز ا?,is tufid ad tfkd atilifun i yan sg imarawn niɣ inḍafn nnk ad fkin amsasan ɣf udraw nnk g yidz a?
Could you please pass the phone to one of your parents or guardians to provide their consent for you to participate in this survey?,ⵉⵙ ⵜⵓⴼⵉⴷ ⴰⴷ ⵜⴼⴽⴷ ⴰⵜⵉⵍⵉⴼⵓⵏ ⵉ ⵢⴰⵏ ⵙⴳ ⵉⵎⴰⵔⴰⵡⵏ ⵏⵉⵖ ⵉⵏⴹⴰⴼⵏ ⵏⵏⵎ ⴰⴷ ⴼⴽⵉⵏ ⴰⵎⵙⴰⵙⴰⵏ ⵖⴼ ⵓⴷⵔⴰⵡ ⵏⵏⵎ ⴳ ⵢⵉⴷⵣ ⴰ?,Tachelhit,ⵉⵙ ⵜⵓⴼⵉⴷ ⴰⴷ ⵜⴼⴽⴷ ⴰⵜⵉⵍⵉⴼⵓⵏ ⵉ ⵢⴰⵏ ⵙⴳ ⵉⵎⴰⵔⴰⵡⵏ ⵏⵉⵖ ⵉⵏⴹⴰⴼⵏ ⵏⵏⵎ ⴰⴷ ⴼⴽⵉⵏ ⴰⵎⵙⴰⵙⴰⵏ ⵖⴼ ⵓⴷⵔⴰⵡ ⵏⵏⵎ ⴳ ⵢⵉⴷⵣ ⴰ?,يس توفيد اد تفكد اتيليفون ي يان سڭ يماراون نيغ ينضافن ننم اد فكين امساسان غف ودراو ننم ڭ ييدز ا?,is tufid ad tfkd atilifun i yan sg imarawn niɣ inḍafn nnm ad fkin amsasan ɣf udraw nnm g yidz a?
we would like to ask your child a few questions.,ⵏⵔⴰ ⴰⴷ ⵏⵙⵇⵙⴰ ⴰⵔⴱⴰ ⵏⵏⴽ ⴽⵔⴰ ⵏ ⵉⵙⵇⵙⵉⵜⵏ.,Tachelhit,ⵏⵔⴰ ⴰⴷ ⵏⵙⵇⵙⴰ ⴰⵔⴱⴰ ⵏⵏⴽ ⴽⵔⴰ ⵏ ⵉⵙⵇⵙⵉⵜⵏ.,نرا اد نسقسا اربا ننك كرا ن يسقسيتن.,nra ad ns9sa arba nnk kra n is9sitn.
We would like to ask your child a few questions.,ⵏⵔⴰ ⴰⴷ ⵏⵙⵇⵙⴰ ⴰⵔⴱⴰ ⵏⵏⵎ ⴽⵔⴰ ⵏ ⵉⵙⵇⵙⵉⵜⵏ.,Tachelhit,ⵏⵔⴰ ⴰⴷ ⵏⵙⵇⵙⴰ ⴰⵔⴱⴰ ⵏⵏⵎ ⴽⵔⴰ ⵏ ⵉⵙⵇⵙⵉⵜⵏ.,نرا اد نسقسا اربا ننم كرا ن يسقسيتن.,nra ad ns9sa arba nnm kra n is9sitn.
we would like to ask your child a few questions.,ⵏⵔⴰ ⴰⴷ ⵏⵙⵇⵙⴰ ⵜⴰⵔⴱⴰⵜ ⵏⵏⴽ ⴽⵔⴰ ⵏ ⵉⵙⵇⵙⵉⵜⵏ.,Tachelhit,ⵏⵔⴰ ⴰⴷ ⵏⵙⵇⵙⴰ ⵜⴰⵔⴱⴰⵜ ⵏⵏⴽ ⴽⵔⴰ ⵏ ⵉⵙⵇⵙⵉⵜⵏ.,نرا اد نسقسا تاربات ننك كرا ن يسقسيتن.,nra ad ns9sa tarbat nnk kra n is9sitn.
we would like to ask your child a few questions.,ⵏⵔⴰ ⴰⴷ ⵏⵙⵇⵙⴰ ⵜⴰⵔⴱⴰⵜ ⵏⵏⵎ ⴽⵔⴰ ⵏ ⵉⵙⵇⵙⵉⵜⵏ.,Tachelhit,ⵏⵔⴰ ⴰⴷ ⵏⵙⵇⵙⴰ ⵜⴰⵔⴱⴰⵜ ⵏⵏⵎ ⴽⵔⴰ ⵏ ⵉⵙⵇⵙⵉⵜⵏ.,نرا اد نسقسا تاربات ننم كرا ن يسقسيتن.,nra ad ns9sa tarbat nnm kra n is9sitn.
"Hello, my name is [interviewer’s name] and I am calling on behalf of the United Nations, who would like to know what people think about climate change.","ⴰⵣⵓⵍ, ⵉⵙⵎ ⵉⵏⵓ [ⵉⵙⵎ ⵏ ⵓⵎⵙⵇⵙⵉ], ⵖⵔⵉⵖ ⴰⵡⵏ ⵙ ⵢⵉⵙⵎ ⵏ ⵜⵎⵜⵜⵉⵡⵉⵏ ⵉⵎⵓⵏⵏ, ⵏⵏⴰ ⵉⵔⴰⵏ ⴰⴷ ⵜⵙⵙⵏ ⵎⴰⵢⴷ ⵜⵜⵖⴰⵍⵏ ⵎⴷⴷⵏ ⵖⴼ ⵓⵙⵏⴼⵍ ⵏ ⵓⵏⴳⵉⴳⵜ.",Tachelhit,"ⴰⵣⵓⵍ, ⵉⵙⵎ ⵉⵏⵓ [ⵉⵙⵎ ⵏ ⵓⵎⵙⵇⵙⵉ], ⵖⵔⵉⵖ ⴰⵡⵏ ⵙ ⵢⵉⵙⵎ ⵏ ⵜⵎⵜⵜⵉⵡⵉⵏ ⵉⵎⵓⵏⵏ, ⵏⵏⴰ ⵉⵔⴰⵏ ⴰⴷ ⵜⵙⵙⵏ ⵎⴰⵢⴷ ⵜⵜⵖⴰⵍⵏ ⵎⴷⴷⵏ ⵖⴼ ⵓⵙⵏⴼⵍ ⵏ ⵓⵏⴳⵉⴳⵜ.","ازول, يسم ينو [يسم ن ومسقسي], غريغ اون س ييسم ن تمتتيوين يمونن, ننا يران اد تسسن مايد تتغالن مددن غف وسنفل ن ونڭيڭت.","azul, ism inu [ism n ums9si], ɣriɣ awn s yism n tmttiwin imunn, nna iran ad tssn mayd ttɣaln mddn ɣf usnfl n ungigt."
"Hello, my name is [interviewer’s name] and I am calling on behalf of the United Nations, who would like to know what people think about climate change.","ⴰⵣⵓⵍ, ⵉⵙⵎ ⵉⵏⵓ [ⵉⵙⵎ ⵏ ⵓⵎⵙⵇⵙⵉ], ⵖⵔⵉⵖ ⴰⵎ ⵙ ⵢⵉⵙⵎ ⵏ ⵜⵎⵜⵜⵉⵡⵉⵏ ⵉⵎⵓⵏⵏ, ⵏⵏⴰ ⵉⵔⴰⵏ ⴰⴷ ⵜⵙⵙⵏ ⵎⴰⵢⴷ ⵜⵜⵖⴰⵍⵏ ⵎⴷⴷⵏ ⵖⴼ ⵓⵙⵏⴼⵍ ⵏ ⵓⵏⴳⵉⴳⵜ.",Tachelhit,"ⴰⵣⵓⵍ, ⵉⵙⵎ ⵉⵏⵓ [ⵉⵙⵎ ⵏ ⵓⵎⵙⵇⵙⵉ], ⵖⵔⵉⵖ ⴰⵎ ⵙ ⵢⵉⵙⵎ ⵏ ⵜⵎⵜⵜⵉⵡⵉⵏ ⵉⵎⵓⵏⵏ, ⵏⵏⴰ ⵉⵔⴰⵏ ⴰⴷ ⵜⵙⵙⵏ ⵎⴰⵢⴷ ⵜⵜⵖⴰⵍⵏ ⵎⴷⴷⵏ ⵖⴼ ⵓⵙⵏⴼⵍ ⵏ ⵓⵏⴳⵉⴳⵜ.","ازول, يسم ينو [يسم ن ومسقسي], غريغ ام س ييسم ن تمتتيوين يمونن, ننا يران اد تسسن مايد تتغالن مددن غف وسنفل ن ونڭيڭت.","azul, ism inu [ism n ums9si], ɣriɣ am s yism n tmttiwin imunn, nna iran ad tssn mayd ttɣaln mddn ɣf usnfl n ungigt."
"Hello, my name is [interviewer’s name] and I am calling on behalf of the United Nations, who would like to know what people think about climate change.","ⴰⵣⵓⵍ, ⵉⵙⵎ ⵉⵏⵓ [ⵉⵙⵎ ⵏ ⵓⵎⵙⵇⵙⵉ], ⵖⵔⵉⵖ ⴰⴽ ⵙ ⵢⵉⵙⵎ ⵏ ⵜⵎⵜⵜⵉⵡⵉⵏ ⵉⵎⵓⵏⵏ, ⵏⵏⴰ ⵉⵔⴰⵏ ⴰⴷ ⵜⵙⵙⵏ ⵎⴰⵢⴷ ⵜⵜⵖⴰⵍⵏ ⵎⴷⴷⵏ ⵖⴼ ⵓⵙⵏⴼⵍ ⵏ ⵓⵏⴳⵉⴳⵜ.",Tachelhit,"ⴰⵣⵓⵍ, ⵉⵙⵎ ⵉⵏⵓ [ⵉⵙⵎ ⵏ ⵓⵎⵙⵇⵙⵉ], ⵖⵔⵉⵖ ⴰⴽ ⵙ ⵢⵉⵙⵎ ⵏ ⵜⵎⵜⵜⵉⵡⵉⵏ ⵉⵎⵓⵏⵏ, ⵏⵏⴰ ⵉⵔⴰⵏ ⴰⴷ ⵜⵙⵙⵏ ⵎⴰⵢⴷ ⵜⵜⵖⴰⵍⵏ ⵎⴷⴷⵏ ⵖⴼ ⵓⵙⵏⴼⵍ ⵏ ⵓⵏⴳⵉⴳⵜ.","ازول, يسم ينو [يسم ن ومسقسي], غريغ اك س ييسم ن تمتتيوين يمونن, ننا يران اد تسسن مايد تتغالن مددن غف وسنفل ن ونڭيڭت.","azul, ism inu [ism n ums9si], ɣriɣ ak s yism n tmttiwin imunn, nna iran ad tssn mayd ttɣaln mddn ɣf usnfl n ungigt."
the answers given will help world leaders decide what to do about climate change.,ⵔⴰⴷ ⴰⵡⵙⵏⵜ ⵜⵎⵔⴰⵔⵓⵜⵉⵏ ⵜⵜⵓⴼⴽⴰⵏⵉⵏ ⵉ ⵉⵎⵣⵡⴰⵔⵏ ⵏ ⵓⵎⴰⴹⴰⵍ ⴰⴷ ⵖⵜⵙⵏ ⵎⴰ ⵔⴰⴷ ⵙⴽⵔⵏ ⵖⴼ ⵓⵙⵏⴼⵍ ⵏ ⵓⵏⴳⵉⴳⵜ.,Tachelhit,ⵔⴰⴷ ⴰⵡⵙⵏⵜ ⵜⵎⵔⴰⵔⵓⵜⵉⵏ ⵜⵜⵓⴼⴽⴰⵏⵉⵏ ⵉ ⵉⵎⵣⵡⴰⵔⵏ ⵏ ⵓⵎⴰⴹⴰⵍ ⴰⴷ ⵖⵜⵙⵏ ⵎⴰ ⵔⴰⴷ ⵙⴽⵔⵏ ⵖⴼ ⵓⵙⵏⴼⵍ ⵏ ⵓⵏⴳⵉⴳⵜ.,راد اوسنت تمراروتين تتوفكانين ي يمزوارن ن وماضال اد غتسن ما راد سكرن غف وسنفل ن ونڭيڭت.,rad awsnt tmrarutin ttufkanin i imzwarn n umaḍal ad ɣtsn ma rad skrn ɣf usnfl n ungigt.
everything your child tell us will be anonymous and confidential.,ⴽⵓ ⵎⴰⵢⴷ ⴰⵏⵖ ⵉⵏⵏⴰ ⵓⵔⴱⴰ ⵏⵏⴽ ⵔⴰⴷ ⵉⴳ ⵡⴰⵔ ⵉⵙⵎ ⴷ ⵡⵓⵏⵜⵉⵍ.,Tachelhit,ⴽⵓ ⵎⴰⵢⴷ ⴰⵏⵖ ⵉⵏⵏⴰ ⵓⵔⴱⴰ ⵏⵏⴽ ⵔⴰⴷ ⵉⴳ ⵡⴰⵔ ⵉⵙⵎ ⴷ ⵡⵓⵏⵜⵉⵍ.,كو مايد انغ يننا وربا ننك راد يڭ وار يسم د وونتيل.,ku mayd anɣ inna urba nnk rad ig war ism d wuntil.
everything your child tell us will be anonymous and confidential.,ⴽⵓ ⵎⴰⵢⴷ ⴰⵏⵖ ⵉⵏⵏⴰ ⵓⵔⴱⴰ ⵏⵏⵎ ⵔⴰⴷ ⵉⴳ ⵡⴰⵔ ⵉⵙⵎ ⴷ ⵡⵓⵏⵜⵉⵍ.,Tachelhit,ⴽⵓ ⵎⴰⵢⴷ ⴰⵏⵖ ⵉⵏⵏⴰ ⵓⵔⴱⴰ ⵏⵏⵎ ⵔⴰⴷ ⵉⴳ ⵡⴰⵔ ⵉⵙⵎ ⴷ ⵡⵓⵏⵜⵉⵍ.,كو مايد انغ يننا وربا ننم راد يڭ وار يسم د وونتيل.,ku mayd anɣ inna urba nnm rad ig war ism d wuntil.
"[operator instructions: if consent has been given, please thank the guardian/parent and request him/her to pass the phone back to the child to continue with the survey]","[ⵜⴰⵔⴰⵜⵉⵏ ⵏ ⵓⵏⴰⵡⵓⵔ: ⵎⴽ ⵉⵜⵜⵓⴼⴽⴰ ⵓⵎⵙⴰⵙⴰ, ⵙⵏⵉⵎⵎⵔ ⴰⵏⴹⴰⴼ/ⵜⴰⵏⴹⴰⴼⵜ/ⴰⵎⴰⵔⴰⵡ/ⵜⴰⵎⴰⵔⴰⵡⵜ, ⵜⴻⵜⵜⵔⴷ ⴰⵙ ⴰⴷ ⵉⴼⴽ/ⵜⴼⴽ ⴰⵜⵉⵍⵉⴼⵓⵏ ⵉ ⵓⵔⴱⴰ/ⵜⵔⴱⴰⵜ ⵃⵎⴰ ⴰⴷ ⵏⵙⵎⴷ ⵉⴷⵣ]",Tachelhit,"[ⵜⴰⵔⴰⵜⵉⵏ ⵏ ⵓⵏⴰⵡⵓⵔ: ⵎⴽ ⵉⵜⵜⵓⴼⴽⴰ ⵓⵎⵙⴰⵙⴰ, ⵙⵏⵉⵎⵎⵔ ⴰⵏⴹⴰⴼ/ⵜⴰⵏⴹⴰⴼⵜ/ⴰⵎⴰⵔⴰⵡ/ⵜⴰⵎⴰⵔⴰⵡⵜ, ⵜⴻⵜⵜⵔⴷ ⴰⵙ ⴰⴷ ⵉⴼⴽ/ⵜⴼⴽ ⴰⵜⵉⵍⵉⴼⵓⵏ ⵉ ⵓⵔⴱⴰ/ⵜⵔⴱⴰⵜ ⵃⵎⴰ ⴰⴷ ⵏⵙⵎⴷ ⵉⴷⵣ]","[تاراتين ن وناوور: مك يتتوفكا ومساسا, سنيممر انضاف/تانضافت/اماراو/تاماراوت, ت تترد اس اد يفك/تفك اتيليفون ي وربا/تربات حما اد نسمد يدز]","[taratin n unawur: mk ittufka umsasa, snimmr anḍaf/tanḍaft/amaraw/tamarawt, tettrd as ad ifk/tfk atilifun i urba/trbat ḥma ad nsmd idz]"
[operator: single selection],[ⴰⵏⴰⵡⵓⵔ: ⴰⵙⵜⴰⵢ ⴰⵎⵢⵉⵡⵏ],Tachelhit,[ⴰⵏⴰⵡⵓⵔ: ⴰⵙⵜⴰⵢ ⴰⵎⵢⵉⵡⵏ],[اناوور: استاي امييون],[anawur: astay amyiwn]
you will receive #topup#! of communication credit as an incentive for the participation of the survey.,ⵔⴰⴷ ⴽ ⵉⵍⴽⵎ ⵓⴳⴰⵍⴰⵣ ⵏ ⵓⵎⵢⴰⵡⴰⴹ ⵏ #topup#! ⴰⵎⵎ ⵓⴽⴰⵎ ⵖⴼ ⵓⴷⵔⴰⵡ ⵏⵏⴽ ⴳ ⵢⵉⴷⵣ.,Tachelhit,ⵔⴰⴷ ⴽ ⵉⵍⴽⵎ ⵓⴳⴰⵍⴰⵣ ⵏ ⵓⵎⵢⴰⵡⴰⴹ ⵏ #topup#! ⴰⵎⵎ ⵓⴽⴰⵎ ⵖⴼ ⵓⴷⵔⴰⵡ ⵏⵏⴽ ⴳ ⵢⵉⴷⵣ.,راد ك يلكم وڭالاز ن ومياواض ن #topup#! امم وكام غف ودراو ننك ڭ ييدز.,rad k ilkm ugalaz n umyawaḍ n #topup#! amm ukam ɣf udraw nnk g yidz.
please note that this call may be recorded for quality purposes.,"ⴰⵊⴰⴷ ⵏⵏⴽ, ⵖⴹⴼ ⵎⴰⵙ ⴷ ⴰⵖⵓⵔⵉ ⴰⴷ ⵉⵖⵉⵢ ⴰⴷ ⵉⵜⵜⵓⵙⵓⵙⵔ ⵉ ⵉⵡⵜⵜⴰⵙⵏ ⵏ ⵜⵉⵕⵡⵉ.",Tachelhit,"ⴰⵊⴰⴷ ⵏⵏⴽ, ⵖⴹⴼ ⵎⴰⵙ ⴷ ⴰⵖⵓⵔⵉ ⴰⴷ ⵉⵖⵉⵢ ⴰⴷ ⵉⵜⵜⵓⵙⵓⵙⵔ ⵉ ⵉⵡⵜⵜⴰⵙⵏ ⵏ ⵜⵉⵕⵡⵉ.","اجاد ننك, غضف ماس د اغوري اد يغيي اد يتتوسوسر ي يوتتاسن ن تيرّوي.","ajad nnk, ɣḍf mas d aɣuri ad iɣiy ad ittususr i iwttasn n tiṛwi."
Please note that this call may be recorded for quality purposes.,"ⴰⵊⴰⴷ ⵏⵏⵎ, ⵖⴹⴼ ⵎⴰⵙ ⴷ ⴰⵖⵓⵔⵉ ⴰⴷ ⵉⵖⵉⵢ ⴰⴷ ⵉⵜⵜⵓⵙⵓⵙⵔ ⵉ ⵉⵡⵜⵜⴰⵙⵏ ⵏ ⵜⵉⵕⵡⵉ.",Tachelhit,"ⴰⵊⴰⴷ ⵏⵏⵎ, ⵖⴹⴼ ⵎⴰⵙ ⴷ ⴰⵖⵓⵔⵉ ⴰⴷ ⵉⵖⵉⵢ ⴰⴷ ⵉⵜⵜⵓⵙⵓⵙⵔ ⵉ ⵉⵡⵜⵜⴰⵙⵏ ⵏ ⵜⵉⵕⵡⵉ.","اجاد ننم, غضف ماس د اغوري اد يغيي اد يتتوسوسر ي يوتتاسن ن تيرّوي.","ajad nnm, ɣḍf mas d aɣuri ad iɣiy ad ittususr i iwttasn n tiṛwi."
May we interview your child?,ⵉⵙ ⵏⵣⵎⵔ ⴰⴷ ⵏⵙⵇⵇⵙⴰ ⴰⵔⴱⴰ ⵏⵏⴽ?,Tachelhit,ⵉⵙ ⵏⵣⵎⵔ ⴰⴷ ⵏⵙⵇⵇⵙⴰ ⴰⵔⴱⴰ ⵏⵏⴽ?,يس نزمر اد نسققسا اربا ننك?,is nzmr ad ns99sa arba nnk?
what county do you currently live in?,ⵎⴰⵜⵜⴰ ⵜⴰⵙⵓⵏⴹⵜ ⴰ ⴳ ⵜⵣⴷⵖⴷ ⴷⵖⵉ?,Tachelhit,ⵎⴰⵜⵜⴰ ⵜⴰⵙⵓⵏⴹⵜ ⴰ ⴳ ⵜⵣⴷⵖⴷ ⴷⵖⵉ?,ماتتا تاسونضت ا ڭ تزدغد دغي?,matta tasunḍt a g tzdɣd dɣi?
[operator: do not read the options. single selection],[ⴰⵎⵡⵓⵔⵉ: ⴰⴷ ⵓⵔ ⵜⵖⵔⴷ ⵜⵉⴷⵖⵔⵉⵏ. ⴰⵙⵜⴰⵢ ⴰⵎⵢⵉⵡⵏ],Tachelhit,[ⴰⵎⵡⵓⵔⵉ: ⴰⴷ ⵓⵔ ⵜⵖⵔⴷ ⵜⵉⴷⵖⵔⵉⵏ. ⴰⵙⵜⴰⵢ ⴰⵎⵢⵉⵡⵏ],[امووري: اد ور تغرد تيدغرين. استاي امييون],[amwuri: ad ur tɣrd tidɣrin. astay amyiwn]
what sub county do you currently live in?,ⵎⴰⵜⵜⴰ ⵜⴰⴳⵔⴰⵡⵜ ⴰ ⴳ ⵜⵣⴷⵖⴷ ⴷⵖⵉ?,Tachelhit,ⵎⴰⵜⵜⴰ ⵜⴰⴳⵔⴰⵡⵜ ⴰ ⴳ ⵜⵣⴷⵖⴷ ⴷⵖⵉ?,ماتتا تاڭراوت ا ڭ تزدغد دغي?,matta tagrawt a g tzdɣd dɣi?
Select the language that was mostly used to complete the interview.,ⵙⵜⵉ ⵜⵓⵜⵍⴰⵢⵜ ⵏⵏⴰ ⵉⵜⵜⵓⵙⵎⵔⵙⵏ ⴽⵉⴳⴰⵏ ⴳ ⵓⵙⵎⴰⴷ ⵏ ⵓⵙⵇⵙⴰⵢ.,Tachelhit,ⵙⵜⵉ ⵜⵓⵜⵍⴰⵢⵜ ⵏⵏⴰ ⵉⵜⵜⵓⵙⵎⵔⵙⵏ ⴽⵉⴳⴰⵏ ⴳ ⵓⵙⵎⴰⴷ ⵏ ⵓⵙⵇⵙⴰⵢ.,ستي توتلايت ننا يتتوسمرسن كيڭان ڭ وسماد ن وسقساي.,sti tutlayt nna ittusmrsn kigan g usmad n us9say.
[operator: do not read options. choose only one option],[ⴰⵎⵡⵓⵔⵉ: ⴰⴷ ⵓⵔ ⵜⵖⵔⴷ ⵜⵉⴷⵖⵔⵉⵏ. ⵙⵜⵉ ⵖⴰⵙ ⵢⴰⵜ ⵜⴷⵖⵔⵜ],Tachelhit,[ⴰⵎⵡⵓⵔⵉ: ⴰⴷ ⵓⵔ ⵜⵖⵔⴷ ⵜⵉⴷⵖⵔⵉⵏ. ⵙⵜⵉ ⵖⴰⵙ ⵢⴰⵜ ⵜⴷⵖⵔⵜ],[امووري: اد ور تغرد تيدغرين. ستي غاس يات تدغرت],[amwuri: ad ur tɣrd tidɣrin. sti ɣas yat tdɣrt]
someone answers,ⵉⵙⴰⴷⵎⵔ ⴽⵔⴰ ⵏ ⵢⴰⵏ,Tachelhit,ⵉⵙⴰⴷⵎⵔ ⴽⵔⴰ ⵏ ⵢⴰⵏ,يسادمر كرا ن يان,isadmr kra n yan
answering machine,ⵜⴰⵎⴰⵛⵉⵏⵜ ⵏ ⵓⵙⵉⴷⵎⵔ,Tachelhit,ⵜⴰⵎⴰⵛⵉⵏⵜ ⵏ ⵓⵙⵉⴷⵎⵔ,تاماشينت ن وسيدمر,tamashint n usidmr
the answers you and others give will help world leaders decide what to do about climate change.,ⵔⴰⴷ ⴰⵡⵙⵏⵜ ⵜⵎⵔⴰⵔⵓⵜⵉⵏ ⵏⵏⴰ ⵜⴼⴽⴰⵎ ⴽⵯⵏⵏⵉ ⴷ ⵡⵉⵢⵢⴰⴹ ⵉ ⵉⵎⵣⵡⴰⵔⵏ ⵏ ⵓⵎⴰⴹⴰⵍ ⴰⴷ ⵖⵜⵙⵏ ⵎⴰ ⵔⴰⴷ ⵙⴽⵔⵏ ⵖⴼ ⵓⵙⵏⴼⵍ ⵏ ⵓⵏⴳⵉⴳⵜ.,Tachelhit,ⵔⴰⴷ ⴰⵡⵙⵏⵜ ⵜⵎⵔⴰⵔⵓⵜⵉⵏ ⵏⵏⴰ ⵜⴼⴽⴰⵎ ⴽⵯⵏⵏⵉ ⴷ ⵡⵉⵢⵢⴰⴹ ⵉ ⵉⵎⵣⵡⴰⵔⵏ ⵏ ⵓⵎⴰⴹⴰⵍ ⴰⴷ ⵖⵜⵙⵏ ⵎⴰ ⵔⴰⴷ ⵙⴽⵔⵏ ⵖⴼ ⵓⵙⵏⴼⵍ ⵏ ⵓⵏⴳⵉⴳⵜ.,راد اوسنت تمراروتين ننا تفكام كⵯنني د وييياض ي يمزوارن ن وماضال اد غتسن ما راد سكرن غف وسنفل ن ونڭيڭت.,rad awsnt tmrarutin nna tfkam kⵯnni d wiyyaḍ i imzwarn n umaḍal ad ɣtsn ma rad skrn ɣf usnfl n ungigt.
Hello dear brothers,ⴰⵣⵓⵍ ⴰⵢⵜ ⵎⴰ ,Tachelhit,ⴰⵣⵓⵍ ⴰⵢⵜ ⵎⴰ ,ازول ايت ما ,azul ayt ma 
The love of my love,ⵜⴰⵢⵔⵉ ⵓⵎⴷⴷⴰⴽⵯⵍ ⵉⵏⵓ,Tachelhit,ⵜⴰⵢⵔⵉ ⵓⵎⴷⴷⴰⴽⵯⵍ ⵉⵏⵓ,تايري ومدداكⵯل ينو,tayri umddakⵯl inu
No lie,War sxarqax ca! ,Tarifit,ⵡⴰⵔ ⵙⵅⴰⵔⵇⴰⵅ ⵛⴰ!,وار سخارقاخ شا!,war s5ar9a5 sha!
Tom doesn't like much meat.,Tom war itat attas n waysum! ,Tarifit,ⵜoⵎ ⵡⴰⵔ ⵉⵜⴰⵜ ⴰⵜⵜⴰⵙ ⵏ ⵡⴰⵢⵙⵓⵎ!,تoم وار يتات اتتاس ن وايسوم!,tom war itat attas n waysum!
Tom and Maria want to talk to me.,Tom d María xsan akidi ssiwran!,Tarifit,ⵜoⵎ ⴷ ⵎⴰⵔíⴰ ⵅⵙⴰⵏ ⴰⴽⵉⴷⵉ ⵙⵙⵉⵡⵔⴰⵏ!,تoم د مارíا خسان اكيدي سسيوران!,tom d maría 5san akidi ssiwran!
I deserve it.,Sdahadjaxt,Tarifit,ⵙⴷⴰⵀⴰⴷⵊⴰⵅⵜ,سداهادجاخت,sdahadja5t
Do you really want to talk to me?,S tidat tazud akidi tamhawdad?,Tarifit,ⵙ ⵜⵉⴷⴰⵜ ⵜⴰⵣⵓⴷ ⴰⴽⵉⴷⵉ ⵜⴰⵎⵀⴰⵡⴷⴰⴷ?,س تيدات تازود اكيدي تامهاوداد?,s tidat tazud akidi tamhawdad?
I don't want to eat this.,War axsax adacax manaya! ,Tarifit,ⵡⴰⵔ ⴰⵅⵙⴰⵅ ⴰⴷⴰⵛⴰⵅ ⵎⴰⵏⴰⵢⴰ!,وار اخساخ اداشاخ مانايا!,war a5sa5 adasha5 manaya!
Please try again.,Qadjab ij omoa naghni.,Tarifit,ⵇⴰⴷⵊⴰⴱ ⵉⵊ oⵎoⴰ ⵏⴰⴳⵀⵏⵉ.,قادجاب يج oمoا ناڭهني.,9adjab ij omoa naghni.
I don't have a cat.,War ghari bu muc! ,Tarifit,ⵡⴰⵔ ⴳⵀⴰⵔⵉ ⴱⵓ ⵎⵓⵛ!,وار ڭهاري بو موش!,war ghari bu mush!
