source_string,target_string,latin,arabic_script,english
ⴽⴽⵙ ⴰⵏⴱⵖⵓⵕ ⵅ ⵜⵏⵟⵓⵃⵜ ⵏⵏⵛ,أزل الغبار على جبهتك.,kks anbghuṛ kh tnṭuḥt nnsh,ككس انبغور خ تنطوحت ننش,Wipe the dust off your forehead.
ⵉⵏⵏⵓⵎ ⴰⵏⵊⵍⵉ ⴷⵉ ⵜⵎⵓⵔⴰ ⵏⵢⴰⵟⵏⵉⵏ,اعتاد التيه في البلدان الأخرى.,innum anjli di tmura nyaṭnin,يننوم انجلي دي تمورا نياطنين,He used to wander in other countries.
ⵉⵜⵜⴳⴳ ⴰⵏⵇⴰⴱ ⵏ ⵓⴱⵉⴱⵉ,ينقر نقْر الديك الرومي.,ittgg anqab n ubibi,يتتڭڭ انقاب ن وبيبي,He pecks like a turkey.
ⵉⵜⵜⵛⴰ ⵢⴰⵖⵕⵓⵎ ⴰⵏⵇⵇⴰⵔ,أكل الخبز اليابس.,ittsha yaghṛum anqqar,يتتشا ياغروم انققار,He ate the dry bread.
ⵙⵔⵖ ⵉ ⵢⵇⵛⴱⴰⵔ ⵉⵏⵇⵇⵓⵔⴰ,أشعل الجذوع الجافة.,srgh i yqshbar inqqura,سرغ ي يقشبار ينققورا,Ignite the dry logs.
ⴱⵄⵄⴷ ⵅ ⵓⵏⵔⵛⵓ ⵢⵏ,ابتعد عن ذلك القذر.,b33d kh unrshu yn,بععد خ ونرشو ين,Stay away from that filth.
ⴰⵅⵅⴰⵎ ⴰ ⴷ ⴰⵏⵔⵛⵓ,هذا البيت وسخ.,akhkham a d anrshu,اخخام ا د انرشو,This house is dirty.
ⴷ ⴰⵏⵛⵔⵓⴼ ⵏ ⵢⵉⵟⴰⵕⵏ,مكبل الأرجل.,d anshruf n yiṭaṛn,د انشروف ن ييطارن,Bound by the legs.
ⵜⴷⵡⵍ ⴷ ⵜⴰⵏⵛⵔⵓⴼⵜ,أصبحت مشلولة.,tdwl d tanshruft,تدول د تانشروفت,I became paralyzed.
ⵉⵏⵟⵟⵡ ⴰⵏⵟⴰⵡ ⵏ ⵓⴳⵏⵉⵏ,يقفز قفز الأرنب.,inṭṭw anṭaw n ugnin,ينططو انطاو ن وڭنين,The rabbit jumps.
ⵉⵏⵟⵟⵡ ⴰⵏⴹⴰⵡ ⵏ ⵓⴳⵏⵉⵏ,يقفز قفز الأرنب.,inṭṭw anḍaw n ugnin,ينططو انضاو ن وڭنين,The rabbit jumps.
ⵉⵙⵙⵎⵓⵏⵙⵓ ⵢⵏⵓⵊⵉⵡⵏ ⵣⵉⵛ,عشَى الضيوف باكرا.,issmunsu ynujiwn zish,يسسمونسو ينوجيون زيش,He hosted the guests for dinner early.
ⵜⴻⵜⵜⵛⵓⵕ ⵜⴰⴷⴷⴰⵔⵜ ⵙ ⵉⵏⵓⵊⵉⵡⵏ,المنزل مليء بالضيوف.,tettshuṛ taddart s inujiwn,ت°تتشور تاددارت س ينوجيون,The house is full of guests.
ⵎⴰ ⵢⵓⵙⴷ ⵓⴱⵏⵏⴰⵢ ⵎⴰ ⵍⴰ?,هل جاء البنّاء أم لا؟,ma yusd ubnnay ma la?,ما يوسد وبنناي ما لا?,Did the builder come or not?
ⵛⵏⵏⴼⵏ ⴰⵇⴷⴷⵉⴷ,يشوون اللحم.,shnnfn aqddid,شننفن اقدديد,They are grilling the meat.
ⵜⵜⵛⵉⵏ ⴰⵇⴷⴷⵉⴷ,أكلوا اللحم.,ttshin aqddid,تتشين اقدديد,They ate the meat.
ⵉⴱⴷⴰ ⴷⴳ ⵓⵇⵍⴰⵄ ⵏ ⴱⴰⵟⴰⵟⴰ,بدأ في جني البطاطس.,ibda dg uqla3 n baṭaṭa,يبدا دڭ وقلاع ن باطاطا,He started harvesting potatoes.
"ⴰⵣⵜⵛⴰ, ⵢⴰⴷ ⴱⴷⵉⵖ ⴷⴳ ⵓⵇⵍⴰⵄ ⵏ ⵜⵛⵊⵓⵔⵉⵏ ⵜⵉⵇⴷⵉⵎⵉⵏ",غدا، سأبدأ في اقتلاع الأشجار القديمة.,"aztsha, yad bdigh dg uqla3 n tshjurin tiqdimin","ازتشا, ياد بديغ دڭ وقلاع ن تشجورين تيقديمين","Tomorrow, I will start uprooting the old trees."
ⵉⵢⵢⴰ ⵢⴰⵇⵍⵍⵄ ⵏ ⵓⴼⵓⵏⴰⵙ ⴰⵙⴰ ⵢⴰⴷ ⵉⴽⴽⵓⵏⵙⵔ,اندفع اندفاع الثور عندما يفك وثاقه.,iyya yaqll3 n ufunas asa yad ikkunsr,يييا ياقللع ن وفوناس اسا ياد يككونسر,He charged forward like a bull set free from its restraints.
ⵙⵔⵖ ⵉ ⵢⵇⵛⴱⴰⵔ ⵉⵏⵇⵇⵓⵔⴰ,أشعل الجذوع الجافة.,srgh i yqshbar inqqura,سرغ ي يقشبار ينققورا,Ignite the dry logs.
ⵉⵜⵜⵛⵓⵕ ⵓⴹⵡⵡⴰⵕ ⴰ ⵙ ⵉⵇⵟⴰⵟⵄⵉⵢⵏ,هذا المشدر مليء باللصوص.,ittshuṛ uḍwwaṛ a s iqṭaṭ3iyn,يتتشور وضووار ا س يقطاطعيين,This scene is full of thieves.
ⴰⴷ ⵜ ⵛ ⴰⵛⵔⵏ ⵉⵇⵟⴰⵟⵄⵉⵢⵏ ⴷⴳ ⵓⴱⵔⵉⴷ ⵏⵏ,سيسرقك قطاع الطرق في ذلك الطريق.,ad t sh ashrn iqṭaṭ3iyn dg ubrid nn,اد ت ش اشرن يقطاطعيين دڭ وبريد نن,Translation Error
ⵓⵔ ⵜⵀⵏⵏⵉ ⵣⴳ ⵓⴱⵕⴰⵎ ⵓⵢⵏⵏ ⵜⴻⵜⵜⵛⴰ,لم تتوقف عن استفراغ ما أكلته.,ur thnni zg ubṛam uynn tettsha,ور تهنني زڭ وبرام وينن ت°تتشا,She did not stop vomiting what she had eaten.
ⵄⴷⵍ ⴰⵔⵊⴰⵍ ⵉ ⵜⵡⵡⵓⵔⵜ,أجد إقفال الباب.,3dl arjal i twwurt,عدل ارجال ي تووورت,"""I find the door locked."""
ⵉⵔⵏⵓⵏⵏⵙ ⴰⵔⵏⵓⵏⵏⵙ ⵏ ⵓⵖⵢⵓⵍ ⴷⴳ ⵛⴰⵍ,تمرغ تمرُّغ الحمار في التراب.,irnunns arnunns n ughyul dg shal,يرنوننس ارنوننس ن وغيول دڭ شال,The donkey wallowed in the dirt.
ⵉⵅⵏⵓⵏⵏⵙ ⴰⵅⵏⵓⵏⵏⵙ ⵏ ⵓⵖⵢⵓⵍ ⴷⴳ ⵛⴰⵍ,تمرغ تمرُّغ الحمار في التراب.,ikhnunns akhnunns n ughyul dg shal,يخنوننس اخنوننس ن وغيول دڭ شال,The donkey rolled around in the dirt.
ⵉⵜⵜⴰⵔⵙ ⵉⵢⵉ ⵛⵕⴰ ⵏ ⵍⴼⵍⵓⵙ,أدين له ببعض النقود.,ittars iyi shṛa n lflus,يتتارس ييي شرا ن لفلوس,I owe him some money.
ⵎⴰ ⵢⵇⵔⵔⴱ ⴷ ⵓⵕⵥⴰⵎ ⵏ ⵍⵎⴷⴰⵔⵙ ⵎⴰ ⵍⴰ?,هل اقترب افتتاح المدارس أم لا؟,ma yqrrb d uṛẓam n lmdars ma la?,ما يقررب د ورزّام ن لمدارس ما لا?,Has the opening of schools approached or not?
ⵉⵏⵏⵓⵎ ⴰⵕⵥⵥⵓⵎ ⵉ ⵎⵉⴷⴷⵏ,اعتاد إقراض الناس.,innum aṛẓẓum i middn,يننوم ارزّزّوم ي ميددن,He used to lend people.
ⵉⵢⵢ ⴰⵙ ⵓⴱⵓⵍⵉⵙⵉ ⵢⵉⴷⵊ ⵓⵙⴰⵍⵉ ⴷ ⴰⴱⵕⵕⴰⵏ,استنطقه الشرطي استنطاقا سيئا.,iyy as ubulisi yidj usali d abṛṛan,ييي اس وبوليسي ييدج وسالي د ابرران,The policeman interrogated him poorly.
ⵉⵜⵜⵡⴰⵙⵙⵏ ⵙ ⵓⵙⵎⴰⵃ ⵏⵏⵙ ⵉ ⵎⵉⴷⴷⵏ,عُرف بعفوه عن الناس.,ittwassn s usmaḥ nns i middn,يتتواسسن س وسماح ننس ي ميددن,He was known for forgiving people.
ⵉⵜⵜⵛⴰ ⵢⴰⵟⵉⵍ ⴷ ⴰⵙⵎⵎⴰⵎ,أكل عنبا حامضا.,ittsha yaṭil d asmmam,يتتشا ياطيل د اسممام,He ate sour grapes.
ⵉⴽⴽⵙ ⴷ ⵉⵙⵏⵙⵉⵔⵏ ⵏ ⵓⵟⵉⵍ,قطف عناقيد العنب.,ikks d isnsirn n uṭil,يككس د يسنسيرن ن وطيل,Picking clusters of grapes.
ⵉⵜⵜⵡⴰⵙⵙⵏ ⵙ ⵓⵙⵏⵓⵊⵉ ⵏ ⵎⵉⴷⴷⵏ ⴷⵉ ⵜⴰⴷⴷⴰⵔⵜ ⵏⵏⵙ,عُرف باستضافته للناس في منزله.,ittwassn s usnuji n middn di taddart nns,يتتواسسن س وسنوجي ن ميددن دي تاددارت ننس,He was known for hosting people in his home.
ⵉⵡⵛ ⴰⵙ ⵢⵉⴷⵊ ⵓⵙⵇⵙⵉ,طرح عليه سؤالا.,iwsh as yidj usqsi,يوش اس ييدج وسقسي,He asked him a question.
ⴰⵙⵔⵡⵟ ⵏ ⵉⵎⵏⴷⵉ ⵢⵜⵜⵉⵍⵉ ⴷⴳ ⵓⵏⵕⴰⵕ,درْس الشعير يتم في البيدر.,asrwṭ n imndi yttili dg unṛaṛ,اسروط ن يمندي يتتيلي دڭ ونرار,The threshing of barley takes place on the threshing floor.
ⵉⵙⵙⵔⵡⵟ ⴷⴰⴳ-ⵙ ⴰⵙⵔⵡⵟ ⵏ ⵓⵙⵔⴷⵓⵏ ⴷⴳ ⵓⵏⵕⴰⵕ,داسه دوس البغل في البيدر.,issrwṭ dag-s asrwṭ n usrdun dg unṛaṛ,يسسروط داڭ-س اسروط ن وسردون دڭ ونرار,The mule trampled the threshing floor.
ⵉⵜⵜⵙⵜⵃⴰ ⵢⴰⵙⵜⵃⵉ ⵏ ⵜⵃⵔⵔⵓⴷⵉⵏ ⵣⵣⵉ ⴱⴰⴱⴰⵜⵙⵏⵜ,يستحي استحياء البنات من آبائهن.,ittstḥa yastḥi n tḥrrudin zzi babatsnt,يتتستحا ياستحي ن تحررودين ززي باباتسنت,He feels shy with the shyness of daughters toward their fathers.
ⴰⵙⵓⴷⵎ ⵏⵏⵛ ⴰⵎ ⵓⵙⵓⴷⵎ ⵏ ⵜⵙⴷⵏⴰⵏ,تقبيلك كتقبيل النساء.,asudm nnsh am usudm n tsdnan,اسودم ننش ام وسودم ن تسدنان,"""Kissing you is like kissing women."""
ⵢⵉⴼ ⴰⵙⵓⵙⵎ ⵡⴰⵍⴰ ⵍⵀⴹⵔⵜ ⴰⴽⵉⴷ-ⵛ,السكوت أفضل من التحدث معك.,yif asusm wala lhḍrt akid-sh,ييف اسوسم والا لهضرت اكيد-ش,Silence is better than talking to you.
ⴰⵙⵡⵊⴷ ⵏ ⵉⵢⴰⵥⵉⵟⵏ ⵉ ⵡⵎⵛⵍⵉ,إعداد الدجاج للغذاء.,aswjd n iyaẓiṭn i wmshli,اسوجد ن ييازّيطن ي ومشلي,Preparing the chicken for food.
ⴰⵚⴱⴰⵃ ⵏⵏⵙ ⵉⵜⵜⵛⴰⵕⴰ ⵜⵉⵜⵜⴰⵡⵉⵏ,جمالها يملأ الأعين.,aṣbaḥ nns ittshaṛa tittawin,اصباح ننس يتتشارا تيتتاوين,Her beauty fills the eyes.
ⵉⵚⴷⴷⵇ ⵙⵙⵍⵄⵜ ⵏⵏⵙ ⴷ ⴰⵚⴷⴷⵇ,باع سلعته بسعر منخفض.,iṣddq ssl3t nns d aṣddq,يصددق سسلعت ننس د اصددق,He sold his goods at a low price.
ⵜⴰⵕⵡⴰ ⵜⴰⴱⵕⵕⴰⵏⵜ,الذرية السيئة.,taṛwa tabṛṛant,تاروا تابررانت,The bad offspring.
ⵢⵓⵛⴰ ⵢⴰⴽⵉⴷ-ⵙ,أحس به.,yusha yakid-s,يوشا ياكيد-س,I feel it.
ⵉⴼⴼⵖ ⵣⴳ ⵓⵅⵅⴰⵎ ⵏⵛⴰ ⴷ ⵃⴷⴷ ⵓⵔ ⴰⴽⵉⴷ-ⵙ ⵢⵓⵛⵉ,خرج من المنزل ولم يشعر به أحد.,iffgh zg ukhkham nsha d ḥdd ur akid-s yushi,يففغ زڭ وخخام نشا د حدد ور اكيد-س يوشي,"He left the house, and no one noticed."
ⴰⵛⴼⴼⴰⵢ ⵏⵏⵙ ⵉⵜⵜⴽⴽⵙ ⵍⵀⵍⴰⵛ ⵣⵣⵉ ⴷⴷⵉⵙⵜ,حليبها يزيل المرض من البطن.,ashffay nns ittkks lhlash zzi ddist,اشففاي ننس يتتككس لهلاش ززي دديست,Her milk removes illness from the stomach.
ⴰⵛⴼⴼⴰⵢ ⵏⵏⵙ ⵉⵜⵜⵔⵔⴰ ⴷ ⴱⵓⵃⴱⵍ,حليبها يرد الروح.,ashffay nns ittrra d buḥbl,اشففاي ننس يتتررا د بوحبل,"""Her milk revives the soul."""
ⵉⴽⵙⵉ ⵜ ⵓⵛⵉⵔⵔⵡ ⵣⴳ ⵢⵉⵟⴰⵕⵏ ⴰⵍ ⴰⵣⵍⵍⵉⴼ,أخذه ارتعاش من رجليه حتى رأسه.,iksi t ushirrw zg yiṭaṛn al azllif,يكسي ت وشيررو زڭ ييطارن ال ازلليف,He was seized by a tremor from his legs to his head.
ⵉⵛⵏⴼ ⵉ ⴷ ⴰⵛⵏⴰⴼ ⵓⵢⴰⵥⵉⵟ ⵅ ⵜⵉⵔⵊⵉⵏ,شواه شواء الديك على الجمر.,ishnf i d ashnaf uyaẓiṭ kh tirjin,يشنف ي د اشناف ويازّيط خ تيرجين,He grilled the rooster over the coals.
ⵉⵛⵔⴼ ⵉ ⵢⴰⵛⵔⴰⴼ ⵏ ⵉⵏⵃⴱⴰⵙ,كبله تكبيل المساجين.,ishrf i yashraf n inḥbas,يشرف ي ياشراف ن ينحباس,He shackled him like prisoners are shackled.
ⵉⴱⴷⴰ ⵜ ⵉⴷ ⵓⵛⵔⴰⴼ ⵣⴳ ⵢⵉⵟⴰⵕⵏ,بدأه الشلل من الرجلين.,ibda t id ushraf zg yiṭaṛn,يبدا ت يد وشراف زڭ ييطارن,It started with paralysis in the legs.
ⵉⵜⵜⴳⴳ ⴰⵏⴷⴰⵀ ⵉⴱⵓⵊⴰⴷⵉⵢⵏ,يسوق سياقة المبتدئين.,ittgg andah ibujadiyn,يتتڭڭ انداه يبوجاديين,He drives like a beginner.
ⵉⵜⵜⴳⴳ ⵍⵅⴷⴰⵢⵎ ⵉⴱⵓⵊⴰⴷⵉⵢⵏ,يفعل أفعال السذج.,ittgg lkhdaym ibujadiyn,يتتڭڭ لخدايم يبوجاديين,He acts naively.
ⴰⵟⵎⴰⵄ ⴷⴳ ⵓⵢⵏⵏ ⵓⵔ ⵜⵍⵉⵜ ⴷ ⵍⵄⵉⴱ,الطمع فيما لا تملك عيب.,aṭma3 dg uynn ur tlit d l3ib,اطماع دڭ وينن ور تليت د لعيب,Greed for what you do not possess is a fault.
ⴰⵔⴳⴰⵣ ⴰ ⴷ ⴰⵟⵎⵎⴰⵄ,هذا الرجل انتهازي.,argaz a d aṭmma3,ارڭاز ا د اطمماع,This man is opportunistic.
ⵉⵔⴳⴰⵣⵏ ⵏⵏ ⴷ ⵉⵟⵎⵎⴰⵄⵏ,أولئك الرجال طماعون.,irgazn nn d iṭmma3n,يرڭازن نن د يطمماعن,Those men are greedy.
ⴰⵟⵟⵉⵡⵏ ⵏⵏⵙ ⴰⵎ ⵉⵏⵏ ⵏ ⵓⵖⵢⵓⵍ,عيونه كبيرة كالحمار.,aṭṭiwn nns am inn n ughyul,اططيون ننس ام ينن ن وغيول,His eyes are big like a donkey's.
ⵉⵟⵟⵓⴽⴽⴻⴽ ⴰⵟⵓⴽⴽⴻⴽ ⵏ ⵉⴼⵓⵏⴰⵙⵏ,هاج هيجان الثيران.,iṭṭukkek aṭukkek n ifunasn,يططوكك°ك اطوكك°ك ن يفوناسن,The bulls went into a frenzy.
ⵉⵟⵟⵓⴽⴽⴻⴽ ⴰⴹⵓⴽⴽⴻⴽ ⵏ ⵉⴼⵓⵏⴰⵙⵏ,هاج هيجان الثيران.,iṭṭukkek aḍukkek n ifunasn,يططوكك°ك اضوكك°ك ن يفوناسن,The bulls went into a frenzy.
ⴰⵡⵊⵊⵀ ⵏ ⵙⵙⵍⵄⵜ ⴰⴳⴳ ⵉⵜⵜⴷⵊⴰⵏ ⵎⵉⴷⴷⵏ ⴰⴷ ⵜⵜ ⵙⵖⵏ,تقديم السلعة بشكل جيد هو الذي يجعل الناس يبتاعونها.,awjjh n ssl3t agg ittdjan middn ad tt sghn,اوججه ن سسلعت اڭڭ يتتدجان ميددن اد تت سغن,Presenting the product well is what makes people buy it.
ⴷ ⴰⵡⵔⴰⵖ ⵏ ⵡⵓⴷⵎ,أصفر الوجه.,d awragh n wudm,د اوراغ ن وودم,Pale-faced.
ⵉⴷⵡⵍ ⵓⴷⵎ ⵏⵏⵙ ⴷ ⴰⵡⵔⴰⵖ ⵣⵣⵉ ⵢⴰⵙ ⵏⵏⵉⵖ ⵜⵉⴷⵜ,أصبح وجهه شاحبا عندما قلت له الحقيقة.,idwl udm nns d awragh zzi yas nnigh tidt,يدول ودم ننس د اوراغ ززي ياس ننيغ تيدت,His face turned pale when I told him the truth.
ⵉⵜⵜⵛⵓⵕ ⵙ ⵉⴱⵥⵥⵉⴹⵏ,ممتلئ بالبول.,ittshuṛ s ibẓẓiḍn,يتتشور س يبزّزّيضن,"""Full of urine."""
ⵉⵔⵢⵢⵃ ⵙ ⵉⴱⵥⵥⵉⴹⵏ,نتن بالبول.,iryyḥ s ibẓẓiḍn,يرييح س يبزّزّيضن,"The phrase translates to: ""You smell like urine."" 

Please let me know if you need further assistance or clarification."
ⵉⵜⵜⴰⵡⵢ ⴷ ⵜⵉⴷⵉ ⵏⵏⵙ ⵣⵣⵉ ⵜⵢⵔⵣⴰ,يكسب قوته من الحراثة.,ittawy d tidi nns zzi tyrza,يتتاوي د تيدي ننس ززي تيرزا,He earns his livelihood from farming.
ⵉⵡⵡⵢ ⴷ ⵉⵅⴷⴷⴰⵎⵏ ⵣⵣⵉ ⵜⵎⴷⵉⵏⵜ,جلب العمال من المدينة.,iwwy d ikhddamn zzi tmdint,يووي د يخددامن ززي تمدينت,The workers were brought from the city.
ⵎⴰ ⵜⵄⴷⵍⵜ ⴰⵢⴰⵍ ⵉ ⵜⴳⵛⵛⵓⵍⵜ ⴷⵉ ⵜⵛⵊⵓⵔⵜ?,هل أحسنت تعليق الممخضة في الشجرة؟,ma t3dlt ayal i tgshshult di tshjurt?,ما تعدلت ايال ي تڭششولت دي تشجورت?,"""Did I hang the churn properly on the tree?"""
ⵎⴰ ⵜⵄⴷⵍⵜ ⴰⵊⴰⵍ ⵉ ⵜⴳⵛⵛⵓⵍⵜ ⴷⵉ ⵜⵛⵊⵓⵔⵜ?,هل أحسنت تعليق الممخضة في الشجرة؟,ma t3dlt ajal i tgshshult di tshjurt?,ما تعدلت اجال ي تڭششولت دي تشجورت?,"""Did I hang the churn well on the tree?"""
ⵓⵢⵓⵔ ⵏⵉⵛⴰⵏ ⵜⵏⵏⴱⵕⵎⵜ ⵅ ⵓⵢⴼⴼⵓⵙ ⵏⵏⵛ,سر مباشرة ودر على يمينك.,uyur nishan tnnbṛmt kh uyffus nnsh,ويور نيشان تننبرمت خ ويففوس ننش,Go straight and turn to your right.
ⵢⴰⵍⵍⴰⵀ ⴰⴷ ⵏⴽⴽⵙ ⴰⵣⴰⵔⵏ ⵣⵣⵉ ⵜⵣⴳⴳⵯⴰⵔⵜ,هيا بنا نقطف النبق من شجرة السدر.,yallah ad nkks azarn zzi tzggⵯart,ياللاه اد نككس ازارن ززي تزڭڭⵯارت,Let's pick the nabq fruit from the sidr tree.
ⵉⴷⴷⵣ ⵢⵉⴹⵕⴰⵜⵏ ⵙ ⵜⵣⴷⵓⵣⵜ,دق الذرة بالمدق.,iddz yiḍṛatn s tzduzt,يددز ييضراتن س تزدوزت,He pounded the corn with the pestle.
ⵉⵙⵙⵉⵔⴷ ⵉⵃⵔⴰⵡⵏ ⵙ ⵜⵣⴷⵓⵣⵜ,غسل الملابس بالمحضاج.,issird iḥrawn s tzduzt,يسسيرد يحراون س تزدوزت,Washing clothes with a washboard.
ⴰⴱⵔⵉⴷ ⴰ ⴷ ⴰⵣⴳⵔⴰⵔ,هذا الطريق طويل.,abrid a d azgrar,ابريد ا د ازڭرار,This road is long.
ⴰⴱⵔⵉⴷ ⴰ ⴷ ⴰⵣⵉⵔⴰⵔ,هذا الطريق طويل.,abrid a d azirar,ابريد ا د ازيرار,This road is long.
ⵉⵏⵏⵓⵎ ⴰⵣⵖⴰⵍ ⵖⵔ ⵛⵛⵉⵎⵉⵍⵉ,اعتاد الاستدفاء عند المدخنة.,innum azghal ghr shshimili,يننوم ازغال غر ششيميلي,He used to warm himself by the fireplace.
ⵉⵙⵖⴰ ⵙⵙⵜⵉⵍⵓ ⵢⴰⵣⵉⵣⴰ,اشترى قلم جاف أزرق (أخضر).,isgha sstilu yaziza,يسغا سستيلو يازيزا,He bought a blue ballpoint pen (green).
ⵉⵜⵜⵛⴰ ⵢⴰⴽⵙⵓⵎ ⴷ ⴰⵣⵉⵣⴰ,أكل اللحم نيئا.,ittsha yaksum d aziza,يتتشا ياكسوم د ازيزا,He ate the meat raw.
ⴰⴷ ⵏⴽⵎⵎⵍ ⴰⵣⵏⵣⵉ ⴷⵉ ⵚⴱⴰⵃ,سنكمل البيع في الصباح.,ad nkmml aznzi di ṣbaḥ,اد نكممل ازنزي دي صباح,We will complete the sale in the morning.
ⵓⵔ ⵢⴰ ⵢⵍⵍⵉ ⵡⵣⵔⵔⵓⵢ ⵙⵙⵢⴰ,ممنوع المرور من هنا.,ur ya ylli wzrruy ssya,ور يا يللي وزرروي سسيا,No entry from here.
ⵢⵓⵣⵣⵍ ⵅⴰⴼ-ⵙ ⵣⵣⵉ ⵜⴰⴷⴷⴰⵔⵜ,أخرجه من المنزل.,yuzzl khaf-s zzi taddart,يوززل خاف-س ززي تاددارت,Take him out of the house.
ⵢⵓⵣⵣⵍ ⵣⴷⴼⴼⵔ-ⵙ ⵎⴰⵛⴰ ⵢⴰⴷ ⵜ ⵉⵎⵄⵏ,تعقبه كي يمسكه.,yuzzl zdffr-s masha yad t im3n,يوززل زدففر-س ماشا ياد ت يمعن,He pursued him to catch him.
ⵉⵜⵜⵛⵓⵕ ⵓⵔⵜⵓ ⵢⴰ ⵙ ⵉⵥⴽⴽⴰⵏ ⵏ ⵓⵟⵉⵍ,هذه الشجرة مليئة بعناقيد العنب.,ittshuṛ urtu ya s iẓkkan n uṭil,يتتشور ورتو يا س يزّككان ن وطيل,This tree is full of grape clusters.
ⵉⵜⵜⵛⵓⵕ ⵓⵔⵜⵓ ⵢⴰ ⵙ ⵉⵥⵜⵛⴰⵏ ⵏ ⵓⵟⵉⵍ,هذه الشجرة مليئة بعناقيد العنب.,ittshuṛ urtu ya s iẓtshan n uṭil,يتتشور ورتو يا س يزّتشان ن وطيل,This tree is full of grape clusters.
ⵓⵃⵍⵖ ⵣⴳ ⵓⵄⴰⵢⵏ ⵏⵏⵙ,تعبت من انتظاره.,uḥlgh zg u3ayn nns,وحلغ زڭ وعاين ننس,I got tired of waiting for him.
ⵉⵣⵣⵏⵣ ⵉⵄⵊⵎⵉⵢⵏ ⵙ ⵜⵜⴰⵎⴰⵏ,باع الثيران بثمن جيد.,izznz i3jmiyn s ttaman,يززنز يعجميين س تتامان,He sold the bulls for a good price.
ⵉⴽⴽⵓⵏⵙⵔ ⵓⵄⵊⵎⵉ,فك وثاق الثور.,ikkunsr u3jmi,يككونسر وعجمي,"""Untie the bull."""
ⵉⵙⵖⴰ ⵢⴰⵄⵍⵍⴰⴼ ⵉ ⵢⵎⵓⵃⴰⵍ ⵏⵏⵙ,اشترى المعلف لماشيته.,isgha ya3llaf i ymuḥal nns,يسغا ياعللاف ي يموحال ننس,He bought the fodder for his livestock.
ⴽⵓⵍ ⵃⴷⴷ ⵙ ⵓⵄⵎⵓⴷ ⵏ ⴱⵓⵍⴼⴰⴼ,كل شخص بسفود الكبد الملفوف بالشحم.,kul ḥdd s u3mud n bulfaf,كول حدد س وعمود ن بولفاف,"""Everyone enjoys liver wrapped in fat."""
ⴽⵙⵉⵖ ⵜ ⵅ ⵓⵄⵔⵓⵔ ⵉⵏⵓ,حملته على ظهري.,ksigh t kh u3rur inu,كسيغ ت خ وعرور ينو,I carried him on my back.
ⵎⴰ ⵜⵄⴷⵍⵜ ⴰⵄⵔⴰⵟ ⵉ ⵎⵉⴷⴷⵏ ⵖⵔ ⵓⵎⵏⵙⵉ?,هل أجدت دعوة الناس للعشاء.,ma t3dlt a3raṭ i middn ghr umnsi?,ما تعدلت اعراط ي ميددن غر ومنسي?,Did you manage to invite people to dinner?
ⵎⴰ ⵜⵄⴷⵍⵜ ⴰⵄⵔⴰⴹ ⵉ ⵎⵉⴷⴷⵏ ⵖⵔ ⵓⵎⵏⵙⵉ?,هل أجدت دعوة الناس للعشاء.,ma t3dlt a3raḍ i middn ghr umnsi?,ما تعدلت اعراض ي ميددن غر ومنسي?,Did you successfully invite people to dinner?
ⵢⵓⵄⵄⵔ ⵍⵃⴰⵍ ⵅⴰⴼ-ⵙ,اشتد الأمر عليه.,yu33r lḥal khaf-s,يوععر لحال خاف-س,The matter became more difficult for him.
ⵢⵉⵏ ⵉⴱⵓⴷⴰ ⵊⴰⵔ ⵜⵎⵓⵔⴰ ⵏⵏⵙⵏ,وضعوا حدودا بين أراضيهم.,yin ibuda jar tmura nnsn,يين يبودا جار تمورا ننسن,They set boundaries between their lands.
ⵉⵏⵏⵄⵟⵕ ⴷⴳ ⵓⴱⴰⴷⵓ,تعثر بالمرتفع الأرضي.,inn3ṭṛ dg ubadu,يننعطر دڭ وبادو,He tripped over the elevated ground.
ⵍⵍⴰⵏⵜ ⵜⵣⵉⵣⵡⴰ ⴽⵙⵙⵉⵏⵜ ⴰⴷⵇⵇⵉⵙ,يحمل النحل حبوب اللقاح.,llant tzizwa kssint adqqis,للانت تزيزوا كسسينت ادققيس,Bees carry pollen.
ⵏⴱⵏⴰ ⵜⴰⵎⵣⴳⵉⴷⴰ ⴷⴳ ⵓⴹⵡⵡⴰⵕ ⵏⵏⵖ,شيدنا مسجدا في حينا.,nbna tamzgida dg uḍwwaṛ nngh,نبنا تامزڭيدا دڭ وضووار ننغ,We built a mosque in our neighborhood.
ⴰⴷⵔⴰⵔ ⵏ ⵓⵟⴰⵕ,جبل الرجل (ظنبوب، عظم الساق الأكبر).,adrar n uṭaṛ,ادرار ن وطار,"The man’s mountain (tibia, the larger shinbone)."
ⵉⵙⵙⵖⵓⵢ ⴷⴳ ⵓⴷⵔⴰⵔ ⵙⵍⵍⵏ ⴰⵙ ⵣⴳ ⵓⵙⵓⴼ,صرخ في الجبل وسمعوه من الوادي.,issghuy dg udrar slln as zg usuf,يسسغوي دڭ ودرار سللن اس زڭ وسوف,"He shouted on the mountain, and they heard him from the valley."
