Tamazight,target_string,Tamazight_Latin,Tamazight_Arabic,English
"ⵎⴰ ⵜⵉⵏⵏⵢⵜ ⴰⵔⴳⴰⵣ ⵉⵙⵙⵏⵓⵊⵉⵡ, ⵉⵙⵉⵏ ⴷ ⵜⴰⵎⵟⵟⵓⵟⵜ",إذا رأيت الرجل يستضيف فاعلم بأنها الزوجة.,"ma tinnyt argaz issnujiw, isin d tamṭṭuṭt","ما تيننيت ارڭاز يسسنوجيو, يسين د تامططوطت","If you see the man hosting, know that it is the wife."
ⵎⴰ ⵜⵥⵉⴹ ⵜⴰⵎⴻⵎⵜ ⵜⵃⵕⵕ ⵜⵓⵇⵇⵙⴰ,إذا كان العسل حلوا فإن اللسع مر.,ma tẓiḍ tamemt tḥṛṛ tuqqsa,ما تزّيض تام°مت تحرر توققسا,"""If the honey is sweet, then the sting is bitter."""
ⵎⴰ ⵡⵔ ⵛ ⵉⵏⵏⵢⵏ ⴰ ⵎⵉⵎⵓⵏ ⵢⵢ ⴰⵙⵏ ⴷⴷⵅⵅⴰⵏ,إذا لم يروك يا ميمون ضع لهم الدخان.,ma wr sh innyn a mimun yy asn ddkhkhan,ما ور ش يننين ا ميمون يي اسن ددخخان,Translation Error
"ⵎⴰ ⵢⴷⵊⵓⵍⵍ ⴷⴰⴳ-ⵛ ⵓⵔⴳⴰⵣ ⵊⵏ, ⵎⴰ ⵜⴷⵊⵓⵍ ⴷⴰⴳ-ⵛ ⵜⵎⵟⵟⵓⵟⵜ ⵉⵍ ⴷⵊⴰⵏ ⵛⴰⵢ",إذا توعدك الرجل فنم، إذا توعدتك المرأة فلا تنم.,"ma ydjull dag-sh urgaz jn, ma tdjul dag-sh tmṭṭuṭt il djan shay","ما يدجولل داڭ-ش ورڭاز جن, ما تدجول داڭ-ش تمططوطت يل دجان شاي","If a man threatens you, sleep; if a woman threatens you, do not sleep."
ⵎⴰⵢⵏ ⵉⵏⵀⵕⵏ ⵓⵛⵛⵏ ⵅ ⵜⵜⵔⵉⴷ? ⴷ ⵍⵃⴰⵎⵓ,من منع الذئب عن الرقاقة؟ الحرارة.,mayn inhṛn ushshn kh ttrid? d lḥamu,ماين ينهرن وششن خ تتريد? د لحامو,Who kept the wolf away from the wafer? The heat.
ⵎⴰⵢⵏ ⵉⵛ ⵉⵙⵙⴱⵔⵛⵏⵏ ⴰ ⴱⴰⵇⵇⴰⵔ? ⵉⵏⵏⴰ-ⵙ: ⴷ ⵍⴰⵎⴰⵏⵜ,ما الذي سودك أيها الغراب؟ قال: الأمانة.,mayn ish issbrshnn a baqqar? inna-s: d lamant,ماين يش يسسبرشنن ا باققار? يننا-س: د لامانت,"""What made you black, O crow?"" He said, ""Integrity."""
ⵎⴰⵢⵏ ⵉⵛ ⵉⵢⵢⵉⵏ ⴰ ⵍⴱⴰⵣ ⴷ ⴰⵡⵃⴷⵉ? ⵉⵏⵏⴰ ⵙ: ⴷ ⴰⵖⵉⵎⵉ ⵡⵃⴷⵉ,ما الذي جعلك أيها الباز جميلا؟ قال: جلوسي وحدي.,mayn ish iyyin a lbaz d awḥdi? inna s: d aghimi wḥdi,ماين يش يييين ا لباز د اوحدي? يننا س: د اغيمي وحدي,"""What made you so beautiful, O falcon?"" He said, ""Sitting alone."""
"ⵎⵉⴷⴷⵏ ⴷⵉ ⵎⵉⴷⴷⵏ, ⵄⵉⵛⴰ ⴳ ⵉⵇⴱⴱⵉⵛⵏ",الناس في الناس، وعائشة في كسرات الخبز.,"middn di middn, 3isha g iqbbishn","ميددن دي ميددن, عيشا ڭ يقببيشن","""People are concerned with people, while Aisha is concerned with pieces of bread."""
ⵎⵓⵛⵛ ⵉⵜⵜⵄⵢⵢⴰⴱ ⴰⴽⵙⵓⵎ ⵣⵣⵉ ⵜ ⵓⵔ ⵉⵡⵡⵉⵟ,القط يعيب اللحم عندما لم يصله.,mushsh itt3yyab aksum zzi t ur iwwiṭ,موشش يتتعيياب اكسوم ززي ت ور يوويط,The cat criticizes the meat when it cannot reach it.
"ⵎⵢⴰ, ⵓⵔ ⵉⴱⵣⵣⴳ ⵓⵅⴷⵎⵉ",مائة ولم يبلل السكين.,"mya, ur ibzzg ukhdmi","ميا, ور يبززڭ وخدمي","""A hundred, and the knife did not get wet."""
"ⵏⵛⴰ ⵜⵔⵣⵓⵜ ⵅⴰⴼ-ⵙ ⵙ ⵜⵇⵏⴷⵉⵍⵜ, ⵓⵔ ⵜ ⵜⵜⵉⴼⵜ",لو بحثت عليه بالقنديل الصغير لن تجده.,"nsha trzut khaf-s s tqndilt, ur t ttift","نشا ترزوت خاف-س س تقنديلت, ور ت تتيفت","Even if you searched for it with a small lantern, you wouldn't find it."
"ⵏⵄⵜ ⴰⵙ, ⵏⵄⵜ ⴰⵙ, ⵎⴰ ⵢⴷⴷⵔⵖⵍ ⵕⵥⵎ ⴰⵙ",أره، أره، إذا عمي أطلقه.,"n3t as, n3t as, ma yddrghl ṛẓm as","نعت اس, نعت اس, ما يددرغل رزّم اس","""See, see, if my uncle released it."""
ⵇⵇⵍ ⴷⴳ ⵓⴷⵎⴰⵡⵏ ⵜⴱⵟⵓⵜ ⴰⴽⵙⵓⵎ,أنظر للأوجه وقسّم اللحم.,qql dg udmawn tbṭut aksum,ققل دڭ ودماون تبطوت اكسوم,Look at the faces and divide the meat.
ⵇⵇⵍ ⵜⴰⵢⵎⴰⵔⵜ ⵜⵙⵖⵜ ⵢⵍⵍⵉⵙ,أنظر للفرس واشتر ابنتها.,qql taymart tsght yllis,ققل تايمارت تسغت يلليس,Translation Error
"ⵔⵔⴱⵃ ⵣⵣⵉ ⵜⵎⵟⵟⵓⵟⵜ, ⵍⵅⵙⴰⵔⵜ ⵣⵣⵉ ⵜⵎⵟⵟⵓⵟⵜ",الربح من المرأة والخسارة منها.,"rrbḥ zzi tmṭṭuṭt, lkhsart zzi tmṭṭuṭt","رربح ززي تمططوطت, لخسارت ززي تمططوطت","Profit comes from a woman, and loss comes from her."
ⵙⴰⵔ ⵜⵎⴰⵔⵜ ⵓⵔ ⵜⴽⵙⵉ ⵜⵎⴰⵔⵜ,أبدا لن تحمل اللحية لحية أخرى.,sar tmart ur tksi tmart,سار تمارت ور تكسي تمارت,A beard will never carry another beard.
ⵙⴰⵔ ⵓⵔ ⵢⵓⵍⵉⵢ ⵡⵓⵛⵛⵏ ⵏⵏⵙ ⵜⵙⴰⵡⵏⵜ,لن يصعد ذئبه الطريق الصاعدة.,sar ur yuliy wushshn nns tsawnt,سار ور يوليي ووششن ننس تساونت,His wolf will not ascend the uphill path.
"ⵙⵏⵜ ⵏ ⵜⵊⵟⵉⵟⵉⵏ, ⵓⵔ ⵜⵏⵜ ⵉⴽⵙⵙⵉ ⵢⵉⴷⵊ ⵏ ⵍⵄⵛⵛ",عصفورتين لن يحملهما عش واحد.,"snt n tjṭiṭin, ur tnt ikssi yidj n l3shsh","سنت ن تجطيطين, ور تنت يكسسي ييدج ن لعشش",Two sparrows cannot be held by one nest.
"ⵙⵙⵍⵄⵜ ⵏ ⵉⵜⵜⵡⵊⵊⵀⵏ, ⵜⴳⴳⵓⵔ ⴷⵉ ⵙⵙⵓⵇ",السلعة المعروضة جيدا، تباع في السوق.,"ssl3t n ittwjjhn, tggur di ssuq","سسلعت ن يتتوججهن, تڭڭور دي سسوق",The well-presented product sells in the market.
ⵙⵙⵍⵄⵜ ⵜⴰⵎⵛⵔⵓⴽⵜ ⵓⵔ ⵜⵜⵎⵏⵣⵉ,السلعة المشتركة لا تباع.,ssl3t tamshrukt ur ttmnzi,سسلعت تامشروكت ور تتمنزي,The shared item is not for sale.
ⵙⵓⴼ  ⵏ ⵓⵔ ⵉⵜⵜⴳⴳⵏ ⵍⵃⵙⵙ ⵓⵔ ⴷⴰⴳ-ⵙ ⵍⴰⵎⴰⵏ,النهر الذي لا يحدث صوتا لا أمان فيه.,suf  n ur ittggn lḥss ur dag-s laman,سوف  ن ور يتتڭڭن لحسس ور داڭ-س لامان,"""The river that makes no sound is not safe."""
ⵙⵓⵜⵔ ⵜⴰⵎⴻⵎⵜ ⴰ ⵢⵉⵎⵉ,أطلب العسل يا فم.,sutr tamemt a yimi,سوتر تام°مت ا ييمي,"""Ask for honey, O mouth."""
"ⵛⴰⵡⵔ ⴱⵏⴰⴷⵎ ⴰⵇⴷⵉⵎ, ⵎⴰ ⵡⵔ ⵜ ⵜⵓⴼⵉⵜ ⵛⴰⵡⵔ ⵍⵃⵉⵟ ⴰⵇⴷⵉⵎ",استشر الإنسان القديم، إذا لم تجده استشر الجدار القديم.,"shawr bnadm aqdim, ma wr t tufit shawr lḥiṭ aqdim","شاور بنادم اقديم, ما ور ت توفيت شاور لحيط اقديم","Consult the old man, and if you can't find him, consult the old wall."
"ⵛⵃⴰⵍ ⴰⵢ ⴷ ⵡⵡⵢⵏ, ⵉⵍⵉⴷ ⵛⵃⴰⵍ ⴰⵢ ⵖⴰⴱⵏ",كم جلبوا وليس كم غابوا.,"shḥal ay d wwyn, ilid shḥal ay ghabn","شحال اي د ووين, يليد شحال اي غابن","""How many attended, not how many were absent."""
"ⵛⵡⴰⵢ ⵉ ⵕⴱⴱⵉ, ⵛⵡⴰⵢ ⵉ ⵍⵄⴱⴷ",القليل لله والقليل للعبد.,"shway i ṛbbi, shway i l3bd","شواي ي رببي, شواي ي لعبد",A little for God and a little for the servant.
"ⵜⴰⴷⴷⴰⵔⵜ ⵏ ⴷⵉ ⵡⵔ ⵜⵍⵍⵉ ⵜⵎⵟⵟⵓⵟⵜ, ⵜⵅⵍⴰ",المنزل الذي لا توجد فيه امرأة مهجور.,"taddart n di wr tlli tmṭṭuṭt, tkhla","تاددارت ن دي ور تللي تمططوطت, تخلا",The house that has no woman is abandoned.
"ⵜⴰⴷⴷⴰⵔⵜ ⵏ ⵉⵜⵜⵛⵓⵕⵏ ⵙ ⵍⵃⵡⴰⵢⵊ  ⵏ ⵎⵉⴷⴷⵏ, ⵜⵅⵍⴰ",المنزل المملوء بأثاث الناس خال.,"taddart n ittshuṛn s lḥwayj  n middn, tkhla","تاددارت ن يتتشورن س لحوايج  ن ميددن, تخلا",The house filled with people's furniture is empty.
"ⵜⴰⴷⴷⴰⵔⵜ ⵏ ⵉⵅⵍⴰⵏ, ⵓⵔ ⵜⵜ ⵜⵛⵉⵕⵉⵏ ⵜⵛⵎⵙⵉⵏ",المنزل الخالي لا يملأ بالصرات.,"taddart n ikhlan, ur tt tshiṛin tshmsin","تاددارت ن يخلان, ور تت تشيرين تشمسين",The empty house is not filled with whispers.
"ⵜⴰⴷⴷⴰⵔⵜ ⵏ ⵉⵅⵍⴰⵏ, ⵓⵔ ⵣⵣⴰⴳ-ⵙ ⵉⵜⵜⵉⵍⵢ ⴷⴷⵅⵅⴰⵏ",المنزل المهجور، لن يصعد منه دخان.,"taddart n ikhlan, ur zzag-s ittily ddkhkhan","تاددارت ن يخلان, ور ززاڭ-س يتتيلي ددخخان",The abandoned house will not emit smoke.
ⵜⴰⵖⵏⵊⴰⵛⵜ ⵓⵔ ⵜⵜⴷⵊⵉ ⵜⴰⵜⵏⵊⵉⵛⵜ ⴰⴷ ⵜⵛⵎⵟ,الملعقة لن تترك القدر يحترق.,taghnjasht ur ttdji tatnjisht ad tshmṭ,تاغنجاشت ور تتدجي تاتنجيشت اد تشمط,The spoon will not let the pot burn.
"ⵜⴰⵖⵢⵓⵍⵜ ⵣⵣⵉ ⵖⴰ ⵜⴰⵕⵡ, ⵓⵔ ⵜⴻⵜⵜⵛ ⵉ ⵍⵄⵍⴼ ⴷ ⴰⵣⴷⴷⴰⴳ",الأتان منذ أنجبت لم تأكل علفا نظيفا.,"taghyult zzi gha taṛw, ur tettsh i l3lf d azddag","تاغيولت ززي غا تارو, ور ت°تتش ي لعلف د ازدداڭ",The she-donkey has not eaten clean fodder since she gave birth.
ⵜⴰⵊⵟⵉⵟⵜ ⵓⵔ ⵜⵔⵡⵡⵉⵃ ⵣⴳ ⵓⵙⵜⵜⵛⵉ ⵢⴰⵍ ⵏⵟⵡⵏ ⵉⵊⵓⵟⴰⵟ ⵏⵏⵙ,العصفورة لن ترتاح من الإطعام حتى تطير فراخها.,tajṭiṭt ur trwwiḥ zg usttshi yal nṭwn ijuṭaṭ nns,تاجطيطت ور تروويح زڭ وستتشي يال نطون يجوطاط ننس,The sparrow will not rest from feeding until her chicks can fly.
ⵜⴰⵎⴷⴰ ⵜⵜⵇⴰⵙ ⵉⵜⵜ ⵙ ⵓⵟⴰⵕ,البركة قسها بالرجل.,tamda ttqas itt s uṭaṛ,تامدا تتقاس يتت س وطار,"""The blessing is measured by the foot."""
"ⵜⴰⵎⴻⵎⵜ ⵣⴳ ⵢⵉⵎⵉ, ⵜⴰⵎⵊⵔⵜ ⴷⴳ ⵢⵉⵙⵉ",العسل من الفم والمنجل في الحجر.,"tamemt zg yimi, tamjrt dg yisi","تام°مت زڭ ييمي, تامجرت دڭ ييسي","""Honey in the mouth and a sickle in the stone."""
ⵜⴰⵎⵟⵍⵜ ⵏ ⵡⴰⵙⵙ ⴰ ⵡⵔ ⵜⵜⵄⵉⵢⵉⵏ ⴰⵍ ⵉⵎⴰⵍ,قبر اليوم لن ينتظر إلى العام القادم.,tamṭlt n wass a wr tt3iyin al imal,تامطلت ن واسس ا ور تتعييين ال يمال,"""The grave of today will not wait until next year."""
"ⵜⴰⵎⵟⵟⵓⵟⵜ ⴱⵍⴰ ⵢⴰⵕⴰ, ⴰⵎ ⵜⵅⵅⴰⵎⵜ ⴱⵍⴰ ⵢⵣⴰⴷⵊⵏ",المرأة بلا أولاد كالخيمة بلا أوتاد.,"tamṭṭuṭt bla yaṛa, am tkhkhamt bla yzadjn","تامططوطت بلا يارا, ام تخخامت بلا يزادجن",A woman without children is like a tent without stakes.
ⵜⴰⵔⴳⴰⵣⵜ ⵏ ⵓⵢⴰⵥⵉⵟ ⵊⴰⵔ ⵜⵢⴰⵥⵉⵟⵉⵏ,قوة الديك بين الدجاجات.,targazt n uyaẓiṭ jar tyaẓiṭin,تارڭازت ن ويازّيط جار تيازّيطين,The strength of the rooster among the hens.
ⵜⴰⵕⵡⴰ ⵣⵉⵛ ⵓⵔ ⵜⵙⵙⵡⵙⵉⵔ,الولادة المبكرة لا تقدم في السن.,taṛwa zish ur tsswsir,تاروا زيش ور تسسوسير,Premature birth does not advance in age.
"ⵜⴰⵙⵉⵡⴰⵏⵜ ⵜⵜⵎⵜⵜⴰ, ⵜⵉⵟⵟⴰⵡ ⵏⵏⵙ ⵖⵔ ⵉⴼⵓⵍⵍⵓⵙⵏ",العقاب يموت وعيناه على الكتاكيت.,"tasiwant ttmtta, tiṭṭaw nns ghr ifullusn","تاسيوانت تتمتتا, تيططاو ننس غر يفوللوسن",The eagle dies with its eyes on the chicks.
ⵜⴰⵡⵕⴷⵉⵛⵜ ⵏ ⵉⵖⵓⴷⴰⵏ ⵉⵜⵜⴳⴳ ⵉⵜⵜ ⵓⵍⴰ ⴷ ⴰⵍⵉⵍⵉ,الوردة الجميلة ينتجها أيضا نبات الدفلى.,tawṛdisht n ighudan ittgg itt ula d alili,تاورديشت ن يغودان يتتڭڭ يتت ولا د اليلي,The beautiful flower is also produced by the oleander plant.
ⵜⴰⵡⵕⴷⵉⵛⵜ ⵓⵔ ⵜⵜ ⵜⵜⴽⴽⵙⵜ ⴰⵍ ⵛ ⵏⵇⴱⵏ ⵉⵙⵏⵏⴰⵏⵏ,الوردة لن تقطفها حتى تخزك الأشواك.,tawṛdisht ur tt ttkkst al sh nqbn isnnann,تاورديشت ور تت تتككست ال ش نقبن يسننانن,The rose will not be picked until the thorns prick you.
ⵜⴰⵥⵥⵓⴹⵉ ⵡⵔ ⵜⵜⴼⴼⵖ ⵜⵉⵥⵎⵎⴰ,الحلاوة لا تفقد في كرات شمع الشهد المعصورة.,taẓẓuḍi wr ttffgh tiẓmma,تازّزّوضي ور تتففغ تيزّمما,"""The sweetness is not lost in the pressed wax honeycomb balls."""
ⵜⵖⵉⵍⵜ ⴷ ⵉⵣⵍⵉ ⵙ ⵓⵖⵉⵎⵉ,ظننت أن الشعر بالجلوس.,tghilt d izli s ughimi,تغيلت د يزلي س وغيمي,"""I thought poetry was about sitting."""
"ⵜⵖⵟⵟ ⵏ ⵉⴱⴷⴷⵏ, ⵓⵔ ⵜⵜⴷⵊⵉ ⵜⵏⵏ ⵉⵊⵏⵉⵏ ⴰⴷ ⵜⵀⵏⴰ",المعزة الواقفة لا تدع النائمة ترتاح.,"tghṭṭ n ibddn, ur ttdji tnn ijnin ad thna","تغطط ن يبددن, ور تتدجي تنن يجنين اد تهنا","""The standing goat does not let the sleeping one rest."""
ⵜⵃⵢⵢⵔⵜ ⵉⵢⵉ ⵢⴰ ⵣⵉⵏⴱ ⴰ ⵜⵓⵛⵛⵏⵜ,حيرتني يا زينب الذئبة.,tḥyyrt iyi ya zinb a tushshnt,تحييرت ييي يا زينب ا توششنت,"""You puzzled me, Zainab the she-wolf."""
ⵜⵉⵎⵍⵍⴰⵍⵉⵏ ⵉⵎⵛ ⵎⵓⵏⵏⵜ ⵜⵜⵕⵥⵥⴰⵏⵜ,البيض عندما يتجمع ينكسر.,timllalin imsh munnt ttṛẓẓant,تيمللالين يمش موننت تترزّزّانت,"""Eggs, when gathered together, break."""
"ⵜⵉⵎⵇⵇⵜ ⵜⵉⵎⵇⵇⵜ, ⴰⴷ ⵉⵃⵎⵍ ⵓⵙⵓⴼ",قطرة بقطرة، يفيض النهر.,"timqqt timqqt, ad iḥml usuf","تيمققت تيمققت, اد يحمل وسوف","Drop by drop, the river overflows."
ⵜⵉⵎⵙⵙⵉ ⵜⵜⴳⴳ ⵉⵙⴼⵟⴰⵡⵏ,النار تصنع المشاعل.,timssi ttgg isfṭawn,تيمسسي تتڭڭ يسفطاون,"""Fire creates torches."""
ⵜⵉⵎⵙⵙⵉ ⵡⵔ ⵜⵜⵉⵕⵡ ⵖⵉⵔ ⵢⵉⵖⴷ,النار لا تخلف إلا الرماد.,timssi wr ttiṛw ghir yighd,تيمسسي ور تتيرو غير ييغد,"""Fire leaves nothing but ashes."""
ⵜⵉⵙⴷⵏⴰⵏ ⴰⵎ ⵓⵇⴷⴷⵓⵃ ⵇⴰⵄ ⴷ ⵍⵃⵎⵓⵎ,النساء كالقدر المفحم كلهن سخام.,tisdnan am uqdduḥ qa3 d lḥmum,تيسدنان ام وقددوح قاع د لحموم,"The sentence translates to: ""Women are like a soot-filled pot, all of them are blackened."" 

Note: This phrase carries a metaphorical tone and might reflect cultural or historical context. It could be interpreted as offensive or derogatory depending on the intent and context in which it is used. If you need further clarification or a deeper analysis, feel free to ask!"
ⵜⵉⵙⴷⵏⴰⵏ ⴱⵟⵟⵓⵏⵜ ⵢⵉⵣⵉⵎⵔ ⵅ ⵢⵎⵎⴰ-ⵙ,النساء يفطمن الحمل عن أمه.,tisdnan bṭṭunt yizimr kh ymma-s,تيسدنان بططونت ييزيمر خ يمما-س,The women wean the child from its mother.
ⵜⵉⵙⴷⵏⴰⵏ ⵙⵙⴰⵕⴰⵡⵏⵜ ⵜⴰⵙⵔⴷⵓⵏⵜ,النساء يولدن البغلة.,tisdnan ssaṛawnt tasrdunt,تيسدنان سساراونت تاسردونت,The women give birth to a mule.
ⵜⵉⵛⵛⵜ ⵓⵔ ⵜⵜⵉⵕⵡ ⴰⵎ ⵏ ⴰⵙ ⵉⵄⴷⵍ,القملة لا تبيض كما يناسبها.,tishsht ur ttiṛw am n as i3dl,تيششت ور تتيرو ام ن اس يعدل,The louse does not lay eggs as it suits it.
"ⵜⵉⵛⵟⴼⵜ ⵉⵎⵛ ⵉⵅⵙ ⵕⴱⴱⵉ ⴰⴷ ⵜⵜ ⵉⵄⴷⴷⴱ, ⵉⵜⵜⴳⴳ ⴰⵙ ⴰⴼⵔⵉⵡⵏ",النملة إذا شاء الله تعذيبها يجعل لها أجنحة.,"tishṭft imsh ikhs ṛbbi ad tt i3ddb, ittgg as afriwn","تيشطفت يمش يخس رببي اد تت يعددب, يتتڭڭ اس افريون","""The ant, if God wills to punish it, gives it wings."""
ⵜⵉⵟⵟⴰⵡⵉⵏ ⵓⵔ ⵍⵉⵏⵜ ⴰⴼⵔⴰⴳ,العينان لا تملكان سياجا.,tiṭṭawin ur lint afrag,تيططاوين ور لينت افراڭ,"""The eyes have no fence."""
"ⵜⵉⵟⵟ ⵖⵔ ⵣⵣⵉⵏ, ⵟⴰⵕ ⵉⵜⵜⵛ ⵉ ⵡⵇⵣⵉⵏ",العين عند الجمال والرجل أكلها الكلب.,"tiṭṭ ghr zzin, ṭaṛ ittsh i wqzin","تيطط غر ززين, طار يتتش ي وقزين","The sentence seems to have some ambiguity or might be nonsensical in its structure. A direct translation would be:

""The eye is with the camel, and the man was eaten by the dog.""

However, this might not convey a clear or intended meaning. Could you clarify or provide more context?"
ⵜⵉⵅⵙⵉ ⵜⴰⵔⵉⴷⴰⵍⵜ ⴰⴳ ⵉⵜⴻⵜⵜ ⵡⵓⵛⵛⵏ,النعجة العرجاء هي التي يأكل الذئب.,tikhsi taridalt ag itett wushshn,تيخسي تاريدالت اڭ يت°تت ووششن,"""The lame sheep is the one the wolf eats."""
"ⵜⵉⵣⵉⵎⵔⵜ ⵜⵜⵎⵖⵉⵔ, ⵜⵉⵅⵙⵉ ⵜⵜⵡⵙⵉⵔ",الرخل (الأنثى من أولاد الضأن) تكبر والنعجة تشيخ.,"tizimrt ttmghir, tikhsi ttwsir","تيزيمرت تتمغير, تيخسي تتوسير","The ewe lamb (the female offspring of sheep) grows, and the ewe ages."
"ⵜⵎⵓⵖⵍⵉ ⴷⴳ ⵡⴰⵎⴰⵏ, ⵓⵔ ⵜⵏⵇⵇ ⴼⴰⴷ",النظر في الماء لا يقتل العطش.,"tmughli dg waman, ur tnqq fad","تموغلي دڭ وامان, ور تنقق فاد",Looking at water does not quench thirst.
"ⵜⵏⵏ ⴰⴽⵉⴷ-ⵉ ⵓⵔ ⵉⵥⴹⵉⵏ, ⴰⴷ ⵜⵜ ⵜⵜⵛⵖ",من لم تطحن معي سآكلها.,"tnn akid-i ur iẓḍin, ad tt ttshgh","تنن اكيد-ي ور يزّضين, اد تت تتشغ","""Whoever does not grind with me, I will eat them."""
"ⵜⵏⵏⴰ-ⵙ ⵜⵖⵢⵓⵍⵜ: ⵣⴳ ⵡⴰⵙⵙ ⵏ ⴷⵉ ⵡⵔⵡⵖ, ⵓⵔ ⵜⵜⵛⵉⵖ ⴰⵍ ⵛⵡⵉⵖ, ⵓⵔ ⵙⵡⵉⵖ ⴰⵎⴰⵏ ⵉⵣⴷⴷⴰⴳⵏ",قالت الأتان: منذ اليوم الذي أنجبت فيه لم آكل حتى أشبع ولم أشرب ماءا صافيا.,"tnna-s tghyult: zg wass n di wrwgh, ur ttshigh al shwigh, ur swigh aman izddagn","تننا-س تغيولت: زڭ واسس ن دي وروغ, ور تتشيغ ال شويغ, ور سويغ امان يزدداڭن","The she-donkey said: ""Since the day I gave birth, I have not eaten until I was full, nor have I drunk clean water."""
"ⵜⵔⵊⵍ, ⵜⴽⵙⵉ ⵜⵏⴰⵙⵜ",أقفلت وأخذت المفتاح.,"trjl, tksi tnast","ترجل, تكسي تناست",I locked it and took the key.
"ⵜⵙⵙⵛⵎⵟ ⵉⵢⵢⵔ, ⵜⴱⴷⴰ ⵜⵙⵙⵖⵓⵢⵢⵓ",أحرقت الحقل وبدأت تصرخ.,"tssshmṭ iyyr, tbda tssghuyyu","تسسشمط ييير, تبدا تسسغوييو",She burned the field and started screaming.
ⵜⵜⴰⵙⵉⵄ ⴷⴳ ⵡⵓⵍ,الاتساع في القلب.,ttasi3 dg wul,تتاسيع دڭ وول,The expansion of the heart.
"ⵜⵜⵛ ⴰⵢⵏⵏ ⵜⴻⵜⵜⵛⴰ ⵢⵎⵎⴰ-ⵛ, ⵡⴰⵅⵅⴰ ⴷ ⴰⵔⵎⴰⵚ",كل ما أكلته والدتك ولو رغلا ملحيا.,"ttsh aynn tettsha ymma-sh, wakhkha d armaṣ","تتش اينن ت°تتشا يمما-ش, واخخا د ارماص","""Everything your mother ate, even if it was just salty bread."""
"ⵜⵜⵛ, ⵉⵍ ⵜⵜⵙⴰⵍ",كل ولا تسأل.,"ttsh, il ttsal","تتش, يل تتسال","""Eat and don't ask."""
ⵜⵜⵓⵖ ⵖⴰⵔ-ⵉ ⴱⴰⴱⴰ ⵎⴰⵛⴰ ⵢⵎⵎⵓⵜ,كان لي أب لكنه توفي.,ttugh ghar-i baba masha ymmut,تتوغ غار-ي بابا ماشا يمموت,"I had a father, but he passed away."
ⵜⵓⵊⵔ ⵍⵀⴹⵔⵜ ⵍⵅⴷⵎⵜ,تعدى الكلام العمل.,tujr lhḍrt lkhdmt,توجر لهضرت لخدمت,Words surpassed actions.
"ⵜⵓⵟⴰ ⵣⴳ ⵢⵉⵎⵉ, ⵜⵓⵙⵏ ⴷⴳ ⵢⵉⵙⵉ",سقطت من الفم وجاءت في الحضن.,"tuṭa zg yimi, tusn dg yisi","توطا زڭ ييمي, توسن دڭ ييسي","""It fell from the mouth and landed in the lap."""
"ⵜⵢⴰⵥⵉⵟⵜ ⵜⵙⵎⵎⵃ ⴷⴳ ⵢⵉⵅⴼ  ⵏⵏⵙ, ⵜⵖⵎⵎⵙ ⵉ ⵢⴼⵓⵍⵍⵓⵙⵏ ⵏⵏⵙ ⵙ  ⵡⴰⴼⵔⵉⵡⵏ ⵏⵏⵙ",الدجاجة تتخلى عن نفسها و تغطي كتاكيتها بجناحيها.,"tyaẓiṭt tsmmḥ dg yikhf  nns, tghmms i yfullusn nns s  wafriwn nns","تيازّيطت تسممح دڭ ييخف  ننس, تغممس ي يفوللوسن ننس س  وافريون ننس",The hen sacrifices herself and covers her chicks with her wings.
ⵜⵢⴰⵥⵉⵟⵜ ⵜⵙⵙⵉⵎⴰ ⵢⴼⵓⵍⵍⵓⵙⵏ ⵏⵏⵙ ⵖⵉⵔ ⵙ ⵡⴰⴼⵔⵉⵡⵏ,الدجاجة تربي فراخها فقط بالأجنحة.,tyaẓiṭt tssima yfullusn nns ghir s wafriwn,تيازّيطت تسسيما يفوللوسن ننس غير س وافريون,The hen raises her chicks only with her wings.
"ⵜⵢⴰⵥⵉⵟⵜ ⵜⵜⴰⵕⵡ, ⵢⴰⵥⵉⵟ ⵉⵜⵜⵇⵇⵙ ⴰⵙ ⵏⴰⵏⵏⴰ-ⵙ",الدجاجة تبيض والديك تؤلمه مؤخرته.,"tyaẓiṭt ttaṛw, yaẓiṭ ittqqs as nanna-s","تيازّيطت تتارو, يازّيط يتتققس اس ناننا-س",Translation Error
ⵜⵢⴰⵥⵉⵟⵜ ⵓⵔ ⵜⵜⵉⵕⵡ ⵣⵜⴰⵜ ⵎⵉⴷⴷⵏ,الدجاجة لا تبيض أمام الناس.,tyaẓiṭt ur ttiṛw ztat middn,تيازّيطت ور تتيرو زتات ميددن,The chicken does not lay eggs in front of people.
ⵜⵢ ⴷ ⴰⵟⵉⵍ ⵇⴱⵍ ⴰⵙⵎⵎⵓⵎ,أثمرت العنب قبل الحِصْرِم (العنب غير الناضج).,ty d aṭil qbl asmmum,تي د اطيل قبل اسمموم,The grapes ripened before the sour unripe grapes (ḥiṣrim).
"ⵜⵄⵢⵢⴱ ⵜⵕⴰⵜⵛⴰ ⵜⴰⵍⵍⵓⵏⵜ, ⵉⵟⵃⴽ ⵓⵎⵛⵍⵍⴻⵍ",عيبت الشبكة الغربال فضحكت السلة.,"t3yyb tṛatsha tallunt, iṭḥk umshllel","تعييب تراتشا تاللونت, يطحك ومشلل°ل","""The sieve criticized the net, so the basket laughed."""
