English_Sentence,Tamazight_Sentence,Dialect,Tamazight_Tifinagh,Tamazight_Arabic,Tamazight_Latin
"𝗧𝗵𝗲 𝗽𝗼𝘄𝗲𝗿 𝗼𝗳 𝗹𝗮𝗻𝗴𝘂𝗮𝗴𝗲: 𝗛𝗼𝘄 𝘄𝗼𝗿𝗱𝘀 𝘀𝗵𝗮𝗽𝗲 𝗽𝗲𝗼𝗽𝗹𝗲, 𝗰𝘂𝗹𝘁𝘂𝗿𝗲",ⵜⴰⵣⵎⵔⵜ ⵏ ⵜⵓⵜⵍⴰⵢⵜ: ⵎⴽⵯⴰ ⴷⴰ ⴷⴰ ⴷ ⵙⵖⵖⵍⴰⵢⵏ ⵉⵡⴰⵍⵉⵡⵏ ⵎⴷⴷⵏ ⴷ ⵜⵓⵙⵙⵏⴰ,Central,ⵜⴰⵣⵎⵔⵜ ⵏ ⵜⵓⵜⵍⴰⵢⵜ: ⵎⴽⵯⴰ ⴷⴰ ⴷⴰ ⴷ ⵙⵖⵖⵍⴰⵢⵏ ⵉⵡⴰⵍⵉⵡⵏ ⵎⴷⴷⵏ ⴷ ⵜⵓⵙⵙⵏⴰ,تازمرت ن توتلايت: مكⵯا دا دا د سغغلاين يواليون مددن د توسسنا,tazmrt n tutlayt: mkⵯa da da d sɣɣlayn iwaliwn mddn d tussna
"𝗦𝗽𝗲𝗮𝗸𝗶𝗻𝗴, 𝘄𝗿𝗶𝘁𝗶𝗻𝗴 𝗮𝗻𝗱 𝗿𝗲𝗮𝗱𝗶𝗻𝗴 𝗮𝗿𝗲 𝗶𝗻𝘁𝗲𝗴𝗿𝗮𝗹 𝘁𝗼 𝗲𝘃𝗲𝗿𝘆𝗱𝗮𝘆 𝗹𝗶𝗳𝗲, 𝘄𝗵𝗲𝗿𝗲 𝗹𝗮𝗻𝗴𝘂𝗮𝗴𝗲 𝗶𝘀 𝘁𝗵𝗲 𝗽𝗿𝗶𝗺𝗮𝗿𝘆 𝘁𝗼𝗼𝗹 𝗳𝗼𝗿 𝗲𝘅𝗽𝗿𝗲𝘀𝘀𝗶𝗼𝗻 𝗮𝗻𝗱 𝗰𝗼𝗺𝗺𝘂𝗻𝗶𝗰𝗮𝘁𝗶𝗼𝗻. 𝗦𝘁𝘂𝗱𝘆𝗶𝗻𝗴 𝗵𝗼𝘄 𝗽𝗲𝗼𝗽𝗹𝗲 𝘂𝘀𝗲 𝗹𝗮𝗻𝗴𝘂𝗮𝗴𝗲 – 𝘄𝗵𝗮𝘁 𝘄𝗼𝗿𝗱𝘀 𝗮𝗻𝗱 𝗽𝗵𝗿𝗮𝘀𝗲𝘀 𝘁𝗵𝗲𝘆 𝘂𝗻𝗰𝗼𝗻𝘀𝗰𝗶𝗼𝘂𝘀𝗹𝘆 𝗰𝗵𝗼𝗼𝘀𝗲 𝗮𝗻𝗱 𝗰𝗼𝗺𝗯𝗶𝗻𝗲 – 𝗰𝗮𝗻 𝗵𝗲𝗹𝗽 𝘂𝘀 𝗯𝗲𝘁𝘁𝗲𝗿 𝘂𝗻𝗱𝗲𝗿𝘀𝘁𝗮𝗻𝗱 𝗼𝘂𝗿𝘀𝗲𝗹𝘃𝗲𝘀 𝗮𝗻𝗱 𝘄𝗵𝘆 𝘄𝗲 𝗯𝗲𝗵𝗮𝘃𝗲 𝘁𝗵𝗲 𝘄𝗮𝘆 𝘄𝗲 𝗱𝗼.","ⴰⵡⴰⵍ, ⵜⵉⵔⵔⴰ ⴷ ⵜⵉⵖⵕⵉ ⴰⴽⵯ ⴳⴰⵏ ⵜⴰⵡⵔⵉⵡⵉⵏ ⵏ ⵡⴰⵙⵙ ⵏⵏⵅ, ⵎⴰⵛⴰ ⵜⵢⵜⵍⴰⵢⵜ ⴰⵜⵏ ⵉⵙⵎⵓⵏⵏ ⴰⴽⵯ, ⴰⵛⴽⵓ ⵜⴳⴰ ⵜⴰⵙⴰⵔⵓⵜ ⵏ ⵓⵙⵎⴰⵡⴰⴹ. ⵓⵍⵎⵎⵓⴷ ⵏ ⵎⴽⵯⴰ ⴷⴰ ⴷ ⵙⴽⴽⵔⵏ ⵎⴷⴷⵏ ⵉ ⵜⵓⵜⵍⴰⵢⵜ ⴷ ⵎⴰ ⴷ ⵙⴽⴽⵔⵏ ⵙⵔⵙ - ⵜⵉⵡⴰⵍⵉⵡⵉⵏ ⴷ ⵡⴰⵡⵡⴰⴽⵏ ⴷⴰ ⵙⵜⴰⵢⵏ ⴷ ⵙⵎⵓⵏⵏ ⵡⴰⵔ ⵓⴼⵔⴰⴽ- ⵎⴰⵅ ⴰⴷⵊⴰⵏ ⴰⵏⵉⵙⴰⵏ ⵏⵏⵉⵜ ⵉⵅⴼⴰⵡⵏ ⵏⵏⵅ ⴷ ⵎⴰⵅ ⴰⵍⵍⵉⴳ ⴷⴰ ⵏ ⵏⵜⵙⴽⴰⵔ ⵜⵡⴰⵔⵉⵡⵉⵏ ⵏⵏⵅ.",Central,"ⴰⵡⴰⵍ, ⵜⵉⵔⵔⴰ ⴷ ⵜⵉⵖⵕⵉ ⴰⴽⵯ ⴳⴰⵏ ⵜⴰⵡⵔⵉⵡⵉⵏ ⵏ ⵡⴰⵙⵙ ⵏⵏⵅ, ⵎⴰⵛⴰ ⵜⵢⵜⵍⴰⵢⵜ ⴰⵜⵏ ⵉⵙⵎⵓⵏⵏ ⴰⴽⵯ, ⴰⵛⴽⵓ ⵜⴳⴰ ⵜⴰⵙⴰⵔⵓⵜ ⵏ ⵓⵙⵎⴰⵡⴰⴹ. ⵓⵍⵎⵎⵓⴷ ⵏ ⵎⴽⵯⴰ ⴷⴰ ⴷ ⵙⴽⴽⵔⵏ ⵎⴷⴷⵏ ⵉ ⵜⵓⵜⵍⴰⵢⵜ ⴷ ⵎⴰ ⴷ ⵙⴽⴽⵔⵏ ⵙⵔⵙ - ⵜⵉⵡⴰⵍⵉⵡⵉⵏ ⴷ ⵡⴰⵡⵡⴰⴽⵏ ⴷⴰ ⵙⵜⴰⵢⵏ ⴷ ⵙⵎⵓⵏⵏ ⵡⴰⵔ ⵓⴼⵔⴰⴽ- ⵎⴰⵅ ⴰⴷⵊⴰⵏ ⴰⵏⵉⵙⴰⵏ ⵏⵏⵉⵜ ⵉⵅⴼⴰⵡⵏ ⵏⵏⵅ ⴷ ⵎⴰⵅ ⴰⵍⵍⵉⴳ ⴷⴰ ⵏ ⵏⵜⵙⴽⴰⵔ ⵜⵡⴰⵔⵉⵡⵉⵏ ⵏⵏⵅ.","اوال, تيررا د تيغرّي اكⵯ ڭان تاوريوين ن واسس ننخ, ماشا تيتلايت اتن يسمونن اكⵯ, اشكو تڭا تاساروت ن وسماواض. ولممود ن مكⵯا دا د سككرن مددن ي توتلايت د ما د سككرن سرس - تيواليوين د واوواكن دا ستاين د سمونن وار وفراك- ماخ ادجان انيسان ننيت يخفاون ننخ د ماخ الليڭ دا ن نتسكار تواريوين ننخ.","awal, tirra d tiɣṛi akⵯ gan tawriwin n wass nn5, masha tytlayt atn ismunn akⵯ, ashku tga tasarut n usmawaḍ. ulmmud n mkⵯa da d skkrn mddn i tutlayt d ma d skkrn srs - tiwaliwin d wawwakn da stayn d smunn war ufrak- ma5 adjan anisan nnit i5fawn nn5 d ma5 allig da n ntskar twariwin nn5."
"𝗟𝗶𝗻𝗴𝘂𝗶𝘀𝘁𝗶𝗰𝘀 𝘀𝗰𝗵𝗼𝗹𝗮𝗿𝘀 𝘀𝗲𝗲𝗸 𝘁𝗼 𝗱𝗲𝘁𝗲𝗿𝗺𝗶𝗻𝗲 𝘄𝗵𝗮𝘁 𝗶𝘀 𝘂𝗻𝗶𝗾𝘂𝗲 𝗮𝗻𝗱 𝘂𝗻𝗶𝘃𝗲𝗿𝘀𝗮𝗹 𝗮𝗯𝗼𝘂𝘁 𝘁𝗵𝗲 𝗹𝗮𝗻𝗴𝘂𝗮𝗴𝗲 𝘄𝗲 𝘂𝘀𝗲, 𝗵𝗼𝘄 𝗶𝘁 𝗶𝘀 𝗮𝗰𝗾𝘂𝗶𝗿𝗲𝗱 𝗮𝗻𝗱 𝘁𝗵𝗲 𝘄𝗮𝘆𝘀 𝗶𝘁 𝗰𝗵𝗮𝗻𝗴𝗲𝘀 𝗼𝘃𝗲𝗿 𝘁𝗶𝗺𝗲. 𝗧𝗵𝗲𝘆 𝗰𝗼𝗻𝘀𝗶𝗱𝗲𝗿 𝗹𝗮𝗻𝗴𝘂𝗮𝗴𝗲 𝗮𝘀 𝗮 𝗰𝘂𝗹𝘁𝘂𝗿𝗮𝗹, 𝘀𝗼𝗰𝗶𝗮𝗹 𝗮𝗻𝗱 𝗽𝘀𝘆𝗰𝗵𝗼𝗹𝗼𝗴𝗶𝗰𝗮𝗹 𝗽𝗵𝗲𝗻𝗼𝗺𝗲𝗻𝗼𝗻.","ⵉⵎⵙⵏⵉⵍⵙⵏ ⴰⵔ ⵜⵜⵉⵏⴰⴳⵏ ⴰⴷ ⵉⵙⴰⵏⵏ ⵎⴰ ⵢⵏⴹⴹⵏ ⴰⴽⵯ ⴼ ⵜⵓⵜⵍⴰⵢⵜ ⴷⴰ ⵙ ⴷⴰ ⵏⵙⴰⵡⵡⴰⵍ, ⵎⴽⵯⴰ ⴷⴰ ⴷⴰ ⵜⵏ ⵜⵍⵎⴰⴷ ⴷ ⵎⴽⵯⴰ ⴷⴰ ⴷⴰ ⵜⵙⵏⴼⴰⵍ ⵉⵅⴼ ⵏⵏⵙ ⴳ ⵓⵎⵣⵔⵓⵢ. ⵉⵎⵙⵏⵉⵍⵙⵏ ⴰⵅ ⴷⴰ ⵜⵜⵉⵥⴰⵕⵏ ⵜⵓⵜⵍⴰⵢⵜ ⵡⴰⵏ ⴽⵔⴰ ⵏ ⵜⵓⵎⴰⵏⵜ ⵜⴰⴷⵍⵙⴰⵏⵜ, ⵜⴰⵏⴰⵎⵓⵏⵜ ⵜⵓⴽⵍⵉⵙⵏⵜ.",Central,"ⵉⵎⵙⵏⵉⵍⵙⵏ ⴰⵔ ⵜⵜⵉⵏⴰⴳⵏ ⴰⴷ ⵉⵙⴰⵏⵏ ⵎⴰ ⵢⵏⴹⴹⵏ ⴰⴽⵯ ⴼ ⵜⵓⵜⵍⴰⵢⵜ ⴷⴰ ⵙ ⴷⴰ ⵏⵙⴰⵡⵡⴰⵍ, ⵎⴽⵯⴰ ⴷⴰ ⴷⴰ ⵜⵏ ⵜⵍⵎⴰⴷ ⴷ ⵎⴽⵯⴰ ⴷⴰ ⴷⴰ ⵜⵙⵏⴼⴰⵍ ⵉⵅⴼ ⵏⵏⵙ ⴳ ⵓⵎⵣⵔⵓⵢ. ⵉⵎⵙⵏⵉⵍⵙⵏ ⴰⵅ ⴷⴰ ⵜⵜⵉⵥⴰⵕⵏ ⵜⵓⵜⵍⴰⵢⵜ ⵡⴰⵏ ⴽⵔⴰ ⵏ ⵜⵓⵎⴰⵏⵜ ⵜⴰⴷⵍⵙⴰⵏⵜ, ⵜⴰⵏⴰⵎⵓⵏⵜ ⵜⵓⴽⵍⵉⵙⵏⵜ.","يمسنيلسن ار تتيناڭن اد يسانن ما ينضضن اكⵯ ف توتلايت دا س دا نساووال, مكⵯا دا دا تن تلماد د مكⵯا دا دا تسنفال يخف ننس ڭ ومزروي. يمسنيلسن اخ دا تتيزّارّن توتلايت وان كرا ن تومانت تادلسانت, تانامونت توكليسنت.","imsnilsn ar ttinagn ad isann ma ynḍḍn akⵯ f tutlayt da s da nsawwal, mkⵯa da da tn tlmad d mkⵯa da da tsnfal i5f nns g umzruy. imsnilsn a5 da ttiẓaṛn tutlayt wan kra n tumant tadlsant, tanamunt tuklisnt."
𝑨 𝒎𝒆𝒔𝒔𝒂𝒈𝒆,ⵜⴰⴱⵔⴰⵜ ,Central,ⵜⴰⴱⵔⴰⵜ ,تابرات ,tabrat 
"𝗢𝗻𝗰𝗲 𝗮 𝗹𝗮𝗻𝗴𝘂𝗮𝗴𝗲 𝗱𝗶𝘀𝗮𝗽𝗽𝗲𝗮𝗿𝘀, 𝘄𝗲 𝗹𝗼𝘀𝗲 𝗺𝘂𝗰𝗵 𝗼𝗳 𝘁𝗵𝗲 𝗵𝗶𝘀𝘁𝗼𝗿𝘆, 𝗰𝘂𝗹𝘁𝘂𝗿𝗲, 𝗮𝗻𝗱 𝗵𝗲𝗿𝗶𝘁𝗮𝗴𝗲 𝗼𝗳 𝘁𝗵𝗲 𝗽𝗲𝗼𝗽𝗹𝗲 𝘄𝗵𝗼 𝘀𝗽𝗼𝗸𝗲 𝗶𝘁.","ⵉⴳ ⵜⴼⵙⵉ ⴽⵔⴰ ⵏ ⵜⵓⵜⵍⴰⵢⵜ, ⵔⴰⵅ ⵉⴷⴷⵓ ⴰⵃⵟⵟⴰⵟ ⵏ ⵓⵎⵣⵔⵓⵢ, ⵏ ⵜⵓⵙⵏⴰ, ⴷ ⵜⵉⵎⵢⵓⵔⵉⵏ ⵏ ⵎⴷⴷⵏ ⴷⴰ ⵙⵔⵙ ⵉⵙⴰⵡⵡⴰⵍⵏ.",Central,"ⵉⴳ ⵜⴼⵙⵉ ⴽⵔⴰ ⵏ ⵜⵓⵜⵍⴰⵢⵜ, ⵔⴰⵅ ⵉⴷⴷⵓ ⴰⵃⵟⵟⴰⵟ ⵏ ⵓⵎⵣⵔⵓⵢ, ⵏ ⵜⵓⵙⵏⴰ, ⴷ ⵜⵉⵎⵢⵓⵔⵉⵏ ⵏ ⵎⴷⴷⵏ ⴷⴰ ⵙⵔⵙ ⵉⵙⴰⵡⵡⴰⵍⵏ.","يڭ تفسي كرا ن توتلايت, راخ يددو احططاط ن ومزروي, ن توسنا, د تيميورين ن مددن دا سرس يساووالن.","ig tfsi kra n tutlayt, ra5 iddu aḥṭṭaṭ n umzruy, n tusna, d timyurin n mddn da srs isawwaln."
"𝗪𝗲 𝗹𝗼𝘀𝗲 𝗶𝗺𝗽𝗼𝗿𝘁𝗮𝗻𝘁 𝗶𝗻𝗳𝗼𝗿𝗺𝗮𝘁𝗶𝗼𝗻 𝘀𝘂𝗰𝗵 𝗮𝘀 𝗴𝗲𝗼𝗴𝗿𝗮𝗽𝗵𝗶𝗰𝗮𝗹 𝗸𝗻𝗼𝘄𝗹𝗲𝗱𝗴𝗲, 𝗹𝗼𝗰𝗮𝗹 𝘁𝗿𝗮𝗱𝗶𝘁𝗶𝗼𝗻𝘀, 𝗮𝗻𝗱 𝘂𝗻𝗶𝗾𝘂𝗲 𝗶𝗱𝗲𝗮𝘀 𝘁𝗵𝗮𝘁 𝗰𝗼𝘂𝗹𝗱 𝗵𝗲𝗹𝗽 𝘂𝘀 𝗶𝗺𝗽𝗿𝗼𝘃𝗲 𝘁𝗵𝗲 𝘄𝗮𝘆 𝘄𝗲 𝗰𝗼𝗺𝗺𝘂𝗻𝗶𝗰𝗮𝘁𝗲 𝗮𝗻𝗱 𝗺𝗮𝗸𝗲 𝘁𝗵𝗲 𝘄𝗼𝗿𝗹𝗱 𝗮 𝗯𝗲𝘁𝘁𝗲𝗿 𝗽𝗹𝗮𝗰𝗲.","ⵎⴰⵅ ⴰⵛⴽⵏ ⴰⵃⵟⵟⴰⵟ ⵏ ⵓⵎⵍⴰⵏ, ⵡⴰⵏ ⵜⵓⵙⵏⴰ ⵏ ⵡⴰⴽⴰⵍ, ⵜⵉⵎⵢⵓⵔⵉⵏ ⵜⵉⴷⵖⵕⴰⵏⵏ ⴷ ⵜⵉⵡⵏⴳⵉⵎⵉⵏ ⵣⴷⴷⵉⴳⵏⵜ ⴷⴰ ⵎⴰⵅ ⵉⴼⵏ ⵓⴼⵓⵙ ⴱⴰⵛ ⴰⵏ ⵙⴼⵓⵍⴽⵉ ⴰⵖⴰⵕⴰⵙ ⵏ ⵓⵎⵙⴰⵡⴰⴹ ⵏⵖ ⴰ ⵏⵙⴽⵔ ⵢⴰⵏ ⵓⵎⴰⴹⴰⵍ ⵉⵣⴷⴷⵉⴳⵏ.",Central,"ⵎⴰⵅ ⴰⵛⴽⵏ ⴰⵃⵟⵟⴰⵟ ⵏ ⵓⵎⵍⴰⵏ, ⵡⴰⵏ ⵜⵓⵙⵏⴰ ⵏ ⵡⴰⴽⴰⵍ, ⵜⵉⵎⵢⵓⵔⵉⵏ ⵜⵉⴷⵖⵕⴰⵏⵏ ⴷ ⵜⵉⵡⵏⴳⵉⵎⵉⵏ ⵣⴷⴷⵉⴳⵏⵜ ⴷⴰ ⵎⴰⵅ ⵉⴼⵏ ⵓⴼⵓⵙ ⴱⴰⵛ ⴰⵏ ⵙⴼⵓⵍⴽⵉ ⴰⵖⴰⵕⴰⵙ ⵏ ⵓⵎⵙⴰⵡⴰⴹ ⵏⵖ ⴰ ⵏⵙⴽⵔ ⵢⴰⵏ ⵓⵎⴰⴹⴰⵍ ⵉⵣⴷⴷⵉⴳⵏ.","ماخ اشكن احططاط ن وملان, وان توسنا ن واكال, تيميورين تيدغرّانن د تيونڭيمين زدديڭنت دا ماخ يفن وفوس باش ان سفولكي اغارّاس ن ومساواض نغ ا نسكر يان وماضال يزدديڭن.","ma5 ashkn aḥṭṭaṭ n umlan, wan tusna n wakal, timyurin tidɣṛann d tiwngimin zddignt da ma5 ifn ufus bash an sfulki aɣaṛas n umsawaḍ nɣ a nskr yan umaḍal izddign."
𝗪𝗲 𝗺𝘂𝘀𝘁 𝘁𝗮𝗸𝗲 𝗮 𝗽𝗿𝗼𝗮𝗰𝘁𝗶𝘃𝗲 𝘀𝘁𝗮𝗻𝗰𝗲 𝗼𝗻 𝗽𝗿𝗲𝘀𝗲𝗿𝘃𝗮𝘁𝗶𝗼𝗻 𝘁𝗼 𝗿𝗲𝘁𝗮𝗶𝗻 𝘁𝗵𝗲 𝗸𝗻𝗼𝘄𝗹𝗲𝗱𝗴𝗲 𝗼𝗳 𝗼𝘂𝗿 𝗰𝗼𝗺𝗺𝘂𝗻𝗶𝘁𝘆. 𝗚𝗲𝘁𝘁𝗶𝗻𝗴 𝗮 𝗵𝗲𝗮𝗱 𝘀𝘁𝗮𝗿𝘁 𝗶𝘀 𝗲𝘀𝗽𝗲𝗰𝗶𝗮𝗹𝗹𝘆 𝗶𝗺𝗽𝗼𝗿𝘁𝗮𝗻𝘁 𝗳𝗼𝗿 𝗼𝗿𝗮𝗹 𝗹𝗮𝗻𝗴𝘂𝗮𝗴𝗲𝘀 𝘁𝗵𝗮𝘁 𝗱𝗼𝗻’𝘁 𝗵𝗮𝘃𝗲 𝗮𝗻𝘆 𝘄𝗿𝗶𝘁𝘁𝗲𝗻 𝗿𝗲𝗰𝗼𝗿𝗱𝘀.,ⵉⵅⵚⵚⴰ ⴰⵏ ⴱⴷⴷⴰ ⵢⴰⵜ ⵜⵓⴱⴷⴷⴰ ⴱⴰⵛ ⴰ ⵏⵃⴹⵓ ⴷ ⴰ ⵏⴰⵙⵉ ⵜⵓⵙⵏⴰ ⵏ ⵓⵎⵓⵏ ⵏⵏⵅ. ⵉⵅⵚⵚⴰ ⴰⵙⵙⵉⴷ ⴰⵢⴰⵖ ⴼ ⵜⵓⵜⵍⴰⵢⵏ ⴷⴰ ⵉⵜⵜ ⴰⵙⴰⵡⴰⵍⵏ ⴷⴰⵔ ⵓⵔ ⵉⵍⵍⵉⵏ ⵉⴷⵍⵉⵙⵏ ⵉⵜⵜⴰⵔⴰⵏ.,Central,ⵉⵅⵚⵚⴰ ⴰⵏ ⴱⴷⴷⴰ ⵢⴰⵜ ⵜⵓⴱⴷⴷⴰ ⴱⴰⵛ ⴰ ⵏⵃⴹⵓ ⴷ ⴰ ⵏⴰⵙⵉ ⵜⵓⵙⵏⴰ ⵏ ⵓⵎⵓⵏ ⵏⵏⵅ. ⵉⵅⵚⵚⴰ ⴰⵙⵙⵉⴷ ⴰⵢⴰⵖ ⴼ ⵜⵓⵜⵍⴰⵢⵏ ⴷⴰ ⵉⵜⵜ ⴰⵙⴰⵡⴰⵍⵏ ⴷⴰⵔ ⵓⵔ ⵉⵍⵍⵉⵏ ⵉⴷⵍⵉⵙⵏ ⵉⵜⵜⴰⵔⴰⵏ.,يخصصا ان بددا يات توبددا باش ا نحضو د ا ناسي توسنا ن ومون ننخ. يخصصا اسسيد اياغ ف توتلاين دا يتت اساوالن دار ور يللين يدليسن يتتاران.,i5ṣṣa an bdda yat tubdda bash a nḥḍu d a nasi tusna n umun nn5. i5ṣṣa assid ayaɣ f tutlayn da itt asawaln dar ur illin idlisn ittaran.
𝗪𝗿𝗶𝘁𝗲 𝘄𝗶𝘁𝗵 𝘆𝗼𝘂𝗿 𝗹𝗮𝗻𝗴𝘂𝗮𝗴𝗲,ⴰⵔⴰⵡⴰⵜ ⵙ ⵜⵓⵜⵍⴰⵢⵜ ⵏⵏⵓⵏ,Central,ⴰⵔⴰⵡⴰⵜ ⵙ ⵜⵓⵜⵍⴰⵢⵜ ⵏⵏⵓⵏ,اراوات س توتلايت ننون,arawat s tutlayt nnun
Language and Identity:the construction of the Self,ⵜⵓⵜⵍⴰⵢⵜ ⴷ ⵜⵎⴰⴳⵉⵜ: ⴰⵙⵙⵖⵍⵉ ⵏ ⵓⴼⴳⴰⵏ,Central,ⵜⵓⵜⵍⴰⵢⵜ ⴷ ⵜⵎⴰⴳⵉⵜ: ⴰⵙⵙⵖⵍⵉ ⵏ ⵓⴼⴳⴰⵏ,توتلايت د تماڭيت: اسسغلي ن وفڭان,tutlayt d tmagit: assɣli n ufgan
"𝗪𝗵𝗲𝗻 𝗶𝘁 𝗰𝗼𝗺𝗲𝘀 𝘁𝗼 𝗹𝗮𝗻𝗴𝘂𝗮𝗴𝗲, 𝗼𝗻𝗲 𝗼𝗳 𝘁𝗵𝗲 𝗳𝗶𝗿𝘀𝘁 𝘄𝗼𝗿𝗱𝘀 𝘁𝗵𝗮𝘁 𝗰𝗼𝗺𝗲𝘀 𝘁𝗼 𝗺𝗶𝗻𝗱 𝗶𝘀 𝗰𝗼𝗺𝗺𝘂𝗻𝗶𝗰𝗮𝘁𝗶𝗼𝗻. 𝗛𝗼𝘄𝗲𝘃𝗲𝗿, 𝗹𝗮𝗻𝗴𝘂𝗮𝗴𝗲 𝗶𝘀 𝗮𝗹𝘀𝗼 𝗮𝗻 𝗶𝗺𝗽𝗼𝗿𝘁𝗮𝗻𝘁 𝗽𝗮𝗿𝘁 𝗼𝗳 𝗼𝗻𝗲'𝘀 𝗶𝗱𝗲𝗻𝘁𝗶𝘁𝘆 𝗮𝗻𝗱 𝗶𝘀 𝗿𝗲𝗾𝘂𝗶𝗿𝗲𝗱 𝗳𝗼𝗿 𝗮𝗹𝗹 𝗮𝘀𝗽𝗲𝗰𝘁𝘀 𝗼𝗳 𝗶𝗻𝘁𝗲𝗿𝗮𝗰𝘁𝗶𝗻𝗴 𝘄𝗶𝘁𝗵 𝘁𝗵𝗲 𝘀𝘂𝗿𝗿𝗼𝘂𝗻𝗱𝗶𝗻𝗴 𝘄𝗼𝗿𝗹𝗱.","ⵉⴳ ⵏⵙⴰⵡⵡⵍ ⴼ ⵜⵓⵜⵍⴰⵢⵜ, ⵜⴰⵡⵡⴰⵍⵜ ⵜⴰⵎⵣⵡⴰⵔⵓⵜ ⴷⴰ ⵎⴰ ⴷ ⵉⴹⴹⵕⵏ ⴼⵍⵍⴰⵅ ⵎⴰ ⵜⴳ ⵓⵎⵙⵙⴰⵡⴰⴹ. ⵎⴰⵛⴰ, ⵀⴰⵜ ⵜⵓⵜⵍⴰⵢⵜ ⴷⴰⵔⵙ ⵓⵍⴰ ⵏⵜⵜⴰⵜ ⵢⴰⵏ ⵡⴰⵎⵓⵔ ⴰⵎⵇⵇⵯⵕⵢⴰⵏ ⵙⴳ ⵜⵎⴰⴳⵉⵜ ⵏ ⵓⴼⴳⴰⵏ. ⵉⵅⵚⵚⴰ ⴰⵜ ⵉⵍⵉ ⴳ ⴰⴽⵯ ⵉⴼⵉⵍⴰⵏ ⴷⴰ ⵉⵜⴰⵙⵙⴰⵏ ⵉⵏⴳⵔ ⵓⴼⴳⴰⵏ ⴷ ⵓⵢⴷⴰ ⵙⵔⵙ ⵉⵏⵏⴹⵏ.",Central,"ⵉⴳ ⵏⵙⴰⵡⵡⵍ ⴼ ⵜⵓⵜⵍⴰⵢⵜ, ⵜⴰⵡⵡⴰⵍⵜ ⵜⴰⵎⵣⵡⴰⵔⵓⵜ ⴷⴰ ⵎⴰ ⴷ ⵉⴹⴹⵕⵏ ⴼⵍⵍⴰⵅ ⵎⴰ ⵜⴳ ⵓⵎⵙⵙⴰⵡⴰⴹ. ⵎⴰⵛⴰ, ⵀⴰⵜ ⵜⵓⵜⵍⴰⵢⵜ ⴷⴰⵔⵙ ⵓⵍⴰ ⵏⵜⵜⴰⵜ ⵢⴰⵏ ⵡⴰⵎⵓⵔ ⴰⵎⵇⵇⵯⵕⵢⴰⵏ ⵙⴳ ⵜⵎⴰⴳⵉⵜ ⵏ ⵓⴼⴳⴰⵏ. ⵉⵅⵚⵚⴰ ⴰⵜ ⵉⵍⵉ ⴳ ⴰⴽⵯ ⵉⴼⵉⵍⴰⵏ ⴷⴰ ⵉⵜⴰⵙⵙⴰⵏ ⵉⵏⴳⵔ ⵓⴼⴳⴰⵏ ⴷ ⵓⵢⴷⴰ ⵙⵔⵙ ⵉⵏⵏⴹⵏ.","يڭ نساوول ف توتلايت, تاووالت تامزواروت دا ما د يضضرّن فللاخ ما تڭ ومسساواض. ماشا, هات توتلايت دارس ولا نتتات يان وامور امققⵯرّيان سڭ تماڭيت ن وفڭان. يخصصا ات يلي ڭ اكⵯ يفيلان دا يتاسسان ينڭر وفڭان د ويدا سرس يننضن.","ig nsawwl f tutlayt, tawwalt tamzwarut da ma d iḍḍṛn flla5 ma tg umssawaḍ. masha, hat tutlayt dars ula nttat yan wamur am99ⵯṛyan sg tmagit n ufgan. i5ṣṣa at ili g akⵯ ifilan da itassan ingr ufgan d uyda srs innḍn."
