source_string,target_string,latin,arabic_script,english
ⵉⵢⵢⴰ ⵅⵎⵙⴰ ⵅ ⵢⵉⵎⵉ,وضع خمسة (أصابع) على الفم.,iyya khmsa kh yimi,يييا خمسا خ ييمي,"""Place five (fingers) on the mouth."""
ⵉⵢⵢⴰ ⵢⴰⵣⵍⵍⵉⴼ ⵏⵏⵙ,عمل رأسه.,iyya yazllif nns,يييا يازلليف ننس,He nodded.
ⵉⵢⵢⴰ ⵢⵖⵕⵓⵟⵏ,ربى الأكتاف.,iyya yghṛuṭn,يييا يغروطن,"""Massage the shoulders."""
ⵉⵢⵢⴰ ⵢⵟⴰⵕⵏ ⴷⴳ ⵡⴰⵍⵓⴹ,وضع الرجلين في الوحل.,iyya yṭaṛn dg waluḍ,يييا يطارن دڭ والوض,The two men stepped into the mud.
ⵉⵢⵢ ⵉⵜⵜ ⵙ ⵜⵉⴷⵉ ⵏⵏⵙ,عملها بعرقه.,iyy itt s tidi nns,ييي يتت س تيدي ننس,He did it with his sweat.
ⵉⵢⵢ ⵉⵜⵜ ⵙ ⵓⴼⵓⵙ ⵏⵏⵙ,فعلها بيده.,iyy itt s ufus nns,ييي يتت س وفوس ننس,He did it with his own hands.
ⵉⵢⵢ ⵉⵜⵜ ⵣⴳ ⵓⵣⵍⵍⵉⴼ ⵏⵏⵙ,قام بها من رأسه.,iyy itt zg uzllif nns,ييي يتت زڭ وزلليف ننس,He did it on his own.
ⵉⵣⴳⵔⵜ ⵢⵉⵍⵙ ⵏⵏⵙ,لسانه طويل.,izgrt yils nns,يزڭرت ييلس ننس,He has a sharp tongue.
ⵉⵣⵡⴰ ⵢⵉⵎⵉ ⵏⵏⵙ,فمه جاف.,izwa yimi nns,يزوا ييمي ننس,His mouth is dry.
ⵉⵣⵣⵔⵢ ⵡⵓⵙⵙⴰⵏ ⵏⵏⵙ,أمضى أيامه.,izzry wussan nns,يززري ووسسان ننس,He spent his days.
ⵊⵉⵏ ⴰⵡⴰⵍ,قاموا بالكلام.,jin awal,جين اوال,They spoke.
ⴽⵙⵉⵏ ⵉⵢⵉ ⵢⵛⵉⵔⵔⵉⵡⵏ,انتابتني قشعريرة.,ksin iyi yshirriwn,كسين ييي يشيرريون,I got goosebumps.
ⴽⵙⵉⵏ ⵜ ⵡⴰⵎⴰⵏ,حملته المياه.,ksin t waman,كسين ت وامان,The water carried him.
ⴽⵙⵉ ⵟⴰⵕ ⵏⵏⵛ,احمل رجلك.,ksi ṭaṛ nnsh,كسي طار ننش,"""Lift your leg."""
ⵍⵄⵎⵔ ⵏ ⵢⵉⵟⴰⵏ,عمر الكلاب.,l3mr n yiṭan,لعمر ن ييطان,The age of the dogs.
ⵎⴰⵏⵉ ⵜⵢⵉⵜ ⴰⵣⵍⵍⵉⴼ ⵏⵏⵛ ?,أين وضعت رأسك؟,mani tyit azllif nnsh ?,ماني تييت ازلليف ننش ?,Where did you lay your head?
ⵎⴰ ⵜⵓⵜⴼⵜ ⵉⵢⵉ ⴷⴳ ⵓⵣⵍⵍⵉⴼ ?,أدخلت في رأسي؟,ma tutft iyi dg uzllif ?,ما توتفت ييي دڭ وزلليف ?,"""Did you put it in my head?"""
ⵎⴰ ⵡⵔ ⵉⵙⵙⵉⵡⵍ ⵙⵏⵏⵊ ⴰⴷ ⵉⵙⵙⵉⵡⵍ ⵙⵡⴰⴷⴷⴰ,إذا لم ينطق من أعلى سينطق من أسفل.,ma wr issiwl snnj ad issiwl swadda,ما ور يسسيول سننج اد يسسيول سواددا,"""If it doesn't speak from above, it will speak from below."""
ⵎⴰ ⵡⵔ ⵉⵙⵙⵉⵡⵍ ⵣⴳ ⵢⵉⵎⵉ ⴰⴷ ⵉⵙⵙⵉⵡⵍ ⵣⵣⵉ ⵜⵅⵏⴰ,إذا لم ينطق من الفم سينطق من المؤخرة.,ma wr issiwl zg yimi ad issiwl zzi tkhna,ما ور يسسيول زڭ ييمي اد يسسيول ززي تخنا,"""If it doesn't come out of the mouth, it will come out of the rear."""
ⵎⴰⵢⵏ ⵜⵜⵏⵇⵔⴰⵟⵜ ⴷⴳ ⵢⵉⵟⴰⵕⵏ ⵏⵏⵛ ?,لم تتعثر في رجليك؟,mayn ttnqraṭt dg yiṭaṛn nnsh ?,ماين تتنقراطت دڭ ييطارن ننش ?,"""Didn't you trip over your own feet?"""
ⵎⵎⵓⵜⵏ ⵉⴼⴰⴷⴷⵏ ⵏⵏⵙ,ماتت ركبتاه.,mmutn ifaddn nns,مموتن يفاددن ننس,"""His knees have died."""
ⵎⵄⵏ ⴷⴰⴳ-ⵙ,امسك فيه.,m3n dag-s,معن داڭ-س,Hold onto him.
ⵎⵄⵏ ⴼⵓⵙ ⵏⵏⵛ,امسك يدك.,m3n fus nnsh,معن فوس ننش,Hold your hand.
ⵎⵄⵏ ⵉⵍⵙ ⵏⵏⵛ,امسك لسانك.,m3n ils nnsh,معن يلس ننش,Hold your tongue.
ⵎⵄⵏ ⵉⵎⵉ ⵏⵏⵛ,امسك فمك.,m3n imi nnsh,معن يمي ننش,Hold your mouth.
ⵎⵄⵏ ⵉⵅⴼ ⵏⵏⵛ,تمالك نفسك.,m3n ikhf nnsh,معن يخف ننش,Control yourself.
ⵎⵄⵏ ⵟⴰⵕ ⵏⵏⵛ,امسك رجلك.,m3n ṭaṛ nnsh,معن طار ننش,Hold your leg.
ⵏⵖⵉⵏⵜ ⵢⵉⵅⵙⴰⵏ ⵏⵏⵙ,آلمته عظامه.,nghint yikhsan nns,نغينت ييخسان ننس,"""His bones ached."""
ⵏⵛⴰ ⵢⴷⵀⵏ ⵙ ⵜⴰⵎⴻⵎⵜ,ولو دُهن بالعسل.,nsha ydhn s tamemt,نشا يدهن س تام°مت,"""Even if it were coated in honey."""
ⵏⵟⵡⵏⵜ ⴷ ⵜⵉⵟⵟⴰⵡ ⵏⵏⵙ,طفرت عيناه.,nṭwnt d tiṭṭaw nns,نطونت د تيططاو ننس,"""His eyes welled up."""
ⵇⴱⵃⵏⵜ ⵜⵉⵟⵟⴰⵡ ⵏⵏⵙ,عيناه بشعتان.,qbḥnt tiṭṭaw nns,قبحنت تيططاو ننس,His eyes are ugly.
ⵇⵇⵏ ⵉⵎⵉ ⵏⵏⵛ,أغلق فمك.,qqn imi nnsh,ققن يمي ننش,Shut your mouth.
ⵔⵔⵉⵖ ⴷ ⴰⴷⴰⵏ ⵉⵏⵓ,استفرغت أمعائي.,rrigh d adan inu,رريغ د ادان ينو,"""I vomited my guts out."""
ⵔⵔ ⵍⴱⴰⵍ ⵏⵏⵛ,رد بالك.,rr lbal nnsh,رر لبال ننش,Be careful.
ⵕⵥⵎ ⵜⵉⵎⵊⵊⵉⵏ ⵏⵏⵛ,افتح أذنيك.,ṛẓm timjjin nnsh,رزّم تيمججين ننش,Open your ears.
ⵕⵥⵎ ⵜⵉⵟⵟⴰⵡ ⵏⵏⵛ,افتح عينيك.,ṛẓm tiṭṭaw nnsh,رزّم تيططاو ننش,Open your eyes.
ⵙⵔⵙ ⵜⵉⵟⵟ ⵏⵏⵛ ⵅⴰⴼ-ⵙ,ضع عينك عليه.,srs tiṭṭ nnsh khaf-s,سرس تيطط ننش خاف-س,Keep an eye on him.
ⵙⵙⵏⵟⵡⵖ ⵜⵜ ⵣⵣⴰⴳ-ⵙ,طفرتها منه.,ssnṭwgh tt zzag-s,سسنطوغ تت ززاڭ-س,"""I avoided him."" or ""I dodged him."""
ⵙⵡⴰⴷⴷⴰ ⵏ ⵓⴼⵓⵙ ⵉⵏⵓ,تحت يدي.,swadda n ufus inu,سواددا ن وفوس ينو,Under my hand.
ⵚⵕⵕⵎ ⵉⵎⵉ ⵏⵏⵛ,ارسن فمك.,ṣṛṛm imi nnsh,صررم يمي ننش,"""Open your mouth."""
ⵛⴷⴷ ⵉⵎⴰⵏ ⵏⵏⵛ,أمسك نفسك.,shdd iman nnsh,شدد يمان ننش,Hold yourself.
ⵛⵕⵃ ⵜⴰⵇⵎⵎⵓⵎⵜ ⵏⵏⵛ,ابسط شفتك.,shṛḥ taqmmumt nnsh,شرح تاقممومت ننش,"""Smile."""
ⵜⴰⵛⵎⵎⵓⵙⵜ ⵏ ⵍⴽⵔⵀ,صرة الكره.,tashmmust n lkrh,تاشمموست ن لكره,The ball of hatred.
ⵜⴰⵛⵎⵎⵓⵙⵜ ⵏ ⵍⵄⴳⵣ,صرة الكسل.,tashmmust n l3gz,تاشمموست ن لعڭز,The bundle of laziness.
ⵜⴻⵜⵜⵛ ⵉⵛ ⵜⵅⵏⴰ ⵏⵏⵛ,حكتك مؤخرتك.,tettsh ish tkhna nnsh,ت°تتش يش تخنا ننش,"Your sentence translates to: ""Your backside itched."""
ⵜⵖⵟⵍⵜ ⵣⵣⴰⴳ-ⵉ ⵢⴰⵣⴳⵏ,أسقطت مني النصف.,tghṭlt zzag-i yazgn,تغطلت ززاڭ-ي يازڭن,"""I dropped half of it."""
ⵜⵃⵎⴰ,ساخنة.,tḥma,تحما,Hot.
ⵜⵉⵖⵎⴰⵙ ⵓⵖⵉ,أسنان الحليب.,tighmas ughi,تيغماس وغي,Milk teeth.
ⵜⵉⵙⵏⵜ ⵏ ⵓⴼⵓⵙ,ملح اليد.,tisnt n ufus,تيسنت ن وفوس,"""Hand salt."""
ⵜⴽⴽⴰ ⵅⴰⴼ-ⵙ,مرت عليه.,tkka khaf-s,تككا خاف-س,She passed by him.
ⵜⵍⵍⴰ ⴷⴰⴳ-ⵙ ⵜⵎⴰⵍⵍⴰⵍⵜ,توجد فيه البيضة.,tlla dag-s tmallalt,تللا داڭ-س تماللالت,The egg is in it.
ⵜⵍⵍⴰ ⴳ ⵢⵉⵔⵉ ⵏⵏⵙ,توجد في رقبته.,tlla g yiri nns,تللا ڭ ييري ننس,It is located in his neck.
ⵜⵍⵍⴰ ⵙ ⴷⴷⵉⵙⵜ,إنها بالبطن.,tlla s ddist,تللا س دديست,"""It is in the stomach."""
ⵜⵍⵍⴰ ⵜⵜⵏⵏⵟ ⴰⵙ,إنها تحوم حوله.,tlla ttnnṭ as,تللا تتننط اس,She is hovering around him.
ⵜⵎⵇⵇⵔ ⴷⴰⴳ-ⵉ,كبرت فيّ.,tmqqr dag-i,تمققر داڭ-ي,"""It grew within me."""
ⵜⵏⵏⴱⵕⵎ ⵅⴰⴼ-ⵙ ⵜⴱⴰⵔⴷⴰ,انقلبت عليه البردعة.,tnnbṛm khaf-s tbarda,تننبرم خاف-س تباردا,"""The saddle turned over on him.""  

(Note: This is a literal translation. The phrase could also have a figurative or idiomatic meaning depending on the context, such as suggesting someone faced unexpected difficulties or a reversal of fortune.)"
ⵜⵏⵟⵟⵡ ⵖⵔ ⵢⵉⵜⵔⴰⵏ,تطير عند النجوم.,tnṭṭw ghr yitran,تنططو غر ييتران,It flies among the stars.
ⵜⵏⵟⵡ ⴰⵙ,طارت له.,tnṭw as,تنطو اس,It flew to him.
ⵜⵇⵍⵏⵜ ⵜⵎⵊⵊⵉⵏ ⵏⵏⵙ,أذناه ثقيلتان.,tqlnt tmjjin nns,تقلنت تمججين ننس,His ears are heavy.
ⵜⵇⵇⵉⵎ ⴰⵙ ⴷⴳ ⵓⵣⵍⵍⵉⴼ,بقيت له في الرأس.,tqqim as dg uzllif,تققيم اس دڭ وزلليف,It stayed in his mind.
ⵜⵇⵇⵉⵎ ⴷⴰⴳ-ⵉ,بقيت في.,tqqim dag-i,تققيم داڭ-ي,"""I stayed in."""
ⵜⵇⵇⵉⵎ ⵜⵜⴻⵜⵜ ⴷⴰⴳ-ⵙ,ظلت تأكل فيه.,tqqim ttett dag-s,تققيم تت°تت داڭ-س,She kept eating it.
ⵜⵙⵓⵍ ⵊⴰⵔ ⵜⵉⵟⵟⴰⵡⵉⵏ ⵉⵏⵓ,لا زالت بين عيني.,tsul jar tiṭṭawin inu,تسول جار تيططاوين ينو,She is still before my eyes.
ⵜⵛⵎⵎⵜ ⵉ ⵢⵖⵕⴹⴰⵏ ⵏⵏⵛ,شممت لأكتافك.,tshmmt i yghṛḍan nnsh,تشممت ي يغرضان ننش,"""I smelled your shoulders."""
ⵜⵛⵔⵔⴳ ⴰⵛ,مزقت لك.,tshrrg ash,تشررڭ اش,"""I tore it for you."""
ⵜⵛⵔⵔⴳ ⵜⵄⴷⴷⵉⵙⵜ ⵉⵏⵓ,شُق بطني.,tshrrg t3ddist inu,تشررڭ تعدديست ينو,"""My abdomen was cut open."""
ⵜⵜⵛⵉⵏ ⵜ ⵢⵉⵅⵙⴰⵏ ⵏⵏⵙ,أكلته عظامه.,ttshin t yikhsan nns,تتشين ت ييخسان ننس,"""Its bones ate it.""  

(Note: This is a literal translation. The phrase might carry a figurative or idiomatic meaning depending on the context.)"
ⵜⵜⵡⴰⴷⴳⴷⴳⵏ ⵢⵉⵅⵙⴰⵏ ⵏⵏⵙ,طحنت عظامه.,ttwadgdgn yikhsan nns,تتوادڭدڭن ييخسان ننس,"""His bones were crushed."""
ⵜⵓⵕⵡ ⴰⵙ ⵜⵊⵟⵉⵟⵜ ⴷⴳ ⵢⵉⵎⵉ,أباضت له العصفورة في فمه.,tuṛw as tjṭiṭt dg yimi,تورو اس تجطيطت دڭ ييمي,"""The bird laid an egg in his mouth."""
ⵜⵓⵜⴼ ⴷⴳ ⵓⵣⵍⵍⵉⴼ ⵏⵏⵙ,دخلت في رأسه.,tutf dg uzllif nns,توتف دڭ وزلليف ننس,It entered his head.
ⵜⵓⵜⴼ ⵓⵍ ⵏⵏⵙ,ولجت قلبه.,tutf ul nns,توتف ول ننس,"""I entered his heart."""
ⵜⵓⵟⴰ ⵢⴰⵙ ⴷ ⴷⴳ ⵓⵣⵍⵍⵉⴼ,طاحت له في الرأس.,tuṭa yas d dg uzllif,توطا ياس د دڭ وزلليف,It struck his mind. / He became fixated on it.
ⵜⵡⵔⵔⵖⵜ,اصفريت.,twrrght,توررغت,"It seems like the word ""اصفريت"" might be a typo or unclear. Could you provide more context or clarify?"
ⵜⵡⵡⴰ ⴷⴰⴳ-ⵙ ⵜⵎⵍⵍⴰⵍⵜ,نضجت فيه البيضة.,twwa dag-s tmllalt,تووا داڭ-س تمللالت,"""The egg has matured in it."""
ⵜⵡⵡⵟ ⴰⵙ ⵉⵖⵙ,وصلت له العظم.,twwṭ as ighs,تووط اس يغس,It reached the bone.
ⵜⵣⵔⵄ ⴷ ⴰⵡⴰⵍ,زرعت الكلام.,tzr3 d awal,تزرع د اوال,"""I planted the words."""
ⵓⴷⵎ ⵏ ⵓⵀⵔⴽⵓⵙ,وجه الحذاء.,udm n uhrkus,ودم ن وهركوس,The shoe's front.
ⵓⵃⵍⵏ ⴰⵙ ⵉⴼⴰⴷⴷⵏ,تعبت له الركب.,uḥln as ifaddn,وحلن اس يفاددن,"The phrase ""تعبت له الركب"" can be translated to English as:  
""His knees grew weary.""  

This is often used metaphorically in Arabic to describe someone who has endured a lot of effort, hardship, or exhaustion."
ⵓⵍⵢⵏ ⴰⵙ ⴷ ⵡⴰⵎⴰⵏ ⵅ ⵜⵉⵟⵟⴰⵡ,صعد له المني على العينين.,ulyn as d waman kh tiṭṭaw,ولين اس د وامان خ تيططاو,"The phrase ""صعد له المني على العينين"" is not a common or standard expression in Arabic, and its meaning may vary depending on the context or regional usage. However, a literal translation would be:

""His semen rose to his eyes.""

If you provide more context, I can help clarify or refine the translation further."
ⵓⵔ ⵖⴰⵔ-ⵙ ⵓⴷⵎ,ليس لديه وجه.,ur ghar-s udm,ور غار-س ودم,He has no face.
ⵓⵔ ⵖⴰⵔ-ⵙ ⵢⵓⴼⵉ,لم يجد عنده.,ur ghar-s yufi,ور غار-س يوفي,He did not find it with him.
ⵓⵔ ⵉⵍⵍⵉ ⵅ ⵍⴱⴰⵍ ⵏⵏⵙ,ليس على باله.,ur illi kh lbal nns,ور يللي خ لبال ننس,It's not on his mind.
ⵓⵔ ⵉⵙⵙⵉⵏ ⴰⵣⵍⵍⵉⴼ ⵣⴳ ⵢⵉⵟⴰⵕⵏ,لا يعرف الرأس من الرجلين.,ur issin azllif zg yiṭaṛn,ور يسسين ازلليف زڭ ييطارن,He doesn't know the head from the legs.
ⵓⵔ ⵉⵜⵜⵔⵔⵉ ⵢⵉⵍⵙ ⵏⵏⵙ ⵖⵔ ⵢⵉⵎⵉ,لا يرجع لسانه إلى فمه.,ur ittrri yils nns ghr yimi,ور يتترري ييلس ننس غر ييمي,"""His tongue does not return to his mouth."""
ⵓⵔ ⵉⵢⵢⵉ ⵙ ⵓⴼⵓⵙ ⵡⴰⵍⴰ ⵙ ⵓⵟⴰⵕ,لم يفعل باليد ولا بالرجل.,ur iyyi s ufus wala s uṭaṛ,ور يييي س وفوس والا س وطار,He did not act with his hand or his foot.
ⵓⵔ ⵜ ⵜⵜⴽⴽⵙ ⵉ ⵡⵇⵣⵉⵏ,لن تزيله للكلب.,ur t ttkks i wqzin,ور ت تتككس ي وقزين,"""You will not remove it for the dog."""
ⵓⵔ ⵅⴰⴼ-ⵙ ⵜⵉⵙⵏⵜ,ليس عليه ملح.,ur khaf-s tisnt,ور خاف-س تيسنت,It has no salt.
ⵓⵙⵙⴰⵏ ⵏⵟⵟⵡⵏ,الأيام تطير.,ussan nṭṭwn,وسسان نططون,Days fly.
ⵓⵟⴰⵏ ⴷ ⵉⴼⴰⴷⴷⵏ ⵉⵏⵓ,انهارت ركبتاي.,uṭan d ifaddn inu,وطان د يفاددن ينو,My knees collapsed.
ⵡⴰⵅⵅⴰ  ⵢⵎⵎⵉⵔⴰⵡ  ⵓⵊⵏⵏⴰ  ⴰⴽⴷ  ⵜⵎⵓⵔⵜ,حتى لو التقت السماء مع الأرض.,wakhkha  ymmiraw  ujnna  akd  tmurt,واخخا  يمميراو  وجننا  اكد  تمورت,"""Even if the sky meets the earth."""
ⵡⵛ ⵉⵢⵉ ⵢⵎⵊⵊⴰⵏ ⵏⵏⵛ,أعطني أذنيك.,wsh iyi ymjjan nnsh,وش ييي يمججان ننش,"""Give me your ears."""
ⵡⵜⵉⵏ ⵜ ⵜⵉⵟⵟⴰⵡ,ضربته الأعين.,wtin t tiṭṭaw,وتين ت تيططاو,The eyes struck him.
ⵢⵉⵏ ⴼⵓⵙ ⴷⴳ ⵓⴼⵓⵙ,وضعوا اليد في اليد.,yin fus dg ufus,يين فوس دڭ وفوس,They put hand in hand.
ⵢⵉⵏⵏⵢ ⵉⵜⵔⴰⵏ ⴷⴳ ⵡⴰⵙⵙ,رأى النجوم في النهار.,yinny itran dg wass,يينني يتران دڭ واسس,He saw the stars during the day.
ⵢⵓⴷⵔ ⵣⵣⴰⴳ-ⵙ,طأطأ منه.,yudr zzag-s,يودر ززاڭ-س,He lowered his head.
ⵢⵓⴼⴰ ⴱⴰⴱⴰ-ⵙ,وجد أباه.,yufa baba-s,يوفا بابا-س,He found his father.
ⵢⵓⴼⴰ ⵢⵉⵅⴼ ⵏⵏⵙ,وجد نفسه.,yufa yikhf nns,يوفا ييخف ننس,He found himself.
ⵢⵓⵍⵢ ⴰⵙ ⴷⴷⵎ,طلع له الدم.,yuly as ddm,يولي اس ددم,Blood came out of him.
ⵢⵓⵍⵢ ⴰⵙ ⴷⴳ ⵓⵣⵍⵍⵉⴼ,طلع له في الرأس.,yuly as dg uzllif,يولي اس دڭ وزلليف,He got it in his head.
ⵢⵓⵍⵢ ⴰⵙ ⵍⴳⴰⵣ,طلع له الغاز.,yuly as lgaz,يولي اس لڭاز,He discovered the riddle.
ⵢⵓⵍⵢ ⴰⵙ ⵣⵣⵄⴰⴼ,طلع له الغضب.,yuly as zz3af,يولي اس ززعاف,He became angry.
ⵢⵓⵍⵢ ⵓⵣⵉⵔ,صعد إكليل الجبل.,yuly uzir,يولي وزير,The rosemary climbed.
ⵢⵓⵙ ⵉⵢⵉ ⴷ ⵊⴰⵔ ⵜⵉⵟⵟⴰⵡⵉⵏ,جاءني بين عيناي.,yus iyi d jar tiṭṭawin,يوس ييي د جار تيططاوين,He came to me right before my eyes.
ⵢⵓⵙⵏ ⵅ ⵓⵏⴼⵓⴼ,جاء على شفته.,yusn kh unfuf,يوسن خ ونفوف,It came to his lips.
ⵢⵓⵜⴼ ⴷⴳ ⵉⵥⵓⵕⴰⵏ ⵏⵏⵙ,ولج في عروقه.,yutf dg iẓuṛan nns,يوتف دڭ يزّوران ننس,It coursed through his veins.
ⵢⵓⵜⴼ ⴷⵉ ⴷⴷⵎ ⵏⵏⵙ,دخل في دمه.,yutf di ddm nns,يوتف دي ددم ننس,"""It entered his blood."""
ⵢⵓⵜⴼ ⴷⵉ ⵜⵎⵓⵔⵜ,دخل في الأرض.,yutf di tmurt,يوتف دي تمورت,He went into the ground.
ⵢⵓⵜⴼ ⵉⵜⵜ ⵙ ⵢⵉⵎⵉ,دخلها بالفم.,yutf itt s yimi,يوتف يتت س ييمي,He put it in his mouth.
ⵢⵓⵟⴰ ⴷⴰⴳ-ⵙ,هوى فيها.,yuṭa dag-s,يوطا داڭ-س,He fell for her.
ⵢⵓⵟⴰ ⵅ ⵓⵏⴼⵓⴼ,وقع على الشفة.,yuṭa kh unfuf,يوطا خ ونفوف,He kissed the lip.
ⵢⵓⵟⴰ ⵣⵣⵉ ⵜⵉⵟⵟ ⵉⵏⵓ,سقط من عيني.,yuṭa zzi tiṭṭ inu,يوطا ززي تيطط ينو,"""He fell from my favor."""
ⵢⵓⵢⵍ ⵊⴰⵔ ⵓⵊⵏⵏⴰ ⴷ ⵜⵎⵓⵔⵜ,علّق بين السماء والأرض.,yuyl jar ujnna d tmurt,يويل جار وجننا د تمورت,Suspended between the sky and the earth.
ⵢⵢ ⴼⵓⵙ ⵏⵏⵛ,ضع يدك.,yy fus nnsh,يي فوس ننش,Put your hand.
ⵢⵢ ⵟⴰⴹ,ضع الأصبع.,yy ṭaḍ,يي طاض,Place the finger.
ⵣⴳⵔⵜⵏ ⵉⵟⴰⵕⵏ ⵏⵏⵙ,رجلاه طويلتان.,zgrtn iṭaṛn nns,زڭرتن يطارن ننس,His legs are long.
ⵣⵔⵢⵏⵜ ⵅⴰⴼ-ⵙ,مررن عليه.,zrynt khaf-s,زرينت خاف-س,They passed by him.
ⵄⴷⵍ ⴰⵡⴰⵍ ⵏⵏⵛ,أتقن كلامك.,3dl awal nnsh,عدل اوال ننش,Perfect your speech.
ⵄⵇⵍ ⵅⴰⴼ-ⵙ,تذكرها.,3ql khaf-s,عقل خاف-س,Remember it.
