English,Tamazight,Tamazight_Latin,Tamazight_Arabic
Adding languages to work with,ⴰⵔⵏⵏⵓ ⵏ ⵜⵓⵜⵍⴰⵢⵉⵏ ⵏⵏⴰ ⵙ ⵔⴰⴷ ⵜⵙⵡⵓⵔⵉⴷ,arnnu n tutlayin nna s rad tswurid,ارننو ن توتلايين ننا س راد تسووريد
"For every voice clip donated, and every audio clip validated, your account dashboards are updated to reflect your latest progress in each language you contribute to. Yes, you can contribute to more than one!<br/><br/> Use dashboards to track your stats, see how you're doing alongside others in the community, and set daily or weekly contribution goals.","ⵉ ⴽⵓ ⵜⵓⵙⵙⵉⴼⵜ ⵜⴰⴳⵕⴹⴰⵏⵜ ⵉⵜⵜⵓⴼⴽⴰⵏ, ⴷ ⴽⵓ ⵜⵓⵙⵙⵉⴼⵜ ⵜⴰⵎⵙⵍⴰⵢⵜ ⵉⵣⵔⵢⵏ, ⵍⴰ ⵜⵜⵓⵙⴷⵖⵉⵏⵜ ⵜⴼⵉⵍⵉⵏ ⵏ ⵓⵏⴷⴰⵀ ⵏ ⵓⵎⵉⴹⴰⵏ ⵏⵏⵓⵏ ⵃⵎⴰ ⴰⴷ ⴷ ⵢⴰⴹⵓ ⵡⴰⵍⴰⵢ ⴰⵎⴳⴳⴰⵔⵓ ⵏⵏⵓⵏ ⴳ ⴽⵓ ⵜⵓⵜⵍⴰⵢⵜ ⵏⵏⴰ ⴳ ⵜⴻⵜⵜⴰⵔⴳⵎ. ⵢⴰⵀ, ⵜⵣⵎⵔⵎ ⴰⴷ ⵜⴰⵔⴳⵎ ⴳ ⵡⵓⴳⴳⴰⵔ ⵏ ⵢⴰⵜ!<br/><br/> ⵙⵙⵎⵔⵙⴰⵜ ⵜⵉⴼⵉⵍⵉⵏ ⵏ ⵓⵏⴷⴰⵀ ⵃⵎⴰ ⴰⴷ ⵜⵣⵓⵔⵜⵎ ⵉⵙⵏⵎⴽⵜⴰⵜⵏ ⵏⵏⵓⵏ, ⵜⵥⵕⵎ ⵎⴰⵏⵎⴽ ⵜⵍⵍⴰⵎ ⵜⴰⵎⴰ ⵏ ⵡⵉⵢⵢⴰⴹ ⴳ ⵜⴳⵔⴰⵡⵜ, ⵜⵙⵔⵙⵎ ⵉⵡⵜⵜⴰⵙⵏ ⵏ ⵡⴰⵔⵔⴰⴳ ⵉⴽⵓⵢⴰⵙⵙⵏ ⵏⵉⵖ ⵉⵏⵎⴰⵍⴰⵙⵙⵏ.","i ku tussift tagṛḍant ittufkan, d ku tussift tamslayt izryn, la ttusdghint tfilin n undah n umiḍan nnun ḥma ad d yaḍu walay amggaru nnun g ku tutlayt nna g tettargm. yah, tzmrm ad targm g wuggar n yat!<br/><br/> ssmrsat tifilin n undah ḥma ad tzurtm isnmktatn nnun, tẓṛm manmk tllam tama n wiyyaḍ g tgrawt, tsrsm iwttasn n warrag ikuyassn nigh inmalassn.","ي كو توسسيفت تاڭرضانت يتتوفكان, د كو توسسيفت تامسلايت يزرين, لا تتوسدغينت تفيلين ن ونداه ن وميضان ننون حما اد د ياضو والاي امڭڭارو ننون ڭ كو توتلايت ننا ڭ ت°تتارڭم. ياه, تزمرم اد تارڭم ڭ ووڭڭار ن يات!<br/><br/> سسمرسات تيفيلين ن ونداه حما اد تزورتم يسنمكتاتن ننون, تزّرم مانمك تللام تاما ن وييياض ڭ تڭراوت, تسرسم يوتتاسن ن وارراڭ يكوياسسن نيغ ينمالاسسن."
Governments,ⵜⵉⵏⴱⴰⴹⵉⵏ,tinbaḍin,تينباضين
Awards,ⵜⵉⵙⵎⵖⵓⵔⵉⵏ,tismghurin,تيسمغورين
Hakha Chin,ⵜⴰⵀⴰⴽⴰⵜⵛⵉⵏⵉⵜ,tahakatshinit,تاهاكاتشينيت
crash,ⴰⵏⴳⴰⵙ,angas,انڭاس
We couldn’t get any audio clips for you to listen to. Please try again later.,"ⵓⵔ ⵏⵖⵉⵢ ⴰⴷ ⴰⵡⵏ ⵏⵟⵟⴼ ⵓⵍⴰ ⴽⵔⴰ ⵏ ⵜⵓⵙⵙⵉⴼⵜ ⵜⴰⵎⵙⵍⴰⵢⵜ ⵃⵎⴰ ⴰⴷ ⴰⵙ ⵜⵙⵍⵍⵎ. ⵎⴽ ⵜⵓⴼⴰⵎ, ⴰⵔⵎⴰⵜ ⴷⴰⵖ ⴽⵓⴷⵏⵏⴰ.","ur nghiy ad awn nṭṭf ula kra n tussift tamslayt ḥma ad as tsllm. mk tufam, armat dagh kudnna.","ور نغيي اد اون نططف ولا كرا ن توسسيفت تامسلايت حما اد اس تسللم. مك توفام, ارمات داغ كودننا."
Failed to copy SHA256 Checksum,ⵏⵙⴼⵓⴳⴳⵔ ⴳ ⵓⵙⵏⵖⵍ ⵏ ⵜⵎⵓⵜⵜⵔⵜ ⵏ ⵓⵙⵙⵉⵔⵎ SHA256,nsfuggr g usnghl n tmuttrt n ussirm SHA256,نسفوڭڭر ڭ وسنغل ن تموتترت ن وسسيرم SHA256
1 sentence collected,1 ⵜⵡⵉⵏⵙⵜ ⵉⵜⵜⵓⴳⵔⴰⵏ,1 twinst ittugran,1 توينست يتتوڭران
Note: You will still need to select between Speak or Listen to change contribution type.,ⵜⴰⵖⴹⴼⵜ: ⵔⴰⴷ ⵙⵓⵍ ⵜⴰⵙⵔⵎ ⴰⴷ ⵜⵙⵜⵉⵎ ⴳⵔ ⵙⵉⵡⵍ ⴷ ⵙⵍⵍ ⵃⵎⴰ ⴰⴷ ⵜⵙⵏⴼⵍⵎ ⴰⵏⴰⵡ ⵏ ⵡⴰⵔⵔⴰⴳ ⵏⵏⵓⵏ.,taghḍft: rad sul tasrm ad tstim gr siwl d sll ḥma ad tsnflm anaw n warrag nnun.,تاغضفت: راد سول تاسرم اد تستيم ڭر سيول د سلل حما اد تسنفلم اناو ن وارراڭ ننون.
Different language,ⵜⵓⵜⵍⴰⵢⵜ ⵉⵎⵣⴰⵔⴰⵢⵏ,tutlayt imzarayn,توتلايت يمزاراين
This is how you cite yourself if you wrote the content yourself.,ⵀⴰ ⵎⴰⵏⵎⴽ ⵙ ⵔⴰⴷ ⵜⴱⴷⵔⵎ ⵉⵎⴰⵏ ⵏⵏⵓⵏ ⵎⴽ ⵜⵓⵔⴰⵎ ⵜⵓⵎⴰⵏⵜ ⵙ ⵢⵉⵎⴰⵏ ⵏⵏⵓⵏ.,ha manmk s rad tbdrm iman nnun mk turam tumant s yiman nnun.,ها مانمك س راد تبدرم يمان ننون مك تورام تومانت س ييمان ننون.
<coquiLink>Coqui</coquiLink> is dedicated to open speech technology. Their projects include deep learning based STT and TTS engines.,ⵉⵜⵜⵓⴼⴽⴰ <coquiLink>ⴽⵓⴽⵉ</coquiLink> ⵉ ⵜⴻⵜⵉⴽⵏⵓⵍⵓⵊⵉⵜ ⵏ ⵡⴰⵡⴰⵍ ⵜⵓⵕⵥⵉⵎⵜ. ⵙⴳ ⵉⵙⵏⴼⴰⵔⵏ ⵏⵏⵙⵏ ⵍⵍⴰⵏ ⵉⵏⵙⵎⵓⵙⵙⴰ ⵏ STT ⴷ TTS ⵥⴽⴰⵏⵉⵏ ⵅⴼ ⵓⵍⵎⵎⵓⴷ ⵉⴷⵔⴰⵏ.,ittufka <coquiLink>kuki</coquiLink> i tetiknulujit n wawal tuṛẓimt. sg isnfarn nnsn llan insmussa n STT d TTS ẓkanin khf ulmmud idran.,يتتوفكا <coquiLink>كوكي</coquiLink> ي ت°تيكنولوجيت ن واوال تورزّيمت. سڭ يسنفارن ننسن للان ينسموسسا ن STT د TTS زّكانين خف ولممود يدران.
Try our favorite browser,ⴰⵔⵎⴰⵜ ⴰⵎⵙⵙⴰⵔⴰ ⵏⵏⵖ ⴰⵎⵓⴼⴰⵢ,armat amssara nngh amufay,ارمات امسسارا ننغ اموفاي
Why is my browser not supported?,ⵎⴰⵖⴼ ⵓⵔ ⵉⵜⵜⵡⴰⵏⵏⴰⵍ ⵓⵎⵙⵙⴰⵔⴰ ⵉⵏⵓ?,maghf ur ittwannal umssara inu?,ماغف ور يتتواننال ومسسارا ينو?
Logout,ⵓⴼⵓⵖ,ufugh,وفوغ
"Some languages have enormous variation in grammar, vocabulary and pronunciation. For this reason, we are <ctaLink>introducing ‘Variants’</ctaLink> in 2022. This gives communities a way to distinguish their languages within the larger dataset.","ⴽⵔⴰ ⵏ ⵜⵓⵜⵍⴰⵢⵉⵏ ⴳⵉⵙⵏⵜ ⴰⵎⵣⴰⵔⴰⵢ ⴰⵇⵎⵇⴰⵎ ⴳ ⵜⵊⵕⵕⵓⵎⵜ, ⵜⴰⵎⴰⵡⴰⵍⵜ ⴷ ⵓⵙⵓⵙⵔⵓ. ⵜⴰⵎⵏⵜⵉⵍⵜ ⴰ ⴰ ⵅⴼ <ctaLink>ⵏⵙⵙⵉⴷⴼ ‘ⵜⵉⵎⵣⴰⵔⴰⵢⵉⵏ’</ctaLink> ⴳ 2022. ⵍⴰ ⵢⴰⴽⴽⴰ ⵓⵢⴰ ⵉ ⵜⴳⵔⴰⵡⵉⵏ ⵢⴰⵜ ⵜⵖⴰⵔⴰⵙⵜ ⵏⵏⴰ ⵙ ⵔⴰⴷ  ⵙⵏⴰⵃⵢⴰⵏⵜ ⵜⵓⵜⵍⴰⵢⵉⵏ ⵏⵏⵙⵏⵜ ⴷⴳ ⵜⴳⵔⵓⵎⵎⴰ ⵏ ⵉⵙⴼⴽⴰ ⵉⵔⵉⵡⵏ ⵓⴳⴳⴰⵔ.","kra n tutlayin gisnt amzaray aqmqam g tjṛṛumt, tamawalt d ususru. tamntilt a a khf <ctaLink>nssidf ‘timzarayin’</ctaLink> g 2022. la yakka uya i tgrawin yat tgharast nna s rad  snaḥyant tutlayin nnsnt dg tgrumma n isfka iriwn uggar.","كرا ن توتلايين ڭيسنت امزاراي اقمقام ڭ تجررومت, تاماوالت د وسوسرو. تامنتيلت ا ا خف <ctaLink>نسسيدف ‘تيمزارايين’</ctaLink> ڭ 2022. لا ياككا ويا ي تڭراوين يات تغاراست ننا س راد  سناحيانت توتلايين ننسنت دڭ تڭرومما ن يسفكا يريون وڭڭار."
Age,ⴰⵡⵜⴰⵢ,awtay,اوتاي
Tamazight,ⵜⴰⵎⴰⵣⵉⵖⵜ,tamazight,تامازيغت
Female,ⵜⴰⵡⵜⵎⵜ,tawtmt,تاوتمت
"Sentences are vetted through a community-moderation process, however this process is not perfect. If you see or hear a sentence that offends or upsets you - for example because it violates our <participationGuidelines>community participation guidelines</participationGuidelines> - please do use the flag button in the UI. You can also reach out to us at <emailFragment>commonvoice@mozilla.com</emailFragment>.","ⵍⴰ ⵜⵜⵓⵙⵜⴰⵍⵏⵜ ⵜⵡⵉⵏⴰⵙ ⵙ ⵜⵣⵉⴳⵣⵜ ⵏ ⵓⵙⵡⵓⴷⴷⵓ ⴰⴳⵔⴰⵡⴰⵏ, ⵎⴰⵛⴰ ⵜⴰⵣⵉⴳⵣⵜ ⴰ ⵓⵔ ⵜⴳⵉ ⵜⴰⴼⵉⵍⴰⵡⵜ. ⵎⴽ ⵜⵥⵕⴰⵎ ⵏⵉⵖ ⵜⵙⵙⴼⵍⴷⵎ ⵉ ⴽⵔⴰ ⵏ ⵜⵡⵉⵏⵙⵜ ⵏⵏⴰ ⴽⵯⵏ ⵉⵜⵜⵇⵊⴰⵔⵏ ⵏⵉⵖ ⵍⴰ ⴽⵯⵏ ⵜⵙⵙⵃⵔⴰⵇ - ⵙ ⵓⵎⴷⵢⴰ, ⴰⵛⴽⵓ ⵍⴰ ⵜⵕⵥⵥⴰ <participationGuidelines>ⵜⴰⵔⴰⵜⵉⵏ ⵏ ⵜⴷⵔⴰⵡⵜ ⵜⴰⴳⴰⵔⴰⵡⴰⵏⵜ</participationGuidelines> ⵏⵏⵖ - ⵎⴽ ⵜⵓⴼⴰⵎ, ⵙⵙⵎⵔⵙⴰⵜ ⴰⴱⵔⴰ ⵏ ⵓⵛⵏⵢⴰⵍ ⴳ ⵓⴳⵔⵓⴷⵎ ⵏ ⵓⵏⵙⵙⵎⵔⵙ. ⵜⵣⵎⵔⵎ ⴰⵡⴷ ⴰⴷ ⴷⵉⴷⵏⵖ ⵜⵏⵢⴰⵍⴽⴰⵎⵎ ⴳ <emailFragment>commonvoice@mozilla.com</emailFragment>.","la ttustalnt twinas s tzigzt n uswuddu agrawan, masha tazigzt a ur tgi tafilawt. mk tẓṛam nigh tssfldm i kra n twinst nna kⵯn ittqjarn nigh la kⵯn tssḥraq - s umdya, ashku la tṛẓẓa <participationGuidelines>taratin n tdrawt tagarawant</participationGuidelines> nngh - mk tufam, ssmrsat abra n ushnyal g ugrudm n unssmrs. tzmrm awd ad didngh tnyalkamm g <emailFragment>commonvoice@mozilla.com</emailFragment>.","لا تتوستالنت تويناس س تزيڭزت ن وسووددو اڭراوان, ماشا تازيڭزت ا ور تڭي تافيلاوت. مك تزّرام نيغ تسسفلدم ي كرا ن توينست ننا كⵯن يتتقجارن نيغ لا كⵯن تسسحراق - س ومديا, اشكو لا ترزّزّا <participationGuidelines>تاراتين ن تدراوت تاڭاراوانت</participationGuidelines> ننغ - مك توفام, سسمرسات ابرا ن وشنيال ڭ وڭرودم ن ونسسمرس. تزمرم اود اد ديدنغ تنيالكامم ڭ <emailFragment>commonvoice@mozilla.com</emailFragment>."
Websites,ⵉⵙⵉⵜⵡⵉⴱⵏ,isitwibn,يسيتويبن
Review & re-record clips here as you go,"ⵙⵙⵉⵔⵎ, ⵜⴰⵍⵙⴷ ⴰⵙⵓⵙⵔ ⵏ ⵜⵓⵙⵙⵉⴼⵉⵏ ⴷⴰ ⴽⵔⴰ ⵙ ⵍⴰ ⵜⴻⵜⵜⴷⴷⵓⴷ","ssirm, talsd asusr n tussifin da kra s la tettddud","سسيرم, تالسد اسوسر ن توسسيفين دا كرا س لا ت°تتددود"
Help us validate voices,ⴰⵡⵙ ⴰⵏⵖ ⴰⴷ ⵏⵣⵣⵔⵢ ⵉⴳⵕⴹⴰⵏ,aws angh ad nzzry igṛḍan,اوس انغ اد نززري يڭرضان
Mutual accountability.,ⵜⴰⵎⵙⵜⴳⴳⴰⵔⵜ ⵉⵛⵛⴰⵔⵏ.,tamstggart ishsharn.,تامستڭڭارت يششارن.
Mozilla’s open source voice recognition engine Deep Speech can be used to build speech recognition applications. Read our <githubLink>Github overview</githubLink> or join the <discourseLink>DeepSpeech Discourse</discourseLink> to learn how to get started.,"ⵉⵣⵎⵔ ⵓⵏⵙⵎⴰⵙⵙⵓ ⵏ ⵓⵙⴰⴳⵎ ⵓⵕⵥⵉⵎ ⵏ ⵜⵓⴽⵣⴰ ⵜⴰⴳⵕⴹⴰⵏⵜ ⵏ ⵎⵓⵣⵉⵍⴰ, ⴷⵉⴱⵙⴱⵉⵜⵛ, ⴰⴷ ⵉⵜⵜⵓⵙⵎⵔⵙ ⴳ ⵜⵙⵏⵙⵉⵜⵉⵏ ⵏ ⵜⵓⴽⵣⴰ ⵏ ⵡⴰⵡⴰⵍ. ⵖⵔⴰⵜ <githubLink>ⵜⴰⴳⴹⵡⵉⵜ ⵏ ⴳⵉⵜⵀⴰⴱ</githubLink> ⵏⵏⵖ ⵏⵉⵖ ⵜⵍⴽⵎⵎ <discourseLink>ⴷⵉⵙⴽⵓⵔⵙ ⵏ ⴷⵉⴱⵙⴱⵉⵜⵛ</discourseLink> ⵃⵎⴰ ⴰⴷ ⵜⵍⵎⴷⵎ ⵎⴰⵏⵎⴽ ⵙ ⵔⴰⴷ ⵜⵙⵙⵏⵜⵢⵎ.","izmr unsmassu n usagm uṛẓim n tukza tagṛḍant n muzila, dibsbitsh, ad ittusmrs g tsnsitin n tukza n wawal. ghrat <githubLink>tagḍwit n githab</githubLink> nngh nigh tlkmm <discourseLink>diskurs n dibsbitsh</discourseLink> ḥma ad tlmdm manmk s rad tssntym.","يزمر ونسماسسو ن وساڭم ورزّيم ن توكزا تاڭرضانت ن موزيلا, ديبسبيتش, اد يتتوسمرس ڭ تسنسيتين ن توكزا ن واوال. غرات <githubLink>تاڭضويت ن ڭيتهاب</githubLink> ننغ نيغ تلكمم <discourseLink>ديسكورس ن ديبسبيتش</discourseLink> حما اد تلمدم مانمك س راد تسسنتيم."
<githubLink>NVIDIA NeMo</githubLink>™ is an <docsLink>open-source toolkit</docsLink> for researchers developing state-of-the-art conversational AI models.,"ⵜⴳⴰ <githubLink>NVIDIA NeMo</githubLink>™ ⵢⴰⵜ <docsLink>ⵜⴼⵏⵉⵇⵜ ⵏ ⵉⵎⴰⵙⵙⵏ ⵏ ⵓⵙⴰⴳⵎ ⵓⵕⵥⵉⵎ</docsLink> ⵉ ⵉⵎⵔⵣⴰ ⵙⵖⵉⵡⵉⵙⵏⵉⵏ ⵜⵉⵎⵓⴷⵎⵉⵡⵉⵏ ⵏ ⵜⵖⵉⵙⵜ ⵏ ⵜⵎⴰⵛⵉⵏⵜ ⴳ ⵉⵍⵍⴰ ⵓⵎⵔⴰⵔⴰ ⵏ ⵡⴰⵡⴰⵍ, ⴳⵏⵜ ⵉⵅⴼ ⵏ ⵓⴳⴷⵣ.","tga <githubLink>NVIDIA NeMo</githubLink>™ yat <docsLink>tfniqt n imassn n usagm uṛẓim</docsLink> i imrza sghiwisnin timudmiwin n tghist n tmashint g illa umrara n wawal, gnt ikhf n ugdz.","تڭا <githubLink>NVIDIA NeMo</githubLink>™ يات <docsLink>تفنيقت ن يماسسن ن وساڭم ورزّيم</docsLink> ي يمرزا سغيويسنين تيمودميوين ن تغيست ن تماشينت ڭ يللا ومرارا ن واوال, ڭنت يخف ن وڭدز."
What kind of goal do you want to build?,ⵎⴰⵏ ⴰⵏⴰⵡ ⵏ ⵉⵡⵜⵜⴰⵙⵏ ⴰⴷ ⵜⵅⵙⴷ ⴰⴷ ⵜ ⵜⵥⴽⵓⴷ?,man anaw n iwttasn ad tkhsd ad t tẓkud?,مان اناو ن يوتتاسن اد تخسد اد ت تزّكود?
"It is very important that all text sentences are <publicDomain>public domain</publicDomain> (<cc0>cc0</cc0>) as the Common Voice dataset is released under a cc0 license. Only ever upload a sentence if you are sure, and always include the relevant citation.","ⵉⵅⴰⵜⵔ ⴱⴰⵀⵔⴰ ⴰⴷ ⴰⴽⴽⵯ ⵉⵍⵉⵏⵜ ⵜⵡⵉⵏⴰⵙ ⵏ ⵓⴹⵕⵉⵚ ⴳ <publicDomain>ⵡⴰⴳⵍⴰ ⴰⴳⴷⵓⴷⴰⵏ</publicDomain> (<cc0>cc0</cc0>) ⴰⵛⴽⵓ ⵜⴰⴳⵔⵓⵎⵎⴰ ⵏ ⵉⵙⴼⴽⴰ ⵏ ⴽⴰⵎⵏⴼⵓⵢⵙ ⵍⴰ ⵜⴻⵜⵜⴼⴼⵖ ⴷⴷⴰⵡ ⵜⵓⵔⴰⴳⵜ ⵏ cc0. ⵙⴽⵜⵔ ⵖⴰⵙ ⵢⴰⵜ ⵜⵡⵉⵏⵙⵜ ⵎⴽ ⵜⵃⵇⵇⴰⴷ, ⵜⵙⵙⵓⵎⵓⴷ ⴰⴱⴷⴰ ⵜⴰⴱⴷⴰⵔⵜ ⴷ ⵢⵓⵙⴰⵏ.","ikhatr bahra ad akkⵯ ilint twinas n uḍṛiṣ g <publicDomain>wagla agdudan</publicDomain> (<cc0>cc0</cc0>) ashku tagrumma n isfka n kamnfuys la tettffgh ddaw turagt n cc0. sktr ghas yat twinst mk tḥqqad, tssumud abda tabdart d yusan.","يخاتر باهرا اد اككⵯ يلينت تويناس ن وضريص ڭ <publicDomain>واڭلا اڭدودان</publicDomain> (<cc0>cc0</cc0>) اشكو تاڭرومما ن يسفكا ن كامنفويس لا ت°تتففغ دداو توراڭت ن cc0. سكتر غاس يات توينست مك تحققاد, تسسومود ابدا تابدارت د يوسان."
certificate authority,ⴰⵏⴱⴰⴹ ⵏ ⵓⵙⵍⴽⵏ,anbaḍ n uslkn,انباض ن وسلكن
Download the Single Word Target Segment,ⴰⴳⵎ ⵜⵓⵟⵟⵓⵜ ⵉⵜⵜⵡⴰⵜⵜⵙⵏ ⵏ ⵜⴳⵓⵔⵉ ⵜⴰⵎⵢⴰⵏⵜ,agm tuṭṭut ittwattsn n tguri tamyant,اڭم توططوت يتتواتتسن ن تڭوري تاميانت
LibriSpeech is a corpus of approximately 1000 hours of 16Khz read English speech derived from read audiobooks from the LibriVox project.,ⵉⴳⴰ LibriSpeech ⵢⴰⵏ ⵡⵓⴳⵔⵉⵡ ⵏ ⵡⴰⵜⵜⴰⵢⵏ ⵏ 1000 ⵏ ⵜⵙⵔⴰⴳⵉⵏ ⵏ 16Khz ⵏ ⵡⴰⵡⴰⵍ ⵉⵜⵜⵓⵖⵔⴰⵏ ⵙ ⵜⵏⴳⵍⵉⵣⵜ ⵉⴼⴼⵖ ⴷ ⵙⴳ ⵉⴷⵍⵉⵙⵏ ⵉⵎⵙⵍⴰⵢⵏ ⵜⵜⵓⵖⵔⴰⵏⵉⵏ ⵙⴳ ⵓⵙⵏⴼⴰⵔ ⵏ LibriVox.,iga LibriSpeech yan wugriw n wattayn n 1000 n tsragin n 16Khz n wawal ittughran s tnglizt iffgh d sg idlisn imslayn ttughranin sg usnfar n LibriVox.,يڭا LibriSpeech يان ووڭريو ن واتتاين ن 1000 ن تسراڭين ن 16Khz ن واوال يتتوغران س تنڭليزت يففغ د سڭ يدليسن يمسلاين تتوغرانين سڭ وسنفار ن LibriVox.
The sentence must be speakable.,ⵉⵇⵇⴰⵏ ⴷ ⴰⴷ ⵜⵖⴰⵢ ⵜⵡⵉⵏⵙⵜ ⴰⴷ ⵜⴻⵜⵜⵓⵏⵏⴰ.,iqqan d ad tghay twinst ad tettunna.,يققان د اد تغاي توينست اد ت°تتوننا.
{ $countOfSentences } sentences found.,{ $countOfSentences } ⵜⵡⵉⵏⴰⵙ ⵜⵜⵢⴰⴼⴰⵏⵉⵏ.,{ $countOfSentences } twinas ttyafanin.,{ $countOfSentences } تويناس تتيافانين.
Create a Custom Goal,ⵙⵏⴼⵍⵓⵍ ⴰⵡⵜⵜⴰⵙ ⴰⵏⵉⵎⴰⵏ,snflul awttas animan,سنفلول اوتتاس انيمان
Asturian,ⵜⴰⵙⵜⵓⵔⵉⵜ,tasturit,تاستوريت
Russian,ⵜⴰⵔⵓⵙⵉⵜ,tarusit,تاروسيت
Clipboard not supported,ⵓⵔ ⵉⵜⵜⵡⴰⵏⵏⴰⵍ ⵎⴰⴷⴷⵉⴼⵔ,ur ittwannal maddifr,ور يتتواننال مادديفر
is this a linguistically correct sentence?,ⵉⵙ ⵜⵓⵖⴷ ⵜⵡⵉⵏⵙⵜ ⴰ ⵙ ⵓⵎⵙⵏⵉⵍⵙ?,is tughd twinst a s umsnils?,يس توغد توينست ا س ومسنيلس?
I agree to Common Voice's <termsLink>Terms</termsLink> and <privacyLink>Privacy Notice</privacyLink>,ⵎⵙⴰⵙⴰⵖ ⴷ ⴰⴽⴷ <termsLink>ⵜⴼⴰⴷⵉⵡⵉⵏ</termsLink> ⵏ ⴽⴰⵎⵏⴼⵓⵢⵙ ⴷ <privacyLink>ⵜⵎⵏⵏⵉⵜ ⵏ ⵜⵉⵏⵏⵓⵜⵍⴰ</privacyLink>,msasagh d akd <termsLink>tfadiwin</termsLink> n kamnfuys d <privacyLink>tmnnit n tinnutla</privacyLink>,مساساغ د اكد <termsLink>تفاديوين</termsLink> ن كامنفويس د <privacyLink>تمننيت ن تيننوتلا</privacyLink>
Sentences are being uploaded. This can take several minutes depending on the number of sentences added. Please do not close this website.,"ⵍⴰ ⵜⵜⵓⵙⴽⵜⵔⵏⵜ ⵜⵡⵉⵏⴰⵙ. ⴰⵢⴰ ⵔⴰⴷ ⵢⴰⵡⵢ ⵎⵏⵏⴰⵡⵜ ⵜⵓⵙⴷⵉⴷⵉⵏ ⵙ ⵓⵙⵉⴹⵏ ⵏ ⵡⵓⵟⵟⵓⵏ ⵏ ⵜⵡⵉⵏⴰⵙ ⵜⵜⵓⵔⵏⴰⵏⵉⵏ. ⵎⴽ ⵜⵓⴼⴰⵎ, ⴰⴷ ⵓⵔ ⵜⵔⴳⵍⵎ ⴰⵙⵉⵜⵡⵉⴱ ⴰ.","la ttusktrnt twinas. aya rad yawy mnnawt tusdidin s usiḍn n wuṭṭun n twinas tturnanin. mk tufam, ad ur trglm asitwib a.","لا تتوسكترنت تويناس. ايا راد ياوي منناوت توسديدين س وسيضن ن ووططون ن تويناس تتورنانين. مك توفام, اد ور ترڭلم اسيتويب ا."
